lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.247676,-76.616494,310,120,291,2185754,,1155,1,1,LTE,,,291,,,
39.247970581055,-76.613845825195,310,260,46190,79331898,,1000,1,1,UMTS,,,,,,
39.247970581055,-76.613845825195,310,260,46190,79363878,,1000,1,1,UMTS,,,,,,
39.248504,-76.609797,311,480,28416,28487692,,9253,1,1,LTE,,,28416,,,
39.248542,-76.614741,310,410,7986,159328157,,1030,1,1,UMTS,,,,,,
39.249151,-76.611307,310,120,290,2218523,,6061,1,1,LTE,,,290,,,
39.24927,-76.614745,310,260,20233,11391752,,4706,1,1,LTE,,,20233,,,
39.249661,-76.611099,311,12,5,450,,1000,1,1,LTE,,,5,,,
39.25,-76.614126,310,410,4642,18179592,,7361,1,1,LTE,,,4642,,,
39.250031,-76.619339,310,18,4,517,,1000,1,1,CDMA,,,,18,4,517
39.25059,-76.619176,310,260,46190,79332178,,4020,1,1,UMTS,,,,,,
39.250717163086,-76.613845825195,311,870,1933,7908097,,1000,1,1,LTE,,,1933,,,
39.251143,-76.618356,311,490,20233,15264004,,3589,1,1,LTE,,,20233,,,
39.252090454102,-76.615219116211,310,410,7986,159328163,,1000,1,1,UMTS,,,,,,
39.252090454102,-76.613845825195,310,410,7029,23223,,1000,1,1,CDMA,,,,410,7029,23223
39.252090454102,-76.613845825195,310,18,4,450,,1000,1,1,CDMA,,,,18,4,450
39.252090454102,-76.613845825195,310,18,4,757,,1000,1,1,CDMA,,,,18,4,757
39.252090454102,-76.613845825195,310,410,7967,159373539,,1000,1,1,UMTS,,,,,,
39.252090454102,-76.613845825195,310,410,7967,159370377,,1000,1,1,UMTS,,,,,,
39.252193,-76.617981,310,260,20233,11391856,,1000,1,1,LTE,,,20233,,,
39.253463745117,-76.615219116211,310,410,7986,159370377,,1000,1,1,UMTS,,,,,,
39.253609,-76.61779,310,120,20233,10261506,,1000,1,1,LTE,,,20233,,,
39.253609,-76.61779,310,120,20233,32015876,,1000,1,1,LTE,,,20233,,,
39.253792,-76.617676,311,490,20233,37594687,,1000,1,1,LTE,,,20233,,,
39.253792,-76.617676,311,490,20233,2882617,,1000,1,1,LTE,,,20233,,,
39.253792,-76.617676,311,490,20233,232505,,1000,1,1,LTE,,,20233,,,
39.253792,-76.617676,311,490,20233,15294479,,1000,1,1,LTE,,,20233,,,
39.254837036133,-76.613845825195,310,410,7986,52361,,1000,1,1,CDMA,,,,410,7986,52361
39.256210327148,-76.609725952148,311,480,27909,104753676,,1000,1,1,LTE,,,27909,,,
39.25629,-76.614782,310,260,20233,10249737,,22762,1,1,LTE,,,20233,,,
