lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.859307,-90.185939,311,580,12,48763396,,1000,1,1,LTE,,,12,,,
41.859688,-90.187469,312,530,124,55762,,1000,1,1,LTE,,,124,,,
41.85969,-90.190433,310,410,18433,75344138,,3115,1,1,LTE,,,18433,,,
41.859795,-90.186901,310,120,124,55761,,1000,1,1,LTE,,,124,,,
41.859921,-90.192841,311,480,,52736515,,1000,1,1,LTE,,,,,,
41.85997,-90.187969,310,120,17671,144714755,,1000,1,1,LTE,,,17671,,,
41.860348,-90.191319,311,480,52806,52736515,,3660,1,1,LTE,,,52806,,,
41.860443,-90.190728,311,480,52806,52782106,,1331,1,1,LTE,,,52806,,,
41.860485,-90.187798,310,120,17671,144714752,,1000,1,1,LTE,,,17671,,,
41.860706,-90.184769,311,480,,52782082,,1000,1,1,LTE,,,,,,
41.861252,-90.188187,310,120,17665,144714752,,1296,1,1,LTE,,,17665,,,
41.861343383789,-90.190200805664,310,770,4572,106525965,,1000,1,1,LTE,,,4572,,,
41.862183,-90.184761,311,870,124,55922,,1000,1,1,CDMA,,,,870,124,55922
41.862324,-90.1889,311,870,124,55761,,1000,1,1,LTE,,,124,,,
41.862717,-90.192032,310,120,17671,144714767,,1000,1,1,LTE,,,17671,,,
41.865635,-90.188141,310,120,17665,144714755,,1090,1,1,LTE,,,17665,,,
41.865834,-90.190464,311,480,52806,52782102,,3651,1,1,LTE,,,52806,,,
