lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.184795,-97.143837,310,260,44539,29821708,,1000,1,1,LTE,,,44539,,,
34.184809,-97.142084,310,410,24846,118116880,,8781,1,1,LTE,,,24846,,,
34.185166,-97.137727,310,410,46985,112362649,,1534,1,1,UMTS,,,,,,
34.185562,-97.143173,310,120,11788,96479234,,1000,1,1,LTE,,,11788,,,
34.185825,-97.142416,310,410,24846,118629077,,1409,1,1,LTE,,,24846,,,
34.187393188477,-97.143173217773,310,410,46985,3011183,,1000,1,1,UMTS,,,,,,
34.187393188477,-97.143173217773,310,410,46985,13948,,1000,1,1,CDMA,,,,410,46985,13948
34.187393188477,-97.141799926758,310,410,46985,2988774,,1000,1,1,UMTS,,,,,,
34.187393188477,-97.141799926758,310,410,46985,13945,,1000,1,1,CDMA,,,,410,46985,13945
34.187695,-97.144547,312,530,44539,97814833,,1000,1,1,LTE,,,44539,,,
34.187737,-97.137508,310,410,46985,112342652,,1000,1,1,UMTS,,,,,,
34.187781,-97.136996,310,410,46985,112342646,,1352,1,1,UMTS,,,,,,
34.18792,-97.142006,310,410,24846,118628866,,1000,1,1,LTE,,,24846,,,
34.188004,-97.140427,310,1595,58,21041,,1000,1,1,CDMA,,,,1595,58,21041
34.188766,-97.141113,310,410,46985,33945,,1000,1,1,CDMA,,,,410,46985,33945
34.191757,-97.142784,310,410,24846,118628865,,1000,1,1,LTE,,,24846,,,
34.192886352539,-97.144546508789,310,260,32988,255924080,,1000,1,1,UMTS,,,,,,
34.19352,-97.144646,312,250,44539,96479234,,1000,1,1,LTE,,,44539,,,
