lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.566918,-122.390832,310,260,16950,49263503,,1000,1,1,LTE,,,16950,,,
40.567418,-122.390811,310,260,16950,21970435,,6054,1,1,LTE,,,16950,,,
40.569295,-122.390268,310,260,16950,21970441,,3104,1,1,LTE,,,16950,,,
40.56962,-122.394298,310,410,56885,2563910,,4374,1,1,UMTS,,,,,,
40.569684,-122.390281,310,260,16989,21970435,,1000,1,1,LTE,,,16989,,,
40.570449829102,-122.40074157715,310,410,36101,171690768,,1000,1,1,LTE,,,36101,,,
40.570504,-122.390172,311,480,9223,9299490,,1458,1,1,LTE,,,9223,,,
40.570724,-122.392502,310,260,16930,21970435,,1000,1,1,LTE,,,16930,,,
40.571014,-122.401909,310,410,357,11552,,1000,1,1,UMTS,,,,,,
40.571124,-122.390423,311,480,9223,9222434,,2900,1,1,LTE,,,9223,,,
40.5712,-122.3907,310,260,16989,21968386,,3848,1,1,LTE,,,16989,,,
40.571678,-122.395063,310,410,56885,2562582,,1000,1,1,UMTS,,,,,,
40.571823120117,-122.39524841309,310,260,38997,118233613,,1000,1,1,UMTS,,,,,,
40.571823120117,-122.39524841309,310,410,56885,2559726,,1000,1,1,UMTS,,,,,,
40.571823120117,-122.39387512207,310,410,36101,171690761,,1000,1,1,LTE,,,36101,,,
40.571823120117,-122.39387512207,310,410,56885,2559732,,1000,1,1,UMTS,,,,,,
40.572113,-122.395187,310,410,56885,2562576,,1000,1,1,UMTS,,,,,,
40.572208,-122.39275,310,260,16950,49263493,,1000,1,1,LTE,,,16950,,,
40.572227,-122.391093,310,260,16950,21968386,,25088,1,1,LTE,,,16950,,,
40.57225,-122.399376,310,410,357,6653,,1000,1,1,LTE,,,357,,,
40.57225,-122.399376,310,410,357,8993,,1000,1,1,LTE,,,357,,,
40.57225,-122.399376,310,410,357,6663,,1000,1,1,LTE,,,357,,,
40.57235,-122.398376,310,410,36101,171724817,,1000,1,1,LTE,,,36101,,,
40.572468,-122.391756,310,410,56885,2564987,,2044,1,1,UMTS,,,,,,
40.573196411133,-122.39250183105,310,410,36101,171690775,,1000,1,1,LTE,,,36101,,,
40.573196411133,-122.39112854004,310,410,36101,171617815,,1000,1,1,LTE,,,36101,,,
40.573483,-122.391655,310,410,36101,171617801,,1000,1,1,LTE,,,36101,,,
40.574548,-122.401613,311,480,9223,9274400,,5388,1,1,LTE,,,9223,,,
40.574802,-122.394508,310,410,357,6661,,1000,1,1,LTE,,,357,,,
40.574955,-122.395844,310,410,36101,171617808,,1000,1,1,LTE,,,36101,,,
40.575041,-122.3913,311,490,16950,49263501,,1000,1,1,LTE,,,16950,,,
40.575709,-122.401694,310,260,16950,21968392,,9980,1,1,LTE,,,16950,,,
