lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
32.285152,-90.258629,312,250,32824,16799295,,1000,1,1,LTE,,,32824,,,
32.286758,-90.256805,310,410,20990,211757943,,1000,1,1,UMTS,,,,,,
32.286758422852,-90.251998901367,310,150,20939,212332228,,1000,1,1,UMTS,,,,,,
32.287277,-90.257751,310,410,15143,51460550,,1000,1,1,LTE,,,15143,,,
32.287445,-90.253372,310,150,20939,212282225,,1000,1,1,UMTS,,,,,,
32.288131713867,-90.256118774414,310,410,20990,211757940,,1000,1,1,UMTS,,,,,,
32.288131713867,-90.251998901367,311,230,15,76977153,,1000,1,1,LTE,,,15,,,
32.288818,-90.258865,310,410,20990,11127,,1000,1,1,CDMA,,,,410,20990,11127
32.289246,-90.255234,311,480,31751,31967515,,1000,1,1,LTE,,,31751,,,
32.289345,-90.253809,310,410,15143,51484896,,1027,1,1,LTE,,,15143,,,
32.289699,-90.254303,310,410,15143,52764673,,1092,1,1,LTE,,,15143,,,
32.289815,-90.253508,310,410,15143,51484687,,6570,1,1,LTE,,,15143,,,
32.290234,-90.252274,312,190,,8628,,1000,1,1,LTE,,,,,,
32.290329,-90.256522,310,260,4998,14964581,,2221,1,1,UMTS,,,,,,
32.290344,-90.253502,312,190,,5097,,1000,1,1,LTE,,,,,,
32.290522,-90.258896,310,410,15143,51484868,,1000,1,1,LTE,,,15143,,,
32.290562,-90.256012,312,190,,9140,,1000,1,1,LTE,,,,,,
32.290604,-90.257446,312,250,32824,16801036,,1000,1,1,LTE,,,32824,,,
32.290797,-90.252922,310,410,20939,212282225,,3221,1,1,UMTS,,,,,,
32.290878295898,-90.25749206543,311,870,10769,94464257,,1000,1,1,LTE,,,10769,,,
32.290878295898,-90.254745483398,310,120,10819,94913563,,1000,1,1,LTE,,,10819,,,
32.290949,-90.256804,310,410,15143,51484680,,6827,1,1,LTE,,,15143,,,
32.291059,-90.257714,311,480,31751,31758112,,8534,1,1,LTE,,,31751,,,
32.291573,-90.251511,310,260,4998,14964979,,5208,1,1,UMTS,,,,,,
32.291702,-90.259415,311,230,15,76977155,,1000,1,1,LTE,,,15,,,
32.292165,-90.253874,310,410,15143,51484821,,5939,1,1,LTE,,,15143,,,
32.292251586914,-90.256118774414,310,120,10769,94462723,,1000,1,1,LTE,,,10769,,,
