lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
35.859776,-101.9762,310,410,27662,203088401,,1000,1,1,LTE,,,27662,,,
35.860061645508,-101.97166442871,310,410,28108,33133,,1000,1,1,CDMA,,,,410,28108,33133
35.860152,-101.965698,310,410,27662,203095860,,3253,1,1,LTE,,,27662,,,
35.86016,-101.968224,310,410,27662,203096023,,1277,1,1,LTE,,,27662,,,
35.86043,-101.973053,310,410,27662,203095811,,1373,1,1,LTE,,,27662,,,
35.860521,-101.969548,310,410,27662,203095830,,1881,1,1,LTE,,,27662,,,
35.861434936523,-101.97303771973,310,410,27652,108495213,,1000,1,1,LTE,,,27652,,,
35.861486,-101.976196,310,410,27662,203096025,,1000,1,1,LTE,,,27662,,,
35.861583,-101.97477,310,410,27662,203088279,,1088,1,1,LTE,,,27662,,,
35.862076,-101.96894,310,410,27662,203088533,,29271,1,1,LTE,,,27662,,,
35.862808227539,-101.97303771973,310,120,14594,120176155,,1000,1,1,LTE,,,14594,,,
35.86298,-101.968988,310,410,27662,203088392,,2838,1,1,LTE,,,27662,,,
35.863142,-101.975924,310,410,27662,203088138,,1252,1,1,LTE,,,27662,,,
35.863819,-101.974571,310,410,28907,108626285,,1000,1,1,LTE,,,28907,,,
35.86408,-101.971233,310,410,27662,203113752,,1000,1,1,LTE,,,27662,,,
35.864628,-101.976227,311,480,35330,35391506,,1000,1,1,LTE,,,35330,,,
35.86504,-101.973099,310,260,31872,44324365,,1000,1,1,LTE,,,31872,,,
35.86504,-101.973099,310,410,27662,203092489,,1000,1,1,LTE,,,27662,,,
35.86504,-101.973099,310,410,27662,203092490,,1000,1,1,LTE,,,27662,,,
35.865505,-101.96727,312,530,311,18515,,1000,1,1,LTE,,,311,,,
35.86555480957,-101.9702911377,310,211,29,3969,,1000,1,1,CDMA,,,,211,29,3969
35.86555480957,-101.9702911377,310,529,29,3969,,1000,1,1,CDMA,,,,529,29,3969
35.865555,-101.973038,310,120,14594,119573259,,1000,1,1,LTE,,,14594,,,
35.865783,-101.96669,310,410,27662,203095809,,1240,1,1,LTE,,,27662,,,
35.866838,-101.969898,310,410,27662,203135193,,1190,1,1,LTE,,,27662,,,
35.866928100586,-101.9702911377,310,410,27652,108495379,,1000,1,1,LTE,,,27652,,,
35.867813,-101.970757,310,410,27662,203134979,,1000,1,1,LTE,,,27662,,,
35.868069,-101.966789,310,120,29,3969,,1000,1,1,LTE,,,29,,,
35.868069,-101.966789,310,120,29,3809,,1000,1,1,LTE,,,29,,,
35.868069,-101.966789,310,120,29,3971,,1000,1,1,LTE,,,29,,,
35.868301391602,-101.96891784668,310,410,27652,203088385,,1000,1,1,LTE,,,27652,,,
35.868685,-101.975786,310,410,27662,203088145,,1887,1,1,LTE,,,27662,,,
