lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
47.666855,-117.239861,310,410,37148,108564738,,1000,1,1,LTE,,,37148,,,
47.667617797852,-117.23991394043,311,480,768,878340,,1000,1,1,LTE,,,768,,,
47.668295,-117.236965,311,490,1,40947,,1175,1,1,CDMA,,,,490,1,40947
47.668363,-117.236201,311,480,768,77596950,,1000,1,1,LTE,,,768,,,
47.668725,-117.231113,310,120,18948,155227138,,3113,1,1,LTE,,,18948,,,
47.668991088867,-117.2371673584,310,260,42593,22423354,,1000,1,1,UMTS,,,,,,
47.669505,-117.234392,310,410,42962,42173,,12210,1,1,CDMA,,,,410,42962,42173
47.670035,-117.238659,310,410,37148,108564746,,2445,1,1,LTE,,,37148,,,
47.670211,-117.240635,310,260,15701,21932555,,7874,1,1,LTE,,,15701,,,
47.670727,-117.239777,310,410,37148,108564739,,1000,1,1,LTE,,,37148,,,
47.67105,-117.235939,311,490,1,40866,,1000,1,1,CDMA,,,,490,1,40866
47.671089,-117.235741,310,410,42962,8560561,,1000,1,1,UMTS,,,,,,
47.671246,-117.239655,310,260,15625,45346947,,1000,1,1,LTE,,,15625,,,
47.671728,-117.233598,310,260,15701,21932546,,9723,1,1,LTE,,,15701,,,
47.671738,-117.235108,310,410,42990,8298423,,1000,1,1,UMTS,,,,,,
47.672237,-117.238617,311,480,,77596940,,1000,1,1,LTE,,,,,,
47.6724,-117.235129,311,480,768,796947,,1000,1,1,LTE,,,768,,,
47.672424,-117.237682,310,120,18948,155199760,,1000,1,1,LTE,,,18948,,,
47.672496,-117.231467,310,410,52820,22791,,3621,1,1,CDMA,,,,410,52820,22791
47.672747,-117.237016,310,260,42593,22413358,,1000,1,1,UMTS,,,,,,
47.673108,-117.239422,310,410,37148,108566543,,8067,1,1,LTE,,,37148,,,
47.673111,-117.239914,310,410,42962,8560496,,1000,1,1,UMTS,,,,,,
47.673387,-117.230644,310,410,52820,31161,,2548,1,1,CDMA,,,,410,52820,31161
47.673627,-117.232189,310,410,52820,11162,,2329,1,1,CDMA,,,,410,52820,11162
47.673642,-117.242623,310,260,15625,21932546,,1254,1,1,LTE,,,15625,,,
47.673648,-117.234964,310,260,15701,21937981,,4403,1,1,LTE,,,15701,,,
47.673764,-117.238685,310,410,52820,2791,,3075,1,1,CDMA,,,,410,52820,2791
47.673777,-117.241236,310,410,37148,108564753,,3127,1,1,LTE,,,37148,,,
47.673841,-117.232701,311,480,768,77596940,,2845,1,1,LTE,,,768,,,
47.673943,-117.240051,310,120,15701,155199753,,1000,1,1,LTE,,,15701,,,
47.673968,-117.241444,310,260,15625,45395854,,1000,1,1,LTE,,,15625,,,
47.674023,-117.238815,310,,1,4518,,1000,1,1,LTE,,,1,,,
47.674141,-117.235966,310,120,18948,155199745,,1000,1,1,LTE,,,18948,,,
47.67443,-117.23703,310,410,37148,108566536,,7566,1,1,LTE,,,37148,,,
47.674484,-117.239591,310,120,18948,156530948,,1000,1,1,LTE,,,18948,,,
47.67448425293,-117.24128723145,310,120,18946,156530948,,1000,1,1,LTE,,,18946,,,
47.67448425293,-117.23304748535,310,410,42990,8298420,,1000,1,1,UMTS,,,,,,
47.674689,-117.242514,311,480,768,154476046,,1000,1,1,LTE,,,768,,,
47.67469,-117.236112,311,480,768,77789452,,3117,1,1,LTE,,,768,,,
