lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
30.221571,-81.695427,311,870,33408,34154497,,1000,1,1,LTE,,,33408,,,
30.221769,-81.693382,312,250,32621,77735681,,1000,1,1,LTE,,,32621,,,
30.222397,-81.695023,310,410,27580,230706707,,1000,1,1,UMTS,,,,,,
30.22245,-81.69586,310,410,12554,176923152,,1000,1,1,LTE,,,12554,,,
30.222702026367,-81.697769165039,311,870,21298,15544294,,1000,1,1,UMTS,,,,,,
30.222702026367,-81.693649291992,311,870,8320,34154497,,1000,1,1,LTE,,,8320,,,
30.222702026367,-81.690902709961,310,410,12554,230706707,,1000,1,1,LTE,,,12554,,,
30.222702026367,-81.689529418945,311,480,36608,113559830,,1000,1,1,LTE,,,36608,,,
30.22377,-81.688004,310,120,9473,77735681,,1000,1,1,LTE,,,9473,,,
30.224075,-81.688991,311,480,36608,36759830,,1000,1,1,LTE,,,36608,,,
30.224075,-81.688843,310,410,27582,230722581,,1000,1,1,UMTS,,,,,,
30.224075317383,-81.690902709961,310,410,27580,230721788,,1000,1,1,UMTS,,,,,,
30.224163,-81.690041,310,410,12554,179001346,,1000,1,1,LTE,,,12554,,,
30.224452,-81.695124,310,410,27580,230721782,,3603,1,1,UMTS,,,,,,
30.224934,-81.688328,311,870,9473,34154497,,1072,1,1,LTE,,,9473,,,
30.225448608398,-81.689529418945,310,410,27580,233474685,,1000,1,1,UMTS,,,,,,
30.225449,-81.697598,310,410,12554,176923145,,1000,1,1,LTE,,,12554,,,
30.225849,-81.687813,310,120,9473,77735682,,1000,1,1,LTE,,,9473,,,
30.226323,-81.692276,310,4654,87,23241,,1000,1,1,CDMA,,,,4654,87,23241
30.227701,-81.696285,310,260,21298,15544293,,1670,1,1,UMTS,,,,,,
30.227935,-81.694511,310,410,12554,176950785,,5392,1,1,LTE,,,12554,,,
30.22819519043,-81.697769165039,310,4138,2,8785,,1000,1,1,CDMA,,,,4138,2,8785
