lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
30.394901,-87.294639,310,120,303,57562,,1000,1,1,CDMA,,,,120,303,57562
30.395253,-87.299446,310,260,33363,38908685,,1980,1,1,LTE,,,33363,,,
30.395279,-87.30217,310,260,34398,66652115,,1000,1,1,UMTS,,,,,,
30.396612,-87.297501,310,260,33287,38908813,,1000,1,1,LTE,,,33287,,,
30.39671,-87.293147,310,260,33287,38908805,,1000,1,1,LTE,,,33287,,,
30.396988,-87.296086,311,480,32534,32612128,,3389,1,1,LTE,,,32534,,,
30.397109985352,-87.302169799805,310,410,15758,212845575,,1000,1,1,LTE,,,15758,,,
30.397996,-87.295392,310,260,15471,2003,,1092,1,1,GSM,,,,,,
30.399856567383,-87.300796508789,311,480,32535,32612130,,1000,1,1,LTE,,,32535,,,
30.399856567383,-87.293930053711,311,480,32535,109412128,,1000,1,1,LTE,,,32535,,,
30.400315,-87.303086,311,120,120,4486,,1089,1,1,LTE,,,120,,,
30.400976,-87.301491,310,120,303,57483,,1000,1,1,CDMA,,,,120,303,57483
30.400976,-87.301491,310,120,303,57561,,1000,1,1,CDMA,,,,120,303,57561
30.402351,-87.293808,310,,120,4996,,1000,1,1,LTE,,,120,,,
30.402452,-87.29377,310,,120,4999,,1000,1,1,LTE,,,120,,,
