lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.785959,-75.068785,310,410,286,8638224,,2453,1,1,LTE,,,286,,,
39.78630065918,-75.071640014648,311,480,25359,25456641,,1000,1,1,LTE,,,25359,,,
39.78630065918,-75.071640014648,311,480,25359,25456652,,1000,1,1,LTE,,,25359,,,
39.786438,-75.072052,311,480,25356,25456652,,1000,1,1,LTE,,,25356,,,
39.787673950195,-75.07438659668,310,260,34694,39928520,,1000,1,1,UMTS,,,,,,
39.787673950195,-75.07438659668,310,260,34694,39928517,,1000,1,1,UMTS,,,,,,
39.787674,-75.075073,311,480,25360,25441283,,1000,1,1,LTE,,,25360,,,
39.788773,-75.076484,310,410,286,8638225,,1274,1,1,LTE,,,286,,,
39.789387,-75.0737,310,410,286,8638231,,1000,1,1,LTE,,,286,,,
39.789708,-75.07314,310,260,22028,10888966,,2762,1,1,LTE,,,22028,,,
39.789928,-75.069546,311,480,25356,25456641,,1178,1,1,LTE,,,25356,,,
39.792134,-75.070847,310,260,22250,11136259,,11950,1,1,LTE,,,22250,,,
39.792207,-75.070789,310,260,22250,12167171,,11952,1,1,LTE,,,22250,,,
39.793531,-75.076309,310,260,22028,228626709,,1000,1,1,LTE,,,22028,,,
39.793683,-75.077298,311,870,73,441,,1000,1,1,CDMA,,,,870,73,441
39.79374,-75.072205,310,260,22021,11450117,,2070,1,1,LTE,,,22021,,,
