lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.606319,-86.729289,310,410,16669,56100781,,2266,1,1,LTE,,,16669,,,
41.60634,-86.71998,311,480,51752,51878422,,1000,1,1,LTE,,,51752,,,
41.606735,-86.726761,310,410,21998,15637,,1000,1,1,CDMA,,,,410,21998,15637
41.606892,-86.72833,310,410,16650,56100632,,1000,1,1,LTE,,,16650,,,
41.606955,-86.719138,310,120,16167,132286465,,5136,1,1,LTE,,,16167,,,
41.607448,-86.72672,310,410,16669,53847811,,1000,1,1,LTE,,,16669,,,
41.607599,-86.727579,310,410,16669,54160150,,1000,1,1,LTE,,,16669,,,
41.607857,-86.72668,310,410,21967,67964268,,1000,1,1,UMTS,,,,,,
41.607876,-86.726852,310,410,21967,67993469,,1000,1,1,UMTS,,,,,,
41.6081,-86.7295,310,260,10622976,4441296899,,1455,1,1,NR,,,10622976,,,
41.6082,-86.727242,311,480,51752,51724834,,1000,1,1,LTE,,,51752,,,
41.608425,-86.724724,310,410,16669,56100631,,1000,1,1,LTE,,,16669,,,
41.608429,-86.729106,310,410,16669,56156950,,1000,1,1,LTE,,,16669,,,
41.608463,-86.72754,310,410,16669,55738903,,1000,1,1,LTE,,,16669,,,
41.608657836914,-86.729507446289,310,410,21998,4107631,,1000,1,1,UMTS,,,,,,
41.608657836914,-86.729507446289,310,410,21998,3439,,1000,1,1,CDMA,,,,410,21998,3439
41.608883,-86.725754,310,410,16669,54160277,,1000,1,1,LTE,,,16669,,,
41.609116,-86.721268,310,410,21998,4107627,,1000,1,1,UMTS,,,,,,
41.609137,-86.726039,310,410,16669,54160136,,1000,1,1,LTE,,,16669,,,
41.609258,-86.729604,310,410,16669,56157099,,1000,1,1,LTE,,,16669,,,
41.609627,-86.724396,310,410,16669,53847958,,1000,1,1,LTE,,,16669,,,
41.61003112793,-86.730880737305,310,,16181,132286465,,1000,1,1,LTE,,,16181,,,
41.61003112793,-86.721267700195,310,80,1,562,,1000,1,1,CDMA,,,,80,1,562
41.61003112793,-86.721267700195,310,410,21998,32637,,1000,1,1,CDMA,,,,410,21998,32637
41.6101,-86.7303,310,260,41496,104441603,,2712,1,1,LTE,,,41496,,,
41.610101,-86.72409,310,260,41496,6189936,,1273,1,1,LTE,,,41496,,,
41.610191,-86.724267,310,260,41496,6189836,,1280,1,1,LTE,,,41496,,,
41.610274,-86.719838,310,120,16167,133617671,,1315,1,1,LTE,,,16167,,,
41.610655,-86.727518,310,410,16669,56157155,,1000,1,1,LTE,,,16669,,,
41.610883,-86.722912,310,410,16669,56100780,,1000,1,1,LTE,,,16669,,,
41.611404418945,-86.726760864258,310,410,21219,3432,,1000,1,1,GSM,,,,,,
41.611404418945,-86.722640991211,311,870,16181,132286468,,1000,1,1,LTE,,,16181,,,
41.611404418945,-86.722640991211,311,870,16181,132286467,,1000,1,1,LTE,,,16181,,,
41.611404418945,-86.71989440918,310,410,21998,4107630,,1000,1,1,UMTS,,,,,,
41.6116,-86.720435,310,410,16669,53847817,,2295,1,1,LTE,,,16669,,,
41.611862,-86.722183,310,120,16181,133617665,,1000,1,1,LTE,,,16181,,,
41.61207,-86.722828,311,480,51752,51941390,,2544,1,1,LTE,,,51752,,,
41.612251,-86.727608,312,250,41496,132286468,,1000,1,1,LTE,,,41496,,,
41.6128,-86.7256,310,260,10622976,4441296919,,1000,1,1,NR,,,10622976,,,
41.613381,-86.719261,311,480,51752,51724824,,1000,1,1,LTE,,,51752,,,
41.613464,-86.719551,310,20,1,562,,1000,1,1,CDMA,,,,20,1,562
41.613714,-86.727971,310,410,16669,56100779,,1000,1,1,LTE,,,16669,,,
41.613899,-86.727671,310,260,41496,9327757,,1000,1,1,LTE,,,41496,,,
41.6141,-86.7286,310,260,10622976,4441297209,,1000,1,1,NR,,,10622976,,,
41.614151000977,-86.721267700195,310,,16181,132286466,,1000,1,1,LTE,,,16181,,,
41.614279,-86.728443,310,410,21967,67997263,,1000,1,1,UMTS,,,,,,
41.614639,-86.728618,310,260,41496,132286465,,1000,1,1,LTE,,,41496,,,
