lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
44.935142,-123.007823,310,260,35895,80659305,,6773,1,1,UMTS,,,,,,
44.935676,-123.002243,311,30,2,4870,,1000,1,1,LTE,,,2,,,
44.935867,-123.006363,310,410,33992,13903047,,1000,1,1,UMTS,,,,,,
44.936141967773,-123.00636291504,310,30,2,852,,1000,1,1,LTE,,,2,,,
44.936142,-123.00856,310,260,13603,21914901,,1276,1,1,LTE,,,13603,,,
44.936142,-122.997208,311,480,1281,1381889,,1000,1,1,LTE,,,1281,,,
44.936142,-122.99675,310,410,41023,4294,,1000,1,1,GSM,,,,,,
44.936145,-123.008518,310,260,13603,21916183,,3956,1,1,LTE,,,13603,,,
44.93622,-123.007579,311,870,245,23857,,1000,1,1,CDMA,,,,870,245,23857
44.936655,-123.000257,311,480,1281,1421836,,4816,1,1,LTE,,,1281,,,
44.936714,-123.000069,310,120,20487,167873027,,2054,1,1,LTE,,,20487,,,
44.937296,-122.998127,310,410,36869,84664344,,1000,1,1,LTE,,,36869,,,
44.937515258789,-123.00498962402,310,260,35894,87216522,,1000,1,1,UMTS,,,,,,
44.937522,-123.004503,310,260,13612,21835069,,4200,1,1,LTE,,,13612,,,
44.937529,-122.999272,312,250,13612,167873037,,1000,1,1,LTE,,,13612,,,
44.937677,-123.00856,310,410,33992,13903044,,8066,1,1,UMTS,,,,,,
44.938122,-123.009201,312,250,13612,167873026,,1000,1,1,LTE,,,13612,,,
44.938248,-122.998104,311,480,1281,78147104,,1000,1,1,LTE,,,1281,,,
44.938271,-123.008995,312,250,13612,167873038,,1000,1,1,LTE,,,13612,,,
44.938431,-122.998123,310,30,2,4870,,1000,1,1,CDMA,,,,30,2,4870
44.93882,-123.00927,312,250,13612,21915137,,1000,1,1,LTE,,,13612,,,
44.938888549805,-123.00910949707,310,120,20488,167873039,,1000,1,1,LTE,,,20488,,,
44.938888549805,-123.00224304199,310,260,35894,13900835,,1000,1,1,UMTS,,,,,,
44.939064,-123.008987,312,250,13612,21916683,,1000,1,1,LTE,,,13612,,,
44.939138,-123.007861,310,260,13603,21916693,,1000,1,1,LTE,,,13603,,,
44.939232,-123.007393,310,120,20488,169204224,,1000,1,1,LTE,,,20488,,,
44.939331,-123.009132,312,250,13612,49832077,,1000,1,1,LTE,,,13612,,,
44.939627,-123.004642,310,260,13602,24124951,,1000,1,1,LTE,,,13602,,,
44.939657,-123.001927,311,480,1281,1347108,,2538,1,1,LTE,,,1281,,,
44.940151,-123.007645,312,250,13612,167873036,,1000,1,1,LTE,,,13612,,,
44.94026184082,-123.00773620605,310,120,20488,169204227,,1000,1,1,LTE,,,20488,,,
44.94026184082,-123.00086975098,310,260,35894,87202907,,1000,1,1,UMTS,,,,,,
44.94026184082,-122.99949645996,310,260,35894,87202901,,1000,1,1,UMTS,,,,,,
44.94026184082,-122.99812316895,310,260,35894,87216521,,1000,1,1,UMTS,,,,,,
44.94026184082,-122.99674987793,310,260,35873,40021,,1000,1,1,GSM,,,,,,
44.940353,-123.004356,310,260,62465,205918175,,1000,1,1,UMTS,,,,,,
44.940467,-123.000322,310,120,20487,167873024,,2213,1,1,LTE,,,20487,,,
44.940533,-123.008293,310,260,13612,167873036,,1000,1,1,LTE,,,13612,,,
44.940773,-123.000252,311,490,245,23857,,1000,1,1,LTE,,,245,,,
44.94088,-123.008789,310,260,13612,21914941,,1000,1,1,LTE,,,13612,,,
44.940998,-123.00808,310,260,13612,167873026,,1000,1,1,LTE,,,13612,,,
44.941067,-123.008385,312,250,13612,49832067,,1000,1,1,LTE,,,13612,,,
44.941185,-123.00824,312,250,13612,24124941,,1000,1,1,LTE,,,13612,,,
44.94136,-123.007736,310,120,20488,167873024,,1000,1,1,LTE,,,20488,,,
44.941589,-123.007278,312,250,13612,24124991,,1000,1,1,LTE,,,13612,,,
44.941635,-122.998123,310,410,33992,13901897,,1000,1,1,UMTS,,,,,,
44.941635131836,-123.00773620605,310,120,20488,169204230,,1000,1,1,LTE,,,20488,,,
44.941635131836,-123.00224304199,310,260,35873,40022,,1000,1,1,GSM,,,,,,
44.941635131836,-122.99812316895,310,120,20487,169204227,,1000,1,1,LTE,,,20487,,,
44.941637,-123.008418,310,260,35895,80650294,,2188,1,1,UMTS,,,,,,
44.941807,-123.000956,310,410,33992,13900838,,1000,1,1,UMTS,,,,,,
44.942408,-123.005333,310,120,20487,167873039,,1000,1,1,LTE,,,20487,,,
44.942511,-123.009092,312,250,13612,45113221,,1000,1,1,LTE,,,13612,,,
44.94281,-122.998299,310,,2,689,,1000,1,1,LTE,,,2,,,
44.94281,-122.998299,310,,2,4870,,1000,1,1,LTE,,,2,,,
44.942814,-122.998322,310,,245,23857,,1000,1,1,LTE,,,245,,,
44.94286,-123.007153,312,250,13612,24124951,,1000,1,1,LTE,,,13612,,,
44.942863,-123.007759,310,260,13612,21916683,,1000,1,1,LTE,,,13612,,,
44.942866,-123.007089,310,260,13612,24124941,,4827,1,1,LTE,,,13612,,,
44.942875,-122.998322,310,,245,61730,,1000,1,1,LTE,,,245,,,
44.942978,-123.001123,310,260,13612,24124931,,6987,1,1,LTE,,,13612,,,
44.943008422852,-123.00224304199,310,120,20487,169204230,,1000,1,1,LTE,,,20487,,,
44.943008422852,-122.99949645996,310,260,13603,21055233,,1000,1,1,LTE,,,13603,,,
44.943025,-123.007267,310,260,13612,24124991,,4849,1,1,LTE,,,13612,,,
44.943114,-122.999195,310,410,33992,13900835,,1000,1,1,LTE,,,33992,,,
44.943123,-123.007744,312,250,13612,167812363,,1000,1,1,LTE,,,13612,,,
44.943146,-123.00803,312,250,13612,21915415,,1000,1,1,LTE,,,13612,,,
44.943249,-123.007809,310,260,13612,24125041,,2876,1,1,LTE,,,13612,,,
44.943308,-123.00776,312,250,13612,21913857,,1000,1,1,LTE,,,13612,,,
44.94332,-123.004836,310,260,13612,45113221,,1628,1,1,LTE,,,13612,,,
44.943359,-123.007835,310,260,35873,74096109,,1000,1,1,UMTS,,,,,,
44.943367,-123.007866,310,260,13612,167873030,,1000,1,1,LTE,,,13612,,,
44.943375,-123.007835,312,250,13612,167873812,,1000,1,1,LTE,,,13612,,,
44.943378,-123.007828,312,250,13612,21915405,,1000,1,1,LTE,,,13612,,,
44.943382,-123.007828,312,250,13612,167873024,,1000,1,1,LTE,,,13612,,,
44.943382,-123.007797,312,250,13612,24124931,,1000,1,1,LTE,,,13612,,,
44.94339,-123.00779,310,260,13612,49832077,,1000,1,1,LTE,,,13612,,,
44.943394,-123.007828,310,260,1281,1347104,,1000,1,1,LTE,,,1281,,,
44.943403,-123.00778,310,260,13612,21835889,,1000,1,1,LTE,,,13612,,,
44.943409,-123.000137,310,120,13612,167873024,,1000,1,1,LTE,,,13612,,,
44.943417,-123.007828,310,260,13612,21916733,,1000,1,1,LTE,,,13612,,,
44.943539,-123.007744,312,250,13695,25155599,,1000,1,1,LTE,,,13695,,,
44.943562,-123.007629,310,260,13612,167873024,,1000,1,1,LTE,,,13612,,,
44.943562,-123.004715,310,260,13612,49832067,,1000,1,1,LTE,,,13612,,,
44.943584,-123.003464,312,250,13612,21916673,,1000,1,1,LTE,,,13612,,,
44.943607,-123.0037,310,260,13612,45113231,,1303,1,1,LTE,,,13612,,,
44.943634,-122.998581,310,120,13612,167873286,,1000,1,1,LTE,,,13612,,,
