lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.149373,-73.868659,310,260,23011,224245782,,1000,1,1,LTE,,,23011,,,
41.150586,-73.868759,310,260,22610,12492033,,1000,1,1,LTE,,,22610,,,
41.150593,-73.862038,311,870,2,744,,1000,1,1,LTE,,,2,,,
41.151029,-73.871428,310,410,2445,208221960,,8483,1,1,LTE,,,2445,,,
41.151351928711,-73.86589050293,310,120,2327,19085571,,1000,1,1,LTE,,,2327,,,
41.152039,-73.866577,310,260,52198,13234831,,1000,1,1,UMTS,,,,,,
41.152065,-73.863891,310,410,2445,207933201,,5466,1,1,LTE,,,2445,,,
41.152505,-73.869231,310,260,23011,228801538,,1000,1,1,LTE,,,23011,,,
41.152721,-73.869057,310,260,23011,224246158,,1000,1,1,LTE,,,23011,,,
41.152725219727,-73.868637084961,310,4162,2,494,,1000,1,1,CDMA,,,,4162,2,494
41.154098510742,-73.868637084961,311,480,19970,20019713,,1000,1,1,LTE,,,19970,,,
41.154458,-73.869215,310,260,23011,224246159,,1000,1,1,LTE,,,23011,,,
41.154775,-73.866816,310,260,22576,12484613,,12312,1,1,LTE,,,22576,,,
41.154785,-73.87001,310,410,11907,168769698,,1000,1,1,UMTS,,,,,,
41.154785,-73.869324,310,410,11907,164059900,,1000,1,1,UMTS,,,,,,
41.155014,-73.864517,311,16,2,1010,,1000,1,1,LTE,,,2,,,
41.1553,-73.8689,310,260,23011,224246149,,1000,1,1,LTE,,,23011,,,
41.155471801758,-73.868637084961,310,260,52163,13225448,,1000,1,1,UMTS,,,,,,
41.155471801758,-73.868637084961,310,410,3986,168782583,,1000,1,1,UMTS,,,,,,
41.155761,-73.866447,310,120,2325,19085827,,1000,1,1,LTE,,,2325,,,
41.156296,-73.863144,311,16,2,754,,1000,1,1,LTE,,,2,,,
41.1565,-73.869,310,260,23011,228801539,,1000,1,1,LTE,,,23011,,,
41.1569,-73.8691,310,260,23011,228801549,,1000,1,1,LTE,,,23011,,,
41.157277,-73.869264,310,260,22788,11783941,,1000,1,1,LTE,,,22788,,,
41.15752,-73.863934,310,120,2325,19085851,,1000,1,1,LTE,,,2325,,,
