lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
44.105551,-93.247107,311,480,49171,49230604,,1698,1,1,LTE,,,49171,,,
44.10653,-93.245661,311,480,49171,49153539,,1534,1,1,LTE,,,49171,,,
44.107364,-93.253391,310,260,43525,25898507,,21883,1,1,LTE,,,43525,,,
44.108047485352,-93.24577331543,311,480,49172,126030605,,1000,1,1,LTE,,,49172,,,
44.109420776367,-93.247146606445,311,490,19746,161498880,,1000,1,1,LTE,,,19746,,,
44.109420776367,-93.24577331543,311,870,19746,161529344,,1000,1,1,LTE,,,19746,,,
44.109596,-93.246185,310,410,17942,82755479,,1000,1,1,LTE,,,17942,,,
44.109792,-93.246758,311,480,49172,49230605,,3105,1,1,LTE,,,49172,,,
44.110024,-93.245957,311,480,49171,49331744,,1000,1,1,LTE,,,49171,,,
44.110794067383,-93.249893188477,310,22419,12,22801,,1000,1,1,CDMA,,,,22419,12,22801
44.1115,-93.2464,310,260,43525,5795595,,3413,1,1,LTE,,,43525,,,
44.111788,-93.251592,310,410,32513,91651953,,3010,1,1,UMTS,,,,,,
44.112167358398,-93.24577331543,311,870,19746,161498880,,1000,1,1,LTE,,,19746,,,
44.112465,-93.246315,310,410,17942,82755087,,6493,1,1,LTE,,,17942,,,
44.113540649414,-93.24577331543,310,260,29874,54231,,1000,1,1,GSM,,,,,,
44.113702,-93.250701,310,120,19723,162830086,,2454,1,1,LTE,,,19723,,,
