lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
37.776309,-87.065675,311,480,59392,59444737,,1000,1,1,LTE,,,59392,,,
37.776573,-87.067037,310,410,15903,207979991,,3525,1,1,UMTS,,,,,,
37.776765,-87.066735,310,410,8194,39271339,,6117,1,1,LTE,,,8194,,,
37.777024,-87.063128,310,410,8194,40809389,,4722,1,1,LTE,,,8194,,,
37.778209,-87.062211,310,410,8194,40813207,,3272,1,1,LTE,,,8194,,,
37.778263,-87.064651,310,410,8194,39281343,,1000,1,1,LTE,,,8194,,,
37.778538,-87.068706,310,410,8194,39277229,,1767,1,1,LTE,,,8194,,,
37.778549,-87.063904,310,410,15903,207990112,,1000,1,1,UMTS,,,,,,
37.77861,-87.063065,310,260,65534,7016961,,1000,1,1,UMTS,,,,,,
37.778858,-87.064163,310,410,8194,207980109,,1000,1,1,LTE,,,8194,,,
37.778918,-87.063694,310,410,8194,39280260,,1000,1,1,LTE,,,8194,,,
37.779029,-87.06352,310,410,15903,207990115,,1000,1,1,UMTS,,,,,,
37.779042,-87.063377,310,410,15903,207980109,,1000,1,1,UMTS,,,,,,
37.779922485352,-87.065963745117,310,410,15903,34263,,1000,1,1,GSM,,,,,,
37.779922485352,-87.06184387207,310,120,14516,118051611,,1000,1,1,LTE,,,14516,,,
37.780024,-87.062797,310,410,8194,40813066,,4798,1,1,LTE,,,8194,,,
37.781295776367,-87.065963745117,311,870,14516,118051611,,1000,1,1,LTE,,,14516,,,
37.781295776367,-87.06184387207,310,4148,304,55171,,1000,1,1,CDMA,,,,4148,304,55171
37.781889,-87.068722,311,480,59392,59444748,,4200,1,1,LTE,,,59392,,,
37.782565,-87.061387,310,410,8194,39271369,,5752,1,1,LTE,,,8194,,,
