lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
29.920578,-90.088381,310,410,18994,211419408,,1000,1,1,UMTS,,,,,,
29.92057800293,-90.091323852539,311,870,11523,94446594,,1000,1,1,LTE,,,11523,,,
29.92057800293,-90.088577270508,310,410,18994,211459414,,1000,1,1,UMTS,,,,,,
29.920971,-90.090539,310,120,11527,94404107,,3040,1,1,LTE,,,11527,,,
29.921045,-90.096883,310,260,33641,2647821,,1206,1,1,LTE,,,33641,,,
29.921071,-90.094478,311,480,32321,32425506,,3554,1,1,LTE,,,32321,,,
29.921094,-90.096539,311,480,32321,32425504,,1000,1,1,LTE,,,32321,,,
29.921127,-90.09819,311,480,32321,32425475,,1000,1,1,LTE,,,32321,,,
29.921402,-90.088577,310,410,18994,211419414,,1000,1,1,UMTS,,,,,,
29.921494,-90.09407,310,120,11523,94404099,,1000,1,1,LTE,,,11523,,,
29.92159,-90.092769,310,120,11527,94404099,,1000,1,1,LTE,,,11527,,,
29.921826,-90.095254,310,260,32096,66745747,,1000,1,1,UMTS,,,,,,
29.921951,-90.088348,310,410,18994,211459408,,1000,1,1,UMTS,,,,,,
29.921951293945,-90.098190307617,311,870,11573,94933786,,1000,1,1,LTE,,,11573,,,
29.921951293945,-90.096817016602,311,480,32321,109225504,,1000,1,1,LTE,,,32321,,,
29.921951293945,-90.092697143555,311,480,32321,109225484,,1000,1,1,LTE,,,32321,,,
29.921951293945,-90.088577270508,310,410,18994,40272,,1000,1,1,CDMA,,,,410,18994,40272
29.921968,-90.094824,311,480,32321,32425762,,1000,1,1,LTE,,,32321,,,
29.922295,-90.097847,310,260,32072,30093,,1000,1,1,GSM,,,,,,
29.922445,-90.090485,310,260,33281,2647940,,1000,1,1,LTE,,,33281,,,
29.922451,-90.097329,310,410,14981,46086936,,1000,1,1,LTE,,,14981,,,
29.922638,-90.097504,310,410,18994,211459409,,1000,1,1,UMTS,,,,,,
29.923026,-90.093605,310,410,18992,211553427,,14157,1,1,UMTS,,,,,,
29.923042,-90.097429,310,260,33641,15854083,,6292,1,1,LTE,,,33641,,,
