lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.04035949707,-75.501480102539,310,260,34699,18063,,1000,1,1,CDMA,,,,260,34699,18063
40.04035949707,-75.501480102539,310,410,1998,138621179,,1000,1,1,UMTS,,,,,,
40.04151,-75.500107,310,410,269,5440785,,1000,1,1,LTE,,,269,,,
40.041732788086,-75.501480102539,310,410,1998,12536,,1000,1,1,CDMA,,,,410,1998,12536
40.041733,-75.500162,310,410,1998,138626173,,1000,1,1,UMTS,,,,,,
40.042419,-75.500107,310,410,1998,138621176,,1000,1,1,UMTS,,,,,,
40.042419,-75.496674,310,410,1998,138621175,,1000,1,1,UMTS,,,,,,
40.042444,-75.498127,310,410,267,5440778,,1000,1,1,LTE,,,267,,,
40.043262,-75.500309,310,260,22239,13103363,,1000,1,1,LTE,,,22239,,,
40.043793,-75.504913,310,260,34685,98913320,,1000,1,1,UMTS,,,,,,
40.043846,-75.501163,310,260,22239,13103361,,2330,1,1,LTE,,,22239,,,
40.044479370117,-75.505599975586,310,410,1998,12539,,1000,1,1,CDMA,,,,410,1998,12539
40.044479370117,-75.502853393555,310,410,269,5464848,,1000,1,1,LTE,,,269,,,
40.044479370117,-75.498733520508,310,260,34607,19493,,1000,1,1,CDMA,,,,260,34607,19493
40.044563,-75.502602,310,260,22239,78366598,,1000,1,1,LTE,,,22239,,,
40.044586,-75.502892,310,260,22239,78366608,,1000,1,1,LTE,,,22239,,,
40.04459,-75.502388,310,260,22240,12581385,,1000,1,1,LTE,,,22240,,,
40.045852661133,-75.497360229492,310,260,22030,13514245,,1000,1,1,LTE,,,22030,,,
40.045852661133,-75.497360229492,311,8,7,595,,1000,1,1,LTE,,,7,,,
40.047225952148,-75.498733520508,310,410,1998,13472,,1000,1,1,CDMA,,,,410,1998,13472
40.047913,-75.498047,310,410,1998,138620705,,1000,1,1,UMTS,,,,,,
40.048599243164,-75.498733520508,310,120,3333,27307290,,1000,1,1,LTE,,,3333,,,
