lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
32.912391,-96.664287,310,6503,66,1099,,1000,1,1,CDMA,,,,6503,66,1099
32.91274,-96.66453,310,260,31931,19818254,,6112,1,1,LTE,,,31931,,,
32.912979125977,-96.665267944336,310,260,10199,7015680,,1000,1,1,UMTS,,,,,,
32.913494,-96.66647,311,480,34050,34175747,,1000,1,1,LTE,,,34050,,,
32.913666,-96.667328,310,260,10199,7015675,,1000,1,1,UMTS,,,,,,
32.914169,-96.67061,310,410,52855,108137416,,1000,1,1,UMTS,,,,,,
32.914278,-96.664798,310,410,27182,134294807,,1328,1,1,LTE,,,27182,,,
32.914322,-96.66622,311,480,34050,34108940,,6823,1,1,LTE,,,34050,,,
32.914352,-96.673508,310,260,10199,7016158,,1000,1,1,UMTS,,,,,,
32.914352416992,-96.670761108398,310,260,10188,7015680,,1000,1,1,UMTS,,,,,,
32.914352416992,-96.668014526367,310,260,10188,7015675,,1000,1,1,UMTS,,,,,,
32.914352416992,-96.666641235352,310,120,7990,65570074,,1000,1,1,LTE,,,7990,,,
32.914564,-96.673914,310,410,27182,133186316,,1950,1,1,LTE,,,27182,,,
32.914602,-96.666641,310,120,7937,65570074,,1000,1,1,LTE,,,7937,,,
32.915167,-96.666352,311,480,34050,34108929,,1025,1,1,LTE,,,34050,,,
32.915583,-96.67435,310,260,31892,39085700,,1779,1,1,LTE,,,31892,,,
32.915666,-96.665805,310,260,31811,16275203,,1000,1,1,LTE,,,31811,,,
32.915725708008,-96.67350769043,310,260,45999,7026158,,1000,1,1,UMTS,,,,,,
32.915726,-96.664581,310,260,10199,7025675,,1000,1,1,UMTS,,,,,,
32.916063,-96.669063,310,260,10188,144651275,,1000,1,1,UMTS,,,,,,
32.916077,-96.670967,310,260,31931,20016651,,1000,1,1,LTE,,,31931,,,
32.916077,-96.670967,310,260,31934,20111117,,1000,1,1,LTE,,,31934,,,
32.916077,-96.670967,310,260,31931,16541697,,1000,1,1,LTE,,,31931,,,
32.916096,-96.670967,310,260,31934,19818254,,1000,1,1,LTE,,,31934,,,
32.916168,-96.67086,310,260,31931,15557142,,1000,1,1,LTE,,,31931,,,
32.916243,-96.670799,310,260,31931,16275223,,1000,1,1,LTE,,,31931,,,
32.916253,-96.670868,310,260,31934,15557142,,1000,1,1,LTE,,,31934,,,
32.916262,-96.666315,311,480,34050,34175776,,1000,1,1,LTE,,,34050,,,
32.916328,-96.665512,311,870,7937,66365243,,1000,1,1,LTE,,,7937,,,
32.916373,-96.665363,311,870,31892,66612793,,1262,1,1,LTE,,,31892,,,
32.916434,-96.67363,310,260,31892,19751190,,1000,1,1,LTE,,,31892,,,
32.916464,-96.666567,310,260,31892,20111117,,4733,1,1,LTE,,,31892,,,
32.916528,-96.666085,310,260,31931,16275203,,3322,1,1,LTE,,,31931,,,
32.916531,-96.67157,310,260,31892,2701835,,1000,1,1,LTE,,,31892,,,
32.916842,-96.671665,310,260,31934,19751190,,1000,1,1,LTE,,,31934,,,
32.917017,-96.670676,310,120,312,53459,,6197,1,1,LTE,,,312,,,
32.917097,-96.669707,310,260,31895,16546817,,22537,1,1,LTE,,,31895,,,
32.917098999023,-96.666641235352,310,410,52855,6761417,,1000,1,1,UMTS,,,,,,
32.917098999023,-96.66389465332,310,260,44371,15000,,1000,1,1,GSM,,,,,,
32.917187,-96.664734,310,260,31895,20437528,,1000,1,1,LTE,,,31895,,,
32.918376,-96.672056,310,410,27182,134294786,,1108,1,1,LTE,,,27182,,,
32.918446,-96.665314,311,870,31892,219576130,,1000,1,1,LTE,,,31892,,,
32.918472290039,-96.665267944336,311,870,5768,25213450,,1000,1,1,LTE,,,5768,,,
32.918484,-96.666491,310,260,31892,19818244,,22377,1,1,LTE,,,31892,,,
