lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
45.700439,-121.525904,311,870,245,59123,,5394,1,1,CDMA,,,,870,245,59123
45.701127,-121.518705,310,260,35871,29302,,7714,1,1,GSM,,,,,,
45.701741,-121.525557,310,410,36896,84701185,,1000,1,1,LTE,,,36896,,,
45.704718,-121.525546,310,120,245,59123,,5592,1,1,LTE,,,245,,,
45.704919,-121.530209,310,410,36896,84527618,,3540,1,1,LTE,,,36896,,,
45.705455,-121.520495,310,260,13611,23299329,,6412,1,1,LTE,,,13611,,,
45.705841,-121.522973,310,260,13601,46029058,,13947,1,1,LTE,,,13601,,,
45.706558227539,-121.52046203613,310,410,33996,1868,,1000,1,1,CDMA,,,,410,33996,1868
45.706631,-121.52039,310,120,20482,167829008,,1000,1,1,LTE,,,20482,,,
45.707931518555,-121.52732849121,310,410,33985,14273176,,1000,1,1,UMTS,,,,,,
45.707931518555,-121.52046203613,310,99,5127,105001987,,1000,1,1,LTE,,,5127,,,
45.707931518555,-121.51908874512,310,410,33996,14229171,,1000,1,1,UMTS,,,,,,
45.708103,-121.520587,310,410,36896,84680984,,1000,1,1,LTE,,,36896,,,
45.708275,-121.524126,310,410,36896,84680963,,1000,1,1,LTE,,,36896,,,
45.708618,-121.524582,310,410,33996,890697,,1000,1,1,UMTS,,,,,,
