lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
47.645645,-117.411652,311,480,772,154382339,,1000,1,1,LTE,,,772,,,
47.645645,-117.400589,310,120,18945,155219728,,1000,1,1,LTE,,,18945,,,
47.645645141602,-117.41157531738,310,120,18947,156549889,,1000,1,1,LTE,,,18947,,,
47.645698,-117.411945,311,480,772,782368,,1000,1,1,LTE,,,772,,,
47.645715,-117.411106,311,480,772,782339,,1000,1,1,LTE,,,772,,,
47.645981,-117.406101,311,480,772,877336,,1000,1,1,LTE,,,772,,,
47.646019,-117.408218,311,480,772,877334,,1000,1,1,LTE,,,772,,,
47.646041,-117.412289,311,480,772,782360,,1000,1,1,LTE,,,772,,,
47.646247,-117.403751,310,260,15701,21933069,,2252,1,1,LTE,,,15701,,,
47.646734,-117.412001,311,480,772,154382368,,1000,1,1,LTE,,,772,,,
47.647018432617,-117.4129486084,310,4188,49,40322,,1000,1,1,CDMA,,,,4188,49,40322
47.647018432617,-117.4129486084,310,120,18947,155218692,,1000,1,1,LTE,,,18947,,,
47.647018432617,-117.41157531738,310,260,42591,9316573,,1000,1,1,UMTS,,,,,,
47.647018432617,-117.41157531738,310,120,18947,155218693,,1000,1,1,LTE,,,18947,,,
47.647018432617,-117.40333557129,310,120,18945,155219716,,1000,1,1,LTE,,,18945,,,
47.647185,-117.413492,311,480,772,77783822,,1265,1,1,LTE,,,772,,,
47.647476,-117.412186,310,410,42990,8298208,,1000,1,1,UMTS,,,,,,
47.647541,-117.413109,312,250,15701,155206667,,1000,1,1,LTE,,,15701,,,
47.647869,-117.413322,312,250,15701,155206660,,1000,1,1,LTE,,,15701,,,
47.648043,-117.413563,310,260,15701,22075925,,1000,1,1,LTE,,,15701,,,
47.64819,-117.412232,311,480,772,77783824,,1000,1,1,LTE,,,772,,,
47.648312,-117.413185,310,120,15701,155206667,,1000,1,1,LTE,,,15701,,,
47.648391723633,-117.41157531738,310,410,42990,8299658,,1000,1,1,UMTS,,,,,,
47.648391723633,-117.41157531738,310,410,52825,31143,,1000,1,1,GSM,,,,,,
47.648391723633,-117.41157531738,310,410,52825,52123,,1000,1,1,GSM,,,,,,
47.648391723633,-117.41157531738,310,410,42990,108598406,,1000,1,1,UMTS,,,,,,
47.648391723633,-117.41157531738,310,410,42990,108563216,,1000,1,1,UMTS,,,,,,
47.648391723633,-117.41157531738,310,410,52825,11143,,1000,1,1,GSM,,,,,,
47.648391723633,-117.41020202637,310,410,42990,31142,,1000,1,1,UMTS,,,,,,
47.648391723633,-117.41020202637,310,410,42990,108561169,,1000,1,1,UMTS,,,,,,
47.648392,-117.412949,310,222,48,595,,1000,1,1,CDMA,,,,222,48,595
47.648392,-117.412429,310,410,37122,108598405,,1000,1,1,LTE,,,37122,,,
47.648392,-117.411615,310,410,42990,8299659,,1000,1,1,UMTS,,,,,,
47.648392,-117.401962,310,120,18947,156534528,,1832,1,1,LTE,,,18947,,,
47.648428,-117.413601,310,260,15701,46231830,,1000,1,1,LTE,,,15701,,,
47.648616,-117.41149,310,410,37122,108598406,,500,1,1,LTE,,,37122,,,
47.648849,-117.401962,310,260,42591,9317135,,1000,1,1,UMTS,,,,,,
47.649042,-117.400656,310,260,15625,25595013,,1000,1,1,LTE,,,15625,,,
47.649078,-117.406769,311,480,772,782337,,1000,1,1,LTE,,,772,,,
47.649321,-117.401279,310,260,15701,21933119,,1000,1,1,LTE,,,15701,,,
47.649765,-117.413635,310,410,37122,108598404,,1000,1,1,LTE,,,37122,,,
47.649765014648,-117.40745544434,311,480,1019,262148964,,1000,1,1,LTE,,,1019,,,
47.649765014648,-117.40745544434,311,480,1019,262148948,,1000,1,1,LTE,,,1019,,,
47.649765014648,-117.40745544434,311,480,1019,262148900,,1000,1,1,LTE,,,1019,,,
47.650085,-117.403206,311,480,772,964886,,1000,1,1,LTE,,,772,,,
47.65028,-117.406597,310,120,18945,155206660,,1000,1,1,LTE,,,18945,,,
47.650323,-117.406608,311,480,772,77568536,,8244,1,1,LTE,,,772,,,
47.650338,-117.410802,311,480,772,877078,,1116,1,1,LTE,,,772,,,
47.650447,-117.406884,311,480,772,786456,,1000,1,1,LTE,,,772,,,
47.650452,-117.403198,310,120,18945,155219713,,1000,1,1,LTE,,,18945,,,
47.650484,-117.402546,311,480,772,768534,,4124,1,1,LTE,,,772,,,
47.650497,-117.409653,310,120,18945,156537860,,1000,1,1,LTE,,,18945,,,
47.650619,-117.410018,310,410,37122,108561169,,4102,1,1,LTE,,,37122,,,
47.65066,-117.40921,310,260,15701,48186380,,1604,1,1,LTE,,,15701,,,
47.650744,-117.40678,311,480,772,768548,,1000,1,1,LTE,,,772,,,
47.651596,-117.411118,310,260,42591,9316774,,1000,1,1,UMTS,,,,,,
47.651743,-117.410596,310,260,15801,227002124,,3391,1,1,LTE,,,15801,,,
47.651758,-117.410043,310,410,37122,108562703,,9130,1,1,LTE,,,37122,,,
47.651805,-117.406185,311,480,772,768536,,2646,1,1,LTE,,,772,,,
47.651962,-117.412125,310,120,18945,156550917,,1000,1,1,LTE,,,18945,,,
