lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
46.871199,-113.997153,310,410,41999,24319132,,1821,1,1,UMTS,,,,,,
46.87186,-113.999137,310,410,38912,105607097,,2746,1,1,LTE,,,38912,,,
46.871951,-113.996325,310,410,41999,24318870,,1014,1,1,UMTS,,,,,,
46.872051,-113.994125,310,260,51718,256542903,,1000,1,1,LTE,,,51718,,,
46.872169,-114.001243,310,410,38912,105606922,,5292,1,1,LTE,,,38912,,,
46.872482299805,-113.99345397949,310,410,41999,2982907,,1000,1,1,UMTS,,,,,,
46.873193,-113.997846,310,410,38912,105606929,,5313,1,1,LTE,,,38912,,,
46.873353,-113.993929,310,410,38912,105606936,,5670,1,1,LTE,,,38912,,,
46.873907,-113.999273,310,410,38912,105600522,,2422,1,1,LTE,,,38912,,,
46.873939,-114.003137,310,410,38912,105600271,,5249,1,1,LTE,,,38912,,,
46.873959,-113.996759,311,480,2560,2642188,,1000,1,1,LTE,,,2560,,,
46.874138,-113.996254,310,260,17400,24308228,,1000,1,1,LTE,,,17400,,,
46.874149,-113.997787,310,260,17400,48962950,,1000,1,1,LTE,,,17400,,,
46.875077,-113.995498,310,410,38912,105605656,,4784,1,1,LTE,,,38912,,,
46.87508,-114.000269,310,410,38912,105600264,,1520,1,1,LTE,,,38912,,,
46.875228881836,-114.00032043457,310,410,9,38451,,1000,1,1,GSM,,,,,,
46.875298,-113.994436,310,410,41999,24339135,,3816,1,1,UMTS,,,,,,
46.87532,-113.994127,311,480,2568,2642177,,4911,1,1,LTE,,,2568,,,
46.875564,-114.002511,311,480,2568,2562582,,4493,1,1,LTE,,,2568,,,
46.875629,-113.997055,311,480,2568,79442478,,1000,1,1,LTE,,,2568,,,
46.87628,-114.002911,310,410,41999,24339132,,19151,1,1,UMTS,,,,,,
46.876373,-114.000206,310,262,1,5137,,1377,1,1,CDMA,,,,262,1,5137
46.876995,-113.994042,310,410,41999,24338879,,1208,1,1,UMTS,,,,,,
46.877117,-113.996834,311,480,2811,263181994,,1000,1,1,LTE,,,2811,,,
46.877245,-113.994173,311,480,2560,2642177,,1000,1,1,LTE,,,2560,,,
46.877289,-113.99556,310,4,1,5137,,1000,1,1,LTE,,,1,,,
46.877583,-113.995023,310,410,41999,24338867,,1116,1,1,UMTS,,,,,,
46.877743,-114.001986,310,410,38912,105600529,,4870,1,1,LTE,,,38912,,,
46.877875,-114.000533,310,410,38912,105600697,,4985,1,1,LTE,,,38912,,,
46.877975463867,-113.99345397949,310,410,41999,25276,,1000,1,1,CDMA,,,,410,41999,25276
46.878924,-114.001318,311,480,2568,2562572,,4252,1,1,LTE,,,2568,,,
46.879454,-113.994503,310,410,41999,24338885,,1000,1,1,UMTS,,,,,,
