lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.632247924805,-74.111709594727,310,260,52102,30131,,1000,1,1,GSM,,,,,,
40.632247924805,-74.104843139648,311,870,12236,50921217,,1000,1,1,LTE,,,12236,,,
40.632247924805,-74.102096557617,310,410,3991,169770182,,1000,1,1,UMTS,,,,,,
40.632247924805,-74.100723266602,310,410,2429,208177680,,1000,1,1,LTE,,,2429,,,
40.632247924805,-74.100723266602,310,410,3990,169800182,,1000,1,1,UMTS,,,,,,
40.632248,-74.11171,311,480,20737,20752150,,1000,1,1,LTE,,,20737,,,
40.632248,-74.102783,310,410,3991,169800182,,1000,1,1,UMTS,,,,,,
40.632477,-74.105072,311,870,37324,50921217,,1000,1,1,LTE,,,37324,,,
40.633077,-74.105435,310,260,22620,10326017,,1000,1,1,LTE,,,22620,,,
40.63362121582,-74.111709594727,311,870,37324,50921218,,1000,1,1,LTE,,,37324,,,
40.63362121582,-74.111709594727,310,410,3990,169770183,,1000,1,1,UMTS,,,,,,
40.63362121582,-74.110336303711,310,120,3078,25221146,,1000,1,1,LTE,,,3078,,,
40.63362121582,-74.10758972168,310,260,22797,11222533,,1000,1,1,LTE,,,22797,,,
40.63362121582,-74.106216430664,310,260,52153,141685939,,1000,1,1,UMTS,,,,,,
40.63362121582,-74.103469848633,310,410,3919,164920524,,1000,1,1,UMTS,,,,,,
40.633646,-74.105072,310,260,22620,11254018,,1000,1,1,LTE,,,22620,,,
40.634079,-74.108963,310,260,52153,141685852,,1000,1,1,UMTS,,,,,,
40.634369,-74.104,310,260,22797,10660354,,2429,1,1,LTE,,,22797,,,
40.634417,-74.104973,310,410,2429,208177673,,1358,1,1,LTE,,,2429,,,
40.634663,-74.108932,310,410,2407,208177680,,1000,1,1,LTE,,,2407,,,
40.634701,-74.10424,311,480,20737,20752142,,1000,1,1,LTE,,,20737,,,
40.634701,-74.10424,311,480,20737,20787470,,1000,1,1,LTE,,,20737,,,
40.634712,-74.104637,310,410,2429,208177687,,1000,1,1,LTE,,,2429,,,
40.634839,-74.107341,310,120,2306,18889738,,1000,1,1,LTE,,,2306,,,
40.634863,-74.108618,310,260,22797,11222530,,2813,1,1,LTE,,,22797,,,
40.634888,-74.107353,310,120,8,25223170,,1000,1,1,LTE,,,8,,,
40.634946,-74.108448,311,480,20737,20752140,,1471,1,1,LTE,,,20737,,,
40.634994506836,-74.111709594727,310,260,52153,141685847,,1000,1,1,UMTS,,,,,,
40.634994506836,-74.110336303711,310,410,33025,41946,,1000,1,1,GSM,,,,,,
40.634994506836,-74.108963012695,311,480,20737,20752129,,1000,1,1,LTE,,,20737,,,
40.634994506836,-74.10758972168,310,410,3919,164920525,,1000,1,1,UMTS,,,,,,
40.634994506836,-74.10758972168,311,480,20737,22400513,,1000,1,1,LTE,,,20737,,,
40.634994506836,-74.106216430664,310,260,52153,141685851,,1000,1,1,UMTS,,,,,,
40.634995,-74.10553,310,260,22797,10660357,,1000,1,1,LTE,,,22797,,,
40.634995,-74.103012,311,16,7,319,,1000,1,1,LTE,,,7,,,
40.635184,-74.105838,310,260,22620,10660360,,1000,1,1,LTE,,,22620,,,
40.635246,-74.109292,310,260,22620,13809668,,1000,1,1,LTE,,,22620,,,
40.635555,-74.105717,310,260,22620,10660357,,1000,1,1,LTE,,,22620,,,
40.635685,-74.105529,310,260,52153,141657945,,2493,1,1,UMTS,,,,,,
40.635689,-74.105551,310,260,22620,10660354,,1082,1,1,LTE,,,22620,,,
40.635913,-74.110794,310,260,52153,141655139,,2937,1,1,UMTS,,,,,,
40.636024,-74.111867,310,410,3991,169770183,,1000,1,1,UMTS,,,,,,
40.636112,-74.106737,310,260,22797,10660355,,2649,1,1,LTE,,,22797,,,
40.636167,-74.105423,311,480,20737,20745986,,3327,1,1,LTE,,,20737,,,
40.636367797852,-74.108963012695,311,480,20737,22272513,,1000,1,1,LTE,,,20737,,,
40.636367797852,-74.10758972168,311,480,20737,97552140,,1000,1,1,LTE,,,20737,,,
40.63637,-74.10942,310,260,52153,141655137,,2824,1,1,UMTS,,,,,,
40.636827,-74.105301,310,260,52153,141656545,,2481,1,1,UMTS,,,,,,
40.636963,-74.110657,310,260,22620,11222536,,1000,1,1,LTE,,,22620,,,
40.637054,-74.110336,310,410,3990,165068119,,1000,1,1,UMTS,,,,,,
40.637233,-74.106109,310,410,2429,208177672,,1000,1,1,LTE,,,2429,,,
40.637833,-74.109761,310,260,22620,13559818,,2440,1,1,LTE,,,22620,,,
40.637882,-74.101967,310,260,22620,11222530,,1883,1,1,LTE,,,22620,,,
40.637913,-74.107773,310,260,22546,11222529,,1000,1,1,LTE,,,22546,,,
40.638479,-74.107762,311,480,20737,20755458,,1000,1,1,LTE,,,20737,,,
40.639346,-74.102669,310,120,8,952,,1000,1,1,CDMA,,,,120,8,952
40.639921,-74.10777,310,120,3078,25223170,,1000,1,1,LTE,,,3078,,,
