lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
37.247085571289,-76.663284301758,310,410,5639,25706257,,1000,1,1,LTE,,,5639,,,
37.247605,-76.674055,311,490,21753,224010774,,1000,1,1,LTE,,,21753,,,
37.248458862305,-76.671524047852,310,260,37499,33423443,,1000,1,1,UMTS,,,,,,
37.248718,-76.672131,311,490,21753,224010498,,1306,1,1,LTE,,,21753,,,
37.249163,-76.66312,310,410,10920,190252226,,1380,1,1,UMTS,,,,,,
37.250285,-76.671204,310,120,21509,54423314,,1313,1,1,LTE,,,21509,,,
37.250381,-76.663834,310,410,10920,190252223,,1000,1,1,UMTS,,,,,,
37.250931,-76.669876,310,120,2567,21033498,,1000,1,1,LTE,,,2567,,,
37.251118,-76.670791,311,490,21753,224010814,,1281,1,1,LTE,,,21753,,,
37.251205444336,-76.670150756836,310,410,5649,25630992,,1000,1,1,LTE,,,5649,,,
37.25123,-76.662901,311,490,21753,122366744,,1000,1,1,LTE,,,21753,,,
37.252174,-76.663651,311,480,28928,28984356,,1000,1,1,LTE,,,28928,,,
37.252734,-76.663397,311,490,21753,122366478,,1448,1,1,LTE,,,21753,,,
37.252807,-76.663067,310,120,21509,54422811,,1000,1,1,LTE,,,21509,,,
37.252857,-76.665908,311,480,28928,28984323,,19379,1,1,LTE,,,28928,,,
37.2529,-76.6634,310,260,21753,122366478,,1244,1,1,LTE,,,21753,,,
37.252915,-76.663241,310,260,21753,122366476,,2134,1,1,LTE,,,21753,,,
37.253,-76.6638,310,260,5568768,5459693572,,1156,1,1,NR,,,5568768,,,
37.253089,-76.663133,311,490,21753,224176774,,1000,1,1,LTE,,,21753,,,
37.253139,-76.663565,311,490,21753,122366468,,1124,1,1,LTE,,,21753,,,
37.253346,-76.665077,311,490,21509,54422803,,1000,1,1,LTE,,,21509,,,
37.253458,-76.668113,310,410,5639,25630992,,1531,1,1,LTE,,,5639,,,
37.253952026367,-76.672897338867,311,480,28928,105819158,,1000,1,1,LTE,,,28928,,,
37.254,-76.666,310,410,5639,27679198,,1000,1,1,LTE,,,5639,,,
37.254165,-76.669165,311,480,28928,29019138,,1469,1,1,LTE,,,28928,,,
37.2542,-76.6702,311,480,28928,29019158,,1188,1,1,LTE,,,28928,,,
37.2543,-76.6696,310,260,21753,122366784,,2738,1,1,LTE,,,21753,,,
37.254587,-76.665657,311,480,28928,28984354,,2418,1,1,LTE,,,28928,,,
37.2546,-76.6661,311,480,28928,28984357,,2701,1,1,LTE,,,28928,,,
37.2547,-76.6666,310,410,5639,25631204,,1000,1,1,LTE,,,5639,,,
37.254776,-76.667221,310,120,2567,21033474,,1000,1,1,LTE,,,2567,,,
37.254776,-76.66528,310,120,21509,54502714,,1000,1,1,LTE,,,21509,,,
37.255141,-76.665879,310,260,21753,224010508,,1000,1,1,LTE,,,21753,,,
37.255325317383,-76.667404174805,311,480,28928,105784352,,1000,1,1,LTE,,,28928,,,
