lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
37.676902,-97.272124,310,260,32999,9292999,,8382,1,1,UMTS,,,,,,
37.676966,-97.273633,310,410,25860,89519874,,1000,1,1,LTE,,,25860,,,
37.677224,-97.272609,311,480,56096,56245537,,3529,1,1,LTE,,,56096,,,
37.677314,-97.271533,310,260,46336,6330891,,5462,1,1,LTE,,,46336,,,
37.677386,-97.271869,310,260,46336,6330881,,9804,1,1,LTE,,,46336,,,
37.677415,-97.27164,310,260,46336,6334978,,9618,1,1,LTE,,,46336,,,
37.677519,-97.271743,310,260,46336,6334988,,8680,1,1,LTE,,,46336,,,
37.677833,-97.277379,310,260,32999,9292707,,1703,1,1,UMTS,,,,,,
37.678131,-97.275208,310,120,9747,81155635,,7566,1,1,LTE,,,9747,,,
37.678298950195,-97.277755737305,311,480,56146,133045537,,1000,1,1,LTE,,,56146,,,
37.678298950195,-97.270889282227,310,410,34518,118638031,,1000,1,1,UMTS,,,,,,
37.67881,-97.278669,310,260,46337,6334477,,5132,1,1,LTE,,,46337,,,
37.67895,-97.27894,311,480,56096,56258061,,2021,1,1,LTE,,,56096,,,
37.679024,-97.279366,311,490,308,51187,,1000,1,1,CDMA,,,,490,308,51187
37.679075,-97.279267,310,410,25860,88095497,,4631,1,1,LTE,,,25860,,,
37.679197,-97.269256,310,410,34505,119513251,,7734,1,1,UMTS,,,,,,
37.67947,-97.274712,311,480,56096,133058062,,1000,1,1,LTE,,,56096,,,
37.679602,-97.270028,310,120,9747,79824387,,1000,1,1,LTE,,,9747,,,
37.679672241211,-97.27912902832,310,120,9797,80202009,,1000,1,1,LTE,,,9797,,,
37.679672241211,-97.277755737305,311,480,56096,133058061,,1000,1,1,LTE,,,56096,,,
37.679672241211,-97.277755737305,311,480,56146,133058061,,1000,1,1,LTE,,,56146,,,
37.679672241211,-97.277755737305,310,120,56096,56258049,,1000,1,1,LTE,,,56096,,,
37.679672241211,-97.277755737305,310,120,9747,79841026,,1000,1,1,LTE,,,9747,,,
37.679672241211,-97.276382446289,310,260,32999,6955011,,1000,1,1,UMTS,,,,,,
37.67972,-97.27313,310,410,25860,88241672,,5128,1,1,LTE,,,25860,,,
37.679844,-97.276897,310,120,9747,80202009,,1000,1,1,LTE,,,9747,,,
37.679851,-97.272574,310,260,44288,6334567,,2772,1,1,LTE,,,44288,,,
37.679941,-97.279506,311,480,56096,56258049,,4619,1,1,LTE,,,56096,,,
37.680004,-97.275939,310,410,25860,89520021,,3189,1,1,LTE,,,25860,,,
37.680069,-97.270645,310,410,25860,88095713,,1000,1,1,LTE,,,25860,,,
37.680148,-97.275537,310,260,32993,15846818,,3939,1,1,UMTS,,,,,,
37.680315,-97.27971,310,260,46588,28397700,,1412,1,1,LTE,,,46588,,,
37.680913,-97.278178,310,120,9747,79829257,,1000,1,1,LTE,,,9747,,,
37.681045532227,-97.277755737305,310,260,32999,9250722,,1000,1,1,UMTS,,,,,,
37.681069,-97.275968,310,260,46336,6330941,,2946,1,1,LTE,,,46336,,,
37.681403,-97.26911,310,260,46588,27479054,,5828,1,1,LTE,,,46588,,,
37.681858,-97.277027,310,120,9747,79829249,,1000,1,1,LTE,,,9747,,,
37.6822,-97.278396,310,260,44288,6330981,,1931,1,1,LTE,,,44288,,,
37.682958,-97.276421,310,260,46588,128476417,,1559,1,1,LTE,,,46588,,,
37.683034,-97.273101,310,260,46588,27479052,,4464,1,1,LTE,,,46588,,,
37.683305,-97.276774,310,260,46337,6339083,,4331,1,1,LTE,,,46337,,,
37.683409,-97.279038,310,260,46588,27479051,,3495,1,1,LTE,,,46588,,,
37.685091,-97.277302,310,260,44288,6336003,,1855,1,1,LTE,,,44288,,,
37.685293,-97.272875,310,260,46588,6336012,,2981,1,1,LTE,,,46588,,,
