lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.728013,-104.938324,311,480,3587,157206820,,1456,1,1,LTE,,,3587,,,
39.728023,-104.928756,310,260,41233,9936141,,4879,1,1,LTE,,,41233,,,
39.728092,-104.931231,310,260,41222,5590786,,1000,1,1,LTE,,,41222,,,
39.728345,-104.930528,311,480,3587,3606786,,1000,1,1,LTE,,,3587,,,
39.728426,-104.928164,310,260,41222,5593191,,1000,1,1,LTE,,,41222,,,
39.728622,-104.932137,310,260,41222,5590886,,1000,1,1,LTE,,,41222,,,
39.728622436523,-104.93934631348,310,410,38992,12036,,1000,1,1,CDMA,,,,410,38992,12036
39.728622436523,-104.93797302246,310,410,38981,17032,,1000,1,1,GSM,,,,,,
39.728622436523,-104.92973327637,310,58,1,714,,1000,1,1,LTE,,,1,,,
39.728877,-104.939407,310,260,41233,5590887,,3050,1,1,LTE,,,41233,,,
39.729101,-104.936759,310,260,41222,5590887,,1000,1,1,LTE,,,41222,,,
39.729122,-104.937862,310,260,41222,5590787,,1000,1,1,LTE,,,41222,,,
39.729221,-104.933624,311,480,3587,157206810,,1000,1,1,LTE,,,3587,,,
39.729229,-104.928528,311,480,3587,157301540,,1000,1,1,LTE,,,3587,,,
39.729322,-104.934281,310,260,11086,73543324,,1000,1,1,UMTS,,,,,,
39.729464,-104.929203,310,260,41233,5590886,,1356,1,1,LTE,,,41233,,,
39.729623,-104.939403,310,260,41224,5590797,,4688,1,1,LTE,,,41224,,,
39.729646,-104.929653,311,480,3587,157206806,,1000,1,1,LTE,,,3587,,,
39.729923,-104.929733,310,260,41222,8838412,,1000,1,1,LTE,,,41222,,,
39.729963,-104.929658,310,260,41233,5590786,,4105,1,1,LTE,,,41233,,,
39.729995727539,-104.93797302246,310,410,38992,40644359,,1000,1,1,UMTS,,,,,,
39.729995727539,-104.93797302246,310,260,41216,5590887,,1000,1,1,LTE,,,41216,,,
39.729995727539,-104.9324798584,310,260,11099,8007329,,1000,1,1,UMTS,,,,,,
39.729995727539,-104.92835998535,310,58,1,3674,,1000,1,1,LTE,,,1,,,
39.729996,-104.935226,310,410,7030,17032,,1000,1,1,GSM,,,,,,
39.729996,-104.932652,310,260,41216,5590886,,1000,1,1,LTE,,,41216,,,
39.729996,-104.929047,310,410,38981,12035,,1000,1,1,GSM,,,,,,
39.730029,-104.930068,311,480,3587,3606806,,1000,1,1,LTE,,,3587,,,
39.73095,-104.930038,311,480,3587,157206808,,1000,1,1,LTE,,,3587,,,
39.731116,-104.932903,310,260,41233,8838412,,3848,1,1,LTE,,,41233,,,
39.731242,-104.939438,310,120,41224,138435077,,1000,1,1,LTE,,,41224,,,
39.731369018555,-104.93797302246,310,260,11099,11936,,1000,1,1,CDMA,,,,260,11099,11936
39.731369018555,-104.93659973145,310,410,38418,41299716,,1000,1,1,LTE,,,38418,,,
39.731369018555,-104.93659973145,310,260,11094,73582623,,1000,1,1,UMTS,,,,,,
39.731369018555,-104.93522644043,310,410,38418,41299719,,1000,1,1,LTE,,,38418,,,
39.731369018555,-104.93522644043,310,410,38418,41299711,,1000,1,1,LTE,,,38418,,,
39.731369018555,-104.93522644043,310,410,7030,15322,,1000,1,1,GSM,,,,,,
39.731369018555,-104.92973327637,310,260,11099,8046629,,1000,1,1,UMTS,,,,,,
39.731659,-104.939819,310,120,41224,138435090,,1000,1,1,LTE,,,41224,,,
39.731696,-104.928439,310,260,10553344,4371443734,,1000,1,1,NR,,,10553344,,,
39.731724,-104.939377,310,120,41224,138435092,,1000,1,1,LTE,,,41224,,,
39.732522,-104.936034,310,260,41222,5590785,,1000,1,1,LTE,,,41222,,,
39.732558,-104.938445,310,120,235,42371,,3142,1,1,LTE,,,235,,,
39.732561,-104.936626,310,260,41216,5590885,,1000,1,1,LTE,,,41216,,,
39.73274230957,-104.93797302246,310,260,11099,11931,,1000,1,1,CDMA,,,,260,11099,11931
39.73274230957,-104.93659973145,310,410,38999,41298002,,1000,1,1,UMTS,,,,,,
39.73274230957,-104.93659973145,310,410,38418,41304711,,1000,1,1,LTE,,,38418,,,
39.73274230957,-104.9324798584,310,410,38992,40644354,,1000,1,1,UMTS,,,,,,
39.73274230957,-104.9324798584,310,410,38992,40649351,,1000,1,1,UMTS,,,,,,
39.732914,-104.933767,310,410,38981,41299717,,1000,1,1,UMTS,,,,,,
39.733156,-104.936556,310,260,41222,5590885,,1000,1,1,LTE,,,41222,,,
39.733318,-104.93972,311,870,235,42193,,1000,1,1,LTE,,,235,,,
39.733366,-104.932445,310,260,10555648,4337704983,,1000,1,1,NR,,,10555648,,,
39.733393,-104.93472,310,410,38981,41299714,,1000,1,1,UMTS,,,,,,
39.733429,-104.93248,310,410,38992,17031,,1000,1,1,CDMA,,,,410,38992,17031
39.733658,-104.937515,310,260,11094,73543323,,1000,1,1,UMTS,,,,,,
39.733835,-104.93802,310,260,41222,8838411,,1726,1,1,LTE,,,41222,,,
39.733878,-104.936206,310,260,41233,5590885,,9889,1,1,LTE,,,41233,,,
39.733944,-104.938095,310,410,38418,97715991,,1000,1,1,LTE,,,38418,,,
39.734092,-104.936937,310,260,10553344,4371444013,,1000,1,1,NR,,,10553344,,,
39.734113,-104.934452,310,410,38418,97587976,,5893,1,1,LTE,,,38418,,,
