lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
43.773994,-88.425865,310,410,17154,77844751,,1000,1,1,LTE,,,17154,,,
43.775638,-88.433599,311,480,53768,53867522,,2285,1,1,LTE,,,53768,,,
43.775811,-88.425038,310,410,17154,77866774,,3630,1,1,LTE,,,17154,,,
43.778342,-88.436184,311,870,225,43331,,1000,1,1,LTE,,,225,,,
43.779736,-88.427795,311,870,225,43330,,1000,1,1,LTE,,,225,,,
43.779884,-88.427742,311,870,43518,165696261,,1000,1,1,LTE,,,43518,,,
43.779884,-88.427742,311,870,43518,165696270,,1000,1,1,LTE,,,43518,,,
43.7799,-88.435855,311,480,53768,53949711,,1000,1,1,LTE,,,53768,,,
43.781891,-88.435557,311,580,1538,140836617,,1000,1,1,LTE,,,1538,,,
43.781997,-88.430115,311,480,53768,53949710,,1431,1,1,LTE,,,53768,,,
