lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.349838,-81.637344,310,4379,21,904,,1000,1,1,CDMA,,,,4379,21,904
38.349838,-81.635284,310,410,5894,89858577,,1000,1,1,LTE,,,5894,,,
38.349838256836,-81.637344360352,310,470,24705,28535298,,1000,1,1,LTE,,,24705,,,
38.349838256836,-81.635971069336,310,470,24705,25975298,,1000,1,1,LTE,,,24705,,,
38.349838256836,-81.635971069336,310,410,35930,191536506,,1000,1,1,UMTS,,,,,,
38.349838256836,-81.633224487305,310,410,35930,40106,,1000,1,1,CDMA,,,,410,35930,40106
38.349838256836,-81.633224487305,310,470,24705,28450819,,1000,1,1,LTE,,,24705,,,
38.349961,-81.634528,310,410,5894,90626783,,1000,1,1,LTE,,,5894,,,
38.350082,-81.638748,312,530,46977,267889467,,1000,1,1,LTE,,,46977,,,
38.350143,-81.637085,310,410,47102,26599435,,1000,1,1,LTE,,,47102,,,
38.350188,-81.638483,311,480,65280,65361411,,1000,1,1,LTE,,,65280,,,
38.350194,-81.63467,310,260,47102,26136844,,1000,1,1,LTE,,,47102,,,
38.35023,-81.637379,310,260,46849,26136835,,2509,1,1,LTE,,,46849,,,
38.350272,-81.636004,310,260,12058112,4347629570,,1000,1,1,NR,,,12058112,,,
38.350335,-81.636421,310,260,12058112,4347629590,,1000,1,1,NR,,,12058112,,,
38.350388,-81.634323,310,410,35930,191536295,,1000,1,1,UMTS,,,,,,
38.350525,-81.638031,310,470,24705,28535299,,1000,1,1,LTE,,,24705,,,
38.350535,-81.635234,310,260,47102,26136894,,1000,1,1,LTE,,,47102,,,
38.350572,-81.637177,310,410,5894,90647518,,1000,1,1,LTE,,,5894,,,
38.350582,-81.638104,310,260,46849,26608387,,2583,1,1,LTE,,,46849,,,
38.350608,-81.628825,310,410,5894,90629526,,5677,1,1,LTE,,,5894,,,
38.35062,-81.635225,310,260,12058112,4347625494,,1000,1,1,NR,,,12058112,,,
38.350682,-81.62771,312,530,6674,267870523,,1773,1,1,LTE,,,6674,,,
38.350691,-81.635204,310,410,5894,90647524,,1000,1,1,LTE,,,5894,,,
38.350715,-81.635187,310,260,47102,26608446,,1000,1,1,LTE,,,47102,,,
38.350754,-81.632767,310,410,35930,191556295,,1000,1,1,UMTS,,,,,,
38.35076,-81.635251,310,260,12058112,4347625474,,1000,1,1,NR,,,12058112,,,
38.350798,-81.633699,310,410,5894,90626711,,2262,1,1,LTE,,,5894,,,
38.350914,-81.638288,310,410,5894,90647446,,1859,1,1,LTE,,,5894,,,
38.351211547852,-81.633224487305,310,410,35930,60103,,1000,1,1,CDMA,,,,410,35930,60103
38.351211547852,-81.631851196289,310,410,5894,191506301,,1000,1,1,LTE,,,5894,,,
38.351211547852,-81.629104614258,310,470,24705,28450817,,1000,1,1,LTE,,,24705,,,
38.351211547852,-81.627731323242,310,410,35930,40101,,1000,1,1,CDMA,,,,410,35930,40101
38.351211547852,-81.627731323242,310,470,24705,25870870,,1000,1,1,LTE,,,24705,,,
38.35134,-81.63535,310,410,5894,90629598,,6246,1,1,LTE,,,5894,,,
38.351403,-81.636395,310,410,5894,90629378,,5220,1,1,LTE,,,5894,,,
38.3517,-81.637459,311,480,18,10545,,1000,1,1,CDMA,,,,480,18,10545
38.351744,-81.629635,310,260,46849,26136844,,1000,1,1,LTE,,,46849,,,
38.3518,-81.6309,310,260,12058112,4347625774,,1000,1,1,NR,,,12058112,,,
38.351847,-81.628056,312,530,6674,267870531,,2665,1,1,LTE,,,6674,,,
38.351898,-81.630478,310,410,53021,40002,,1000,1,1,GSM,,,,,,
38.3519,-81.6282,310,260,47102,26608396,,4817,1,1,LTE,,,47102,,,
38.351923,-81.633353,310,410,5894,90629385,,7028,1,1,LTE,,,5894,,,
38.352196,-81.633223,310,410,5894,90626561,,1903,1,1,LTE,,,5894,,,
38.352262,-81.633347,310,410,35930,191506295,,6065,1,1,UMTS,,,,,,
38.352324,-81.635972,310,410,35930,191506405,,6214,1,1,UMTS,,,,,,
38.352584838867,-81.635971069336,310,470,24705,25975319,,1000,1,1,LTE,,,24705,,,
38.352584838867,-81.633224487305,310,470,24705,28535318,,1000,1,1,LTE,,,24705,,,
38.352584838867,-81.631851196289,310,410,5894,191506293,,1000,1,1,LTE,,,5894,,,
38.352584838867,-81.630477905273,311,480,65280,142160150,,1000,1,1,LTE,,,65280,,,
38.352584838867,-81.629104614258,310,410,35930,191536296,,1000,1,1,UMTS,,,,,,
38.352584838867,-81.627731323242,310,120,24705,25890828,,1000,1,1,LTE,,,24705,,,
38.35264,-81.631192,310,410,5894,90647447,,4264,1,1,LTE,,,5894,,,
38.352722,-81.635863,312,530,6674,267869497,,4536,1,1,LTE,,,6674,,,
38.352943,-81.635512,310,410,5894,90629392,,3340,1,1,LTE,,,5894,,,
38.352979,-81.638732,310,410,5894,90647306,,6846,1,1,LTE,,,5894,,,
38.353043,-81.635971,310,470,24705,25975309,,1000,1,1,LTE,,,24705,,,
38.353074,-81.630078,311,480,65280,65360150,,4826,1,1,LTE,,,65280,,,
38.353087,-81.638819,310,410,5894,90710671,,1000,1,1,LTE,,,5894,,,
38.353123,-81.638489,310,410,5894,89942655,,1000,1,1,LTE,,,5894,,,
38.353269,-81.629523,310,410,35930,191506301,,5763,1,1,UMTS,,,,,,
38.35333,-81.63298,310,260,47102,26136834,,1000,1,1,LTE,,,47102,,,
38.353374,-81.635429,310,260,18,10506,,1000,1,1,LTE,,,18,,,
38.353374,-81.635429,310,260,18,10545,,1000,1,1,LTE,,,18,,,
38.353374,-81.635429,310,260,18,10546,,1000,1,1,LTE,,,18,,,
38.353424,-81.637238,310,410,5894,90710918,,1000,1,1,LTE,,,5894,,,
38.35343,-81.63121,310,410,5894,90629399,,8909,1,1,LTE,,,5894,,,
38.353476,-81.627779,311,870,22,20930,,1834,1,1,LTE,,,22,,,
38.353515,-81.627855,312,530,6674,267897658,,1091,1,1,LTE,,,6674,,,
38.353557,-81.631583,310,410,35930,191506293,,1330,1,1,UMTS,,,,,,
38.353579,-81.637412,310,410,35930,191539574,,1000,1,1,UMTS,,,,,,
38.353653,-81.637802,310,4379,21,568,,1000,1,1,CDMA,,,,4379,21,568
38.353737,-81.637367,310,410,35930,191509580,,1000,1,1,UMTS,,,,,,
38.353764,-81.629814,311,870,16,16915,,1000,1,1,LTE,,,16,,,
38.353958129883,-81.637344360352,310,410,5889,90710670,,1000,1,1,LTE,,,5889,,,
38.353958129883,-81.63459777832,310,410,35930,191536408,,1000,1,1,UMTS,,,,,,
38.354111,-81.628342,311,490,47102,26295297,,1000,1,1,LTE,,,47102,,,
38.354111,-81.628342,311,490,47102,26294531,,1000,1,1,LTE,,,47102,,,
38.354126,-81.638196,310,410,35930,191539573,,1000,1,1,UMTS,,,,,,
38.354164,-81.636177,310,410,35930,191539581,,1000,1,1,UMTS,,,,,,
38.354275,-81.632271,310,410,5894,89879525,,1000,1,1,LTE,,,5894,,,
38.354479,-81.629556,312,530,6674,267897657,,1034,1,1,LTE,,,6674,,,
38.354507,-81.630062,311,480,65280,65360130,,1625,1,1,LTE,,,65280,,,
38.354645,-81.638718,310,410,35930,191509579,,1000,1,1,UMTS,,,,,,
38.354914,-81.632348,310,410,5894,90626563,,1581,1,1,LTE,,,5894,,,
38.35493,-81.634693,311,480,65280,65361409,,1235,1,1,LTE,,,65280,,,
38.354949,-81.635479,311,480,18,10506,,1000,1,1,LTE,,,18,,,
38.355331420898,-81.630477905273,310,120,24705,25870870,,1000,1,1,LTE,,,24705,,,
38.355349,-81.635733,310,410,5894,90626584,,3596,1,1,LTE,,,5894,,,
38.355435,-81.634243,310,410,5894,89858570,,1000,1,1,LTE,,,5894,,,
38.355587,-81.63179,310,260,46849,26295307,,1000,1,1,LTE,,,46849,,,
38.356247,-81.630936,310,410,35930,191536407,,1000,1,1,UMTS,,,,,,
38.356381,-81.630746,310,410,5894,89879306,,7200,1,1,LTE,,,5894,,,
38.356527,-81.637883,310,410,5894,89861605,,6877,1,1,LTE,,,5894,,,
38.356704711914,-81.633224487305,310,120,24705,25975297,,1000,1,1,LTE,,,24705,,,
