lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.741746,-104.977293,310,410,38418,98560529,,1189,1,1,LTE,,,38418,,,
39.741814,-104.971107,311,870,41224,138555139,,1000,1,1,LTE,,,41224,,,
39.74188,-104.977638,310,410,38418,98560515,,1000,1,1,LTE,,,38418,,,
39.741993,-104.974774,310,260,41224,8842371,,2402,1,1,LTE,,,41224,,,
39.742105,-104.970243,310,260,41224,5590274,,1744,1,1,LTE,,,41224,,,
39.742203,-104.974594,310,260,11097,86650488,,1000,1,1,UMTS,,,,,,
39.742238,-104.974847,310,260,41224,5590386,,1000,1,1,LTE,,,41224,,,
39.742264,-104.970218,310,260,41218,5590274,,1000,1,1,LTE,,,41218,,,
39.742303,-104.970113,310,260,41218,5590374,,1000,1,1,LTE,,,41218,,,
39.742355,-104.971619,310,4121,91,4658,,1000,1,1,CDMA,,,,4121,91,4658
39.742355,-104.969902,310,260,11096,21153809,,1000,1,1,UMTS,,,,,,
39.742355,-104.967911,310,410,38999,12059,,1000,1,1,CDMA,,,,410,38999,12059
39.74235534668,-104.97367858887,310,58,1,7643,,1000,1,1,CDMA,,,,58,1,7643
39.74235534668,-104.97230529785,311,480,3587,80423180,,1000,1,1,LTE,,,3587,,,
39.74235534668,-104.96955871582,310,410,38999,41304733,,1000,1,1,UMTS,,,,,,
39.742465,-104.973697,310,410,38418,97565449,,9012,1,1,LTE,,,38418,,,
39.742497,-104.972776,311,480,3589,3828514,,1000,1,1,LTE,,,3589,,,
39.742506,-104.970833,310,410,38418,97588497,,1000,1,1,UMTS,,,,,,
39.742555,-104.970226,310,260,41224,5590294,,1000,1,1,LTE,,,41224,,,
39.742617,-104.969428,310,260,41218,8838156,,1000,1,1,LTE,,,41218,,,
39.742702,-104.973968,311,480,3587,157223180,,1000,1,1,LTE,,,3587,,,
39.742752,-104.972046,310,410,38981,98560527,,1000,1,1,UMTS,,,,,,
39.74277,-104.973765,310,260,41224,27118354,,1350,1,1,LTE,,,41224,,,
39.742875,-104.968673,310,260,41224,28837263,,1644,1,1,LTE,,,41224,,,
39.742904,-104.973282,311,480,3589,3828512,,1000,1,1,LTE,,,3589,,,
39.743038,-104.968254,310,260,41224,27119377,,1000,1,1,LTE,,,41224,,,
39.743127,-104.974157,310,260,41224,27119367,,1320,1,1,LTE,,,41224,,,
39.743187,-104.971782,311,480,3587,157223182,,1000,1,1,LTE,,,3587,,,
39.74322,-104.969159,310,410,38418,98560713,,1000,1,1,LTE,,,38418,,,
39.743252,-104.969093,311,480,3587,157269530,,1000,1,1,LTE,,,3587,,,
39.743253,-104.974831,310,410,38418,98560741,,1000,1,1,LTE,,,38418,,,
39.743271,-104.968185,310,260,11028,11891,,1000,1,1,GSM,,,,,,
39.743284,-104.967266,311,480,3587,157269528,,1000,1,1,LTE,,,3587,,,
39.743566,-104.970155,310,410,38418,98560739,,1000,1,1,LTE,,,38418,,,
39.743671,-104.977768,311,480,3587,157203234,,1000,1,1,LTE,,,3587,,,
39.743706,-104.973381,312,250,41224,5590274,,1000,1,1,LTE,,,41224,,,
39.743706,-104.973381,312,250,41224,5589781,,1000,1,1,LTE,,,41224,,,
39.743706,-104.973381,312,250,41224,5590283,,1000,1,1,LTE,,,41224,,,
39.743706,-104.973381,312,250,41224,8843789,,1000,1,1,LTE,,,41224,,,
39.743706,-104.973381,312,250,41224,5584143,,1000,1,1,LTE,,,41224,,,
39.743706,-104.973381,312,250,41224,28299919,,1000,1,1,LTE,,,41224,,,
39.743706,-104.973381,312,250,41224,5584141,,1000,1,1,LTE,,,41224,,,
39.743728637695,-104.97505187988,311,480,3587,80628512,,1000,1,1,LTE,,,3587,,,
39.743728637695,-104.97367858887,310,260,11096,5590273,,1000,1,1,UMTS,,,,,,
39.743728637695,-104.97367858887,310,260,11096,21114488,,1000,1,1,UMTS,,,,,,
39.743728637695,-104.97367858887,310,410,38997,41337703,,1000,1,1,UMTS,,,,,,
39.743728637695,-104.97230529785,310,260,41218,5590273,,1000,1,1,LTE,,,41218,,,
39.743728637695,-104.97230529785,311,480,3587,3623180,,1000,1,1,LTE,,,3587,,,
39.743728637695,-104.97230529785,310,260,11096,21153803,,1000,1,1,UMTS,,,,,,
39.743728637695,-104.97230529785,311,870,6422,26535936,,1000,1,1,LTE,,,6422,,,
39.743728637695,-104.96681213379,311,490,16898,138566913,,1000,1,1,LTE,,,16898,,,
39.743729,-104.976425,310,410,38999,11158,,1000,1,1,CDMA,,,,410,38999,11158
39.743729,-104.974365,310,260,11096,8046865,,1000,1,1,UMTS,,,,,,
39.743729,-104.972833,310,120,16898,138555136,,1000,1,1,LTE,,,16898,,,
