lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
42.262344360352,-71.80046081543,310,260,65466,49353,,1000,1,1,CDMA,,,,260,65466,49353
42.262344360352,-71.80046081543,310,,520,4264449,,1000,1,1,LTE,,,520,,,
42.262375,-71.801211,311,870,1,8645,,2534,1,1,CDMA,,,,870,1,8645
42.262657,-71.79444,310,120,21779,4790585,,1155,1,1,LTE,,,21779,,,
42.262672,-71.798099,312,530,1,8507,,2959,1,1,LTE,,,1,,,
42.262679,-71.794073,310,260,21779,12453132,,5883,1,1,LTE,,,21779,,,
42.262802,-71.79863,310,260,51055,49352,,1122,1,1,GSM,,,,,,
42.263023,-71.801303,310,260,36489,98877644,,1000,1,1,UMTS,,,,,,
42.263027,-71.797728,311,490,1,8716,,4762,1,1,LTE,,,1,,,
42.263032,-71.799337,310,28,4,669,,16059,1,1,CDMA,,,,28,4,669
42.263297,-71.795935,311,870,1,12859,,1626,1,1,LTE,,,1,,,
42.26337,-71.801517,310,260,21762,12385799,,1000,1,1,LTE,,,21762,,,
42.263374,-71.793938,310,260,36496,41227,,1000,1,1,CDMA,,,,260,36496,41227
42.263489,-71.797714,310,120,530,4264449,,1000,1,1,LTE,,,530,,,
42.263516,-71.790706,310,120,520,5595705,,1000,1,1,LTE,,,520,,,
42.263539,-71.799955,310,260,21762,12385797,,1476,1,1,LTE,,,21762,,,
42.263546,-71.792221,310,28,48,436,,1000,1,1,CDMA,,,,28,48,436
42.263717651367,-71.793594360352,310,260,36496,41221,,1000,1,1,CDMA,,,,260,36496,41221
42.263828,-71.794344,310,260,22001,12453121,,1000,1,1,LTE,,,22001,,,
42.26387,-71.79368,311,480,15108,15150127,,1571,1,1,LTE,,,15108,,,
42.263937,-71.793499,310,260,22001,15078146,,1000,1,1,LTE,,,22001,,,
42.264072,-71.794944,310,260,21762,12453132,,1537,1,1,LTE,,,21762,,,
42.264132,-71.791823,310,120,530,5595705,,2324,1,1,LTE,,,530,,,
42.264175,-71.796616,310,260,21761,12385797,,1000,1,1,LTE,,,21761,,,
42.264175,-71.792679,310,260,36498,13672709,,1000,1,1,UMTS,,,,,,
42.264257,-71.793657,311,480,15108,15150081,,926,1,1,LTE,,,15108,,,
42.264265,-71.797845,310,260,21762,12385794,,2898,1,1,LTE,,,21762,,,
42.264325,-71.797939,310,260,21761,12385539,,5034,1,1,LTE,,,21761,,,
42.264388,-71.793403,310,120,530,4790577,,2766,1,1,LTE,,,530,,,
42.264399,-71.794727,310,260,21779,12453130,,1225,1,1,LTE,,,21779,,,
42.264404,-71.800919,310,120,520,4263450,,1000,1,1,LTE,,,520,,,
42.264549,-71.791845,310,410,1026,16133896,,4515,1,1,LTE,,,1026,,,
42.264576,-71.797714,310,260,21761,12385794,,1000,1,1,LTE,,,21761,,,
42.264687,-71.801602,310,260,21779,12385795,,1000,1,1,LTE,,,21779,,,
42.264689,-71.794303,310,260,36496,26779912,,1000,1,1,UMTS,,,,,,
42.264748,-71.798744,310,260,36498,13680846,,1000,1,1,UMTS,,,,,,
42.265007,-71.792482,310,260,21779,12453121,,3812,1,1,LTE,,,21779,,,
42.265090942383,-71.797714233398,311,480,15108,91944224,,1000,1,1,LTE,,,15108,,,
42.265090942383,-71.792221069336,310,260,36498,13672712,,1000,1,1,UMTS,,,,,,
42.265091,-71.795654,310,260,36498,13680843,,1000,1,1,UMTS,,,,,,
42.265146,-71.794886,310,260,22001,12385794,,1000,1,1,LTE,,,22001,,,
42.2654,-71.7902,311,480,15108,15150094,,1468,1,1,LTE,,,15108,,,
42.265465,-71.7994,311,480,15108,15144194,,1000,1,1,LTE,,,15108,,,
42.265693,-71.79412,310,260,21762,12453124,,4266,1,1,LTE,,,21762,,,
42.265735,-71.800192,310,260,21762,12454921,,3050,1,1,LTE,,,21762,,,
42.265778,-71.79342,310,28,4,436,,1816,1,1,CDMA,,,,28,4,436
42.2659,-71.7932,311,480,15108,15150092,,5302,1,1,LTE,,,15108,,,
42.265932,-71.799634,311,480,15108,15144214,,1000,1,1,LTE,,,15108,,,
42.265946,-71.793449,310,120,21779,4787010,,1000,1,1,LTE,,,21779,,,
42.266083,-71.793999,310,260,36489,98869512,,1000,1,1,UMTS,,,,,,
42.266121,-71.792564,310,260,36498,13672715,,1000,1,1,UMTS,,,,,,
42.266196,-71.794912,310,260,36496,26788043,,1000,1,1,UMTS,,,,,,
42.266268,-71.792613,310,120,520,4274714,,1000,1,1,LTE,,,520,,,
42.266337,-71.794479,311,480,15108,15150124,,1000,1,1,LTE,,,15108,,,
42.26642,-71.793561,310,260,21779,12453127,,3073,1,1,LTE,,,21779,,,
42.266464,-71.796341,310,260,48097,47821,,1000,1,1,CDMA,,,,260,48097,47821
42.266464233398,-71.80046081543,310,260,36498,49351,,1000,1,1,CDMA,,,,260,36498,49351
42.266464233398,-71.80046081543,310,260,36498,13680842,,1000,1,1,UMTS,,,,,,
42.266464233398,-71.799087524414,311,480,15108,91944214,,1000,1,1,LTE,,,15108,,,
42.266464233398,-71.799087524414,310,410,1026,133134981,,1000,1,1,LTE,,,1026,,,
42.266464233398,-71.797714233398,310,260,48097,41221,,1000,1,1,CDMA,,,,260,48097,41221
42.266464233398,-71.794967651367,310,28,48,413,,1000,1,1,CDMA,,,,28,48,413
42.266464233398,-71.79084777832,311,480,15108,91950092,,1000,1,1,LTE,,,15108,,,
42.266484,-71.793632,310,260,21762,12454913,,2625,1,1,LTE,,,21762,,,
42.26665,-71.795015,310,260,22001,12453127,,1000,1,1,LTE,,,22001,,,
42.266674,-71.792458,310,260,21779,35816765,,1000,1,1,LTE,,,21779,,,
42.26701,-71.79673,310,260,36496,12385794,,1000,1,1,UMTS,,,,,,
42.267179,-71.79371,310,120,530,4787002,,1000,1,1,LTE,,,530,,,
42.267181,-71.794111,310,120,530,5605946,,1000,1,1,LTE,,,530,,,
42.267215,-71.793781,310,120,530,5605938,,617,1,1,LTE,,,530,,,
42.267246,-71.793091,311,480,15108,15104303,,1000,1,1,LTE,,,15108,,,
42.267325,-71.800635,310,260,21762,12385793,,1102,1,1,LTE,,,21762,,,
42.267327,-71.794547,310,260,21779,12453124,,3483,1,1,LTE,,,21779,,,
42.267442,-71.800226,310,260,21762,12454407,,2988,1,1,LTE,,,21762,,,
42.267446,-71.79349,311,480,15108,15150097,,3988,1,1,LTE,,,15108,,,
42.267463,-71.793969,310,120,520,5605938,,1000,1,1,LTE,,,520,,,
42.267588,-71.794094,310,120,520,4274690,,1000,1,1,LTE,,,520,,,
42.267739,-71.794477,310,120,520,5605946,,1000,1,1,LTE,,,520,,,
42.267765,-71.79663,310,410,1026,15365896,,1000,1,1,LTE,,,1026,,,
42.267765,-71.794968,310,410,6984,133103850,,1000,1,1,UMTS,,,,,,
42.267837524414,-71.80046081543,310,260,21761,12385793,,1000,1,1,LTE,,,21761,,,
42.267837524414,-71.797714233398,310,260,51055,49353,,1000,1,1,GSM,,,,,,
42.267837524414,-71.794967651367,310,260,36498,13680840,,1000,1,1,UMTS,,,,,,
42.267838,-71.801376,310,120,520,4264449,,1000,1,1,LTE,,,520,,,
42.267897,-71.795057,310,260,22001,87902595,,1000,1,1,LTE,,,22001,,,
42.268149,-71.800965,310,260,21779,12455743,,1004,1,1,LTE,,,21779,,,
