lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
29.355019,-98.44839,311,870,34350,106510146,,1886,1,1,LTE,,,34350,,,
29.35506,-98.443883,310,260,34350,39224847,,9846,1,1,LTE,,,34350,,,
29.355099,-98.452025,310,410,29454,139144597,,1000,1,1,LTE,,,29454,,,
29.355469,-98.452606,311,870,41098,65573387,,1000,1,1,LTE,,,41098,,,
29.356155395508,-98.446426391602,310,410,54989,30373,,1000,1,1,CDMA,,,,410,54989,30373
29.356181,-98.449244,310,410,29454,139144650,,1792,1,1,LTE,,,29454,,,
29.356249,-98.451111,310,260,34350,15849506,,1410,1,1,LTE,,,34350,,,
29.356856,-98.450126,310,260,30811,16237335,,1000,1,1,LTE,,,30811,,,
29.3575,-98.44812,310,260,44195,66029045,,1000,1,1,UMTS,,,,,,
29.358901977539,-98.449172973633,310,260,2799,59465144,,1000,1,1,UMTS,,,,,,
29.359954,-98.453614,310,120,310,40986,,3915,1,1,LTE,,,310,,,
29.360275268555,-98.450546264648,310,260,2799,59465149,,1000,1,1,UMTS,,,,,,
29.360489,-98.445267,310,260,34304,16237315,,7158,1,1,LTE,,,34304,,,
29.360565,-98.448528,310,260,34350,16237344,,17377,1,1,LTE,,,34350,,,
29.360632,-98.444475,310,260,34350,39224581,,12852,1,1,LTE,,,34350,,,
29.360758,-98.446202,310,260,2799,59475144,,1000,1,1,UMTS,,,,,,
29.360897,-98.443909,310,260,30811,16237315,,1000,1,1,LTE,,,30811,,,
29.360962,-98.448486,310,410,54989,53,,1000,1,1,CDMA,,,,410,54989,53
29.361437,-98.447093,310,260,34350,39224611,,4984,1,1,LTE,,,34350,,,
29.362339,-98.443728,310,260,34350,39224582,,24936,1,1,LTE,,,34350,,,
29.362743,-98.453484,310,260,34352,17036350,,1000,1,1,LTE,,,34352,,,
29.362793,-98.451799,310,260,34350,19735821,,9053,1,1,LTE,,,34350,,,
29.363021850586,-98.450546264648,310,260,2799,59475149,,1000,1,1,UMTS,,,,,,
29.363021850586,-98.44367980957,310,260,30811,16237415,,1000,1,1,LTE,,,30811,,,
29.363187,-98.450999,310,260,34350,16237315,,25080,1,1,LTE,,,34350,,,
29.363306,-98.443558,310,260,2799,59476491,,1000,1,1,UMTS,,,,,,
