lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
18.442463,-66.065514,330,120,2,130,,1000,1,1,LTE,,,2,,,
18.442463,-66.065514,330,120,2,305,,1000,1,1,LTE,,,2,,,
18.44249,-66.060688,310,260,31054,3145732,,1000,1,1,LTE,,,31054,,,
18.442568,-66.06539,330,110,3,2827531,,1000,1,1,LTE,,,3,,,
18.442611694336,-66.066970825195,330,110,7,348419,,1000,1,1,LTE,,,7,,,
18.442611694336,-66.06559753418,310,260,48893,47533697,,1000,1,1,UMTS,,,,,,
18.442611694336,-66.064224243164,310,260,48893,47534441,,1000,1,1,UMTS,,,,,,
18.442611694336,-66.064224243164,310,260,48893,47537031,,1000,1,1,UMTS,,,,,,
18.442611694336,-66.064224243164,310,260,48893,47533692,,1000,1,1,UMTS,,,,,,
18.442611694336,-66.064224243164,310,410,16130,130612117,,1000,1,1,LTE,,,16130,,,
18.442611694336,-66.062850952148,310,410,51998,249330981,,1000,1,1,UMTS,,,,,,
18.442612,-66.060791,310,410,51998,249300975,,1000,1,1,UMTS,,,,,,
18.442708,-66.062576,310,260,31054,3255869,,1000,1,1,LTE,,,31054,,,
18.442824,-66.062912,330,110,41025,1321063,,1000,1,1,UMTS,,,,,,
18.442952,-66.066092,330,110,41025,1345996,,1000,1,1,UMTS,,,,,,
18.443038,-66.065015,330,110,3,3462410,,1665,1,1,LTE,,,3,,,
18.443104,-66.067073,330,110,41025,1345992,,1000,1,1,UMTS,,,,,,
18.443131,-66.061757,330,110,3,3720962,,1113,1,1,LTE,,,3,,,
18.443253,-66.065463,310,260,31054,43195404,,1304,1,1,LTE,,,31054,,,
18.443661,-66.065132,330,110,3,2674434,,1000,1,1,LTE,,,3,,,
18.443832,-66.061783,310,260,31051,2609470,,1000,1,1,LTE,,,31051,,,
18.443876,-66.06559,330,120,2,2433,,1000,1,1,LTE,,,2,,,
18.443889,-66.065002,330,110,41025,1345994,,1000,1,1,UMTS,,,,,,
18.443984985352,-66.06559753418,330,110,7,5890,,1000,1,1,LTE,,,7,,,
18.443984985352,-66.06559753418,310,410,51998,249330983,,1000,1,1,UMTS,,,,,,
18.443984985352,-66.06559753418,330,110,41005,1356096,,1000,1,1,UMTS,,,,,,
18.443984985352,-66.064224243164,310,410,16130,130611983,,1000,1,1,LTE,,,16130,,,
18.443984985352,-66.062850952148,330,110,7,348417,,1000,1,1,UMTS,,,,,,
18.443984985352,-66.062850952148,310,410,51998,249330978,,1000,1,1,UMTS,,,,,,
18.443984985352,-66.062850952148,310,410,51998,249330980,,1000,1,1,UMTS,,,,,,
18.443984985352,-66.062850952148,310,410,16130,130611990,,1000,1,1,LTE,,,16130,,,
18.443984985352,-66.058731079102,310,410,51998,249343393,,1000,1,1,UMTS,,,,,,
18.443985,-66.063309,330,110,41025,1356062,,1000,1,1,UMTS,,,,,,
18.44408,-66.061035,310,260,49195,34426492,,1000,1,1,UMTS,,,,,,
18.444132,-66.064831,330,110,41025,1345991,,1000,1,1,UMTS,,,,,,
18.444155,-66.058983,330,120,2,5761,,1000,1,1,LTE,,,2,,,
