lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
37.142014,-93.268417,311,870,42491,91521329,,1000,1,1,LTE,,,42491,,,
37.142139,-93.269241,311,870,42491,90190081,,1000,1,1,LTE,,,42491,,,
37.142162,-93.271339,311,870,42491,90774297,,1000,1,1,LTE,,,42491,,,
37.142463,-93.271822,310,260,42491,6764290,,4473,1,1,LTE,,,42491,,,
37.142519,-93.266961,311,480,55808,209512226,,1000,1,1,LTE,,,55808,,,
37.142711,-93.270045,310,260,22619,59113,,1914,1,1,GSM,,,,,,
37.142715454102,-93.269119262695,310,410,34007,42521,,1000,1,1,GSM,,,,,,
37.142715454102,-93.260879516602,310,410,34007,63903,,1000,1,1,GSM,,,,,,
37.142813,-93.269137,311,580,5637,74295043,,1000,1,1,LTE,,,5637,,,
37.142883,-93.264061,312,530,42491,91528770,,1000,1,1,LTE,,,42491,,,
37.142932,-93.271685,310,120,11034,90190089,,1000,1,1,LTE,,,11034,,,
37.143739,-93.269621,310,260,42240,6760707,,8403,1,1,LTE,,,42240,,,
37.14417,-93.270392,310,120,11034,90190081,,1000,1,1,LTE,,,11034,,,
37.144554,-93.269921,310,410,25876,88128725,,4455,1,1,LTE,,,25876,,,
37.144599,-93.269523,310,260,42491,28105859,,3219,1,1,LTE,,,42491,,,
37.145273,-93.27129,310,120,42491,90270210,,4336,1,1,LTE,,,42491,,,
37.146022,-93.262855,310,260,42491,6760707,,6051,1,1,LTE,,,42491,,,
37.146073,-93.269364,311,480,55808,132815382,,1000,1,1,LTE,,,55808,,,
37.146313,-93.260914,310,260,42491,6760706,,8209,1,1,LTE,,,42491,,,
37.146314,-93.260999,310,260,42491,6760705,,8099,1,1,LTE,,,42491,,,
37.146835327148,-93.263626098633,311,870,11034,90259457,,1000,1,1,LTE,,,11034,,,
37.147187,-93.266168,310,260,42491,6764350,,1996,1,1,LTE,,,42491,,,
37.147247,-93.263626,311,870,11034,90774297,,1000,1,1,LTE,,,11034,,,
37.147411,-93.270418,310,410,25876,88882275,,1000,1,1,LTE,,,25876,,,
37.147522,-93.269119,311,870,11034,90774299,,1000,1,1,LTE,,,11034,,,
37.147792,-93.265382,311,480,55808,132815392,,1000,1,1,LTE,,,55808,,,
37.148195,-93.271118,311,480,55808,132815884,,1182,1,1,LTE,,,55808,,,
37.148208618164,-93.271865844727,311,480,55808,132815885,,1000,1,1,LTE,,,55808,,,
37.148208618164,-93.26774597168,310,120,11084,90768922,,1000,1,1,LTE,,,11084,,,
37.148208618164,-93.264999389648,310,410,34504,118618528,,1000,1,1,UMTS,,,,,,
37.148208618164,-93.264999389648,311,480,55808,132815639,,1000,1,1,LTE,,,55808,,,
37.148208618164,-93.264999389648,311,480,55808,132815393,,1000,1,1,LTE,,,55808,,,
37.148819,-93.266693,312,530,309,2859,,1000,1,1,LTE,,,309,,,
37.148877,-93.271722,311,870,309,2987,,1277,1,1,CDMA,,,,870,309,2987
37.14894,-93.267858,310,410,25876,88675991,,5508,1,1,LTE,,,25876,,,
37.149141,-93.262939,310,410,25859,88675848,,1000,1,1,LTE,,,25859,,,
37.14958190918,-93.263626098633,310,410,34504,118588525,,1000,1,1,UMTS,,,,,,
37.14958190918,-93.260879516602,310,410,34504,2989497,,1000,1,1,UMTS,,,,,,
37.14958190918,-93.260879516602,311,870,11034,90724122,,1000,1,1,LTE,,,11034,,,
37.149582,-93.269806,310,410,34504,118618525,,1000,1,1,UMTS,,,,,,
37.149827,-93.26346,311,480,55808,132815638,,3364,1,1,LTE,,,55808,,,
37.15017,-93.264411,310,260,22699,8840935,,1000,1,1,UMTS,,,,,,
