lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
32.614654,-117.024131,310,260,12150,20874498,,1000,1,1,LTE,,,12150,,,
32.614707,-117.026641,310,260,40291,133875171,,2271,1,1,UMTS,,,,,,
32.614974975586,-117.02568054199,310,260,40291,133881161,,1000,1,1,UMTS,,,,,,
32.614974975586,-117.02568054199,310,260,40291,133881154,,1000,1,1,UMTS,,,,,,
32.614974975586,-117.02430725098,310,260,40299,56642,,1000,1,1,CDMA,,,,260,40299,56642
32.614974975586,-117.02430725098,311,480,10243,10393110,,1000,1,1,LTE,,,10243,,,
32.615108,-117.025785,310,410,33548,79452696,,1000,1,1,LTE,,,33548,,,
32.615291,-117.025735,310,410,31997,32968237,,1000,1,1,UMTS,,,,,,
32.615526,-117.020392,310,260,40289,146990280,,3051,1,1,UMTS,,,,,,
32.615707,-117.02631,310,260,12150,20874497,,1000,1,1,LTE,,,12150,,,
32.616196,-117.02742,310,260,12172,20856382,,1000,1,1,LTE,,,12172,,,
32.616196,-117.02742,310,260,12172,22588990,,1000,1,1,LTE,,,12172,,,
32.616348266602,-117.02705383301,310,260,40299,56641,,1000,1,1,CDMA,,,,260,40299,56641
32.616348266602,-117.02705383301,310,260,40291,133881160,,1000,1,1,UMTS,,,,,,
32.617035,-117.02774,310,260,40207,56641,,1000,1,1,GSM,,,,,,
32.617393,-117.025927,310,260,40291,133877242,,2530,1,1,UMTS,,,,,,
32.617627,-117.027101,310,260,12150,21075203,,5472,1,1,LTE,,,12150,,,
32.617721557617,-117.02705383301,310,260,40291,133881153,,1000,1,1,UMTS,,,,,,
32.617721557617,-117.02293395996,311,480,10243,87193120,,1000,1,1,LTE,,,10243,,,
32.617721557617,-117.02156066895,310,410,33548,79452687,,1000,1,1,UMTS,,,,,,
32.618083,-117.021962,310,410,33548,79444752,,1000,1,1,LTE,,,33548,,,
32.618155,-117.025299,311,480,40,513,,1000,1,1,CDMA,,,,480,40,513
32.618538,-117.023796,310,260,12172,49425795,,1000,1,1,LTE,,,12172,,,
32.618784,-117.024773,311,480,40,13089,,1000,1,1,CDMA,,,,480,40,13089
32.618932,-117.023992,310,260,12172,48090500,,1000,1,1,LTE,,,12172,,,
32.619028,-117.024353,310,260,12172,48090510,,1000,1,1,LTE,,,12172,,,
32.619068,-117.024345,310,260,12172,49425805,,1000,1,1,LTE,,,12172,,,
32.619094848633,-117.02430725098,310,410,31997,32984897,,1000,1,1,UMTS,,,,,,
32.619094848633,-117.02430725098,310,410,31997,32967787,,1000,1,1,UMTS,,,,,,
32.619094848633,-117.02430725098,310,410,33548,79499157,,1000,1,1,LTE,,,33548,,,
32.619107,-117.024865,310,410,31997,32970045,,1000,1,1,UMTS,,,,,,
32.62001,-117.027054,311,4,40,513,,1000,1,1,LTE,,,40,,,
32.620877,-117.026542,310,260,12150,20855810,,2791,1,1,LTE,,,12150,,,
32.621151,-117.023697,310,410,33553,79499157,,1000,1,1,LTE,,,33553,,,
32.621342,-117.023491,310,410,33553,79877144,,1000,1,1,LTE,,,33553,,,
32.621342,-117.023491,310,410,31982,37227760,,1000,1,1,UMTS,,,,,,
32.621384,-117.023361,310,410,33553,79444745,,1000,1,1,LTE,,,33553,,,
32.62141,-117.023567,310,410,33553,79444752,,1000,1,1,LTE,,,33553,,,
32.62156,-117.022808,310,410,33553,80643842,,2855,1,1,LTE,,,33553,,,
32.622123,-117.019873,310,260,40207,52732,,4408,1,1,GSM,,,,,,
32.622402,-117.025923,310,410,31997,32967927,,1000,1,1,UMTS,,,,,,
32.622467,-117.021614,310,260,12172,46016320,,1000,1,1,LTE,,,12172,,,
32.623097,-117.023149,310,260,12172,20855810,,6162,1,1,LTE,,,12172,,,
32.623215,-117.018772,311,480,10243,10338316,,1000,1,1,LTE,,,10243,,,
