lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
26.182144,-98.227151,310,260,34307,39007494,,2020,1,1,LTE,,,34307,,,
26.182479858398,-98.228073120117,310,4181,72,4449,,1000,1,1,CDMA,,,,4181,72,4449
26.183167,-98.221207,310,410,54799,103304944,,1000,1,1,UMTS,,,,,,
26.183705,-98.22315,310,260,2795,66007905,,1125,1,1,UMTS,,,,,,
26.183762,-98.230179,310,410,29453,138757130,,1163,1,1,LTE,,,29453,,,
26.184776,-98.228726,310,260,5673,12153,,1000,1,1,GSM,,,,,,
26.18486,-98.224312,310,260,34307,17061381,,1000,1,1,LTE,,,34307,,,
26.18486,-98.224312,310,260,34307,17061411,,1000,1,1,LTE,,,34307,,,
26.184883,-98.226013,310,120,13059,108310577,,1000,1,1,LTE,,,13059,,,
26.185062,-98.22554,312,530,34307,108318002,,1181,1,1,LTE,,,34307,,,
26.18522644043,-98.226699829102,310,120,13059,108310593,,1000,1,1,LTE,,,13059,,,
26.185886,-98.226872,311,870,310,46379,,1083,1,1,LTE,,,310,,,
26.186769,-98.224083,312,530,34307,107400987,,1000,1,1,LTE,,,34307,,,
26.18684,-98.221588,311,490,34307,17061382,,1000,1,1,LTE,,,34307,,,
26.187057,-98.22464,310,260,2795,66006908,,1000,1,1,UMTS,,,,,,
26.187286,-98.226013,310,410,54799,103309937,,1000,1,1,UMTS,,,,,,
26.187286,-98.22464,310,4181,72,3891,,1000,1,1,CDMA,,,,4181,72,3891
26.187353,-98.230129,310,260,34307,39007759,,1000,1,1,LTE,,,34307,,,
26.187515,-98.227615,310,120,13059,106979329,,1000,1,1,LTE,,,13059,,,
26.187602,-98.224844,310,260,34307,17061382,,1708,1,1,LTE,,,34307,,,
26.187842,-98.223953,310,120,13059,106976515,,1000,1,1,LTE,,,13059,,,
26.187859,-98.223175,312,530,34307,106976515,,1000,1,1,LTE,,,34307,,,
26.187961,-98.224518,311,870,310,46282,,1000,1,1,LTE,,,310,,,
26.187973022461,-98.228073120117,310,120,13059,108310585,,1000,1,1,LTE,,,13059,,,
