lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.215103149414,-92.675857543945,310,22414,12,45563,,1000,1,1,CDMA,,,,22414,12,45563
33.215103149414,-92.671737670898,310,410,25510,115384559,,1000,1,1,UMTS,,,,,,
33.21594,-92.671562,311,480,47475,47582734,,1214,1,1,LTE,,,47475,,,
33.21628,-92.667814,310,410,25510,115384551,,1000,1,1,UMTS,,,,,,
33.216287,-92.668312,310,410,24590,65054486,,1125,1,1,LTE,,,24590,,,
33.216301,-92.674072,310,410,24590,65113098,,1000,1,1,LTE,,,24590,,,
33.216301,-92.674072,310,410,24590,65113278,,1000,1,1,LTE,,,24590,,,
33.21647644043,-92.668991088867,311,480,47475,124382732,,1000,1,1,LTE,,,47475,,,
33.217098,-92.674718,311,480,47475,47582721,,2035,1,1,LTE,,,47475,,,
33.21759,-92.668544,311,480,47475,47582732,,2053,1,1,LTE,,,47475,,,
33.219676,-92.672267,310,410,25510,115386846,,1000,1,1,UMTS,,,,,,
33.220596,-92.673111,310,410,25510,115356843,,1000,1,1,UMTS,,,,,,
33.220596313477,-92.671737670898,310,410,25510,115356846,,1000,1,1,UMTS,,,,,,
33.220596313477,-92.670364379883,310,410,25510,115356849,,1000,1,1,UMTS,,,,,,
33.220706,-92.671946,310,410,24590,64345239,,2046,1,1,LTE,,,24590,,,
