lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
25.997085571289,-80.247573852539,310,410,27074,239691456,,1000,1,1,UMTS,,,,,,
25.997086,-80.253067,310,410,27074,239671865,,1000,1,1,UMTS,,,,,,
25.997086,-80.248261,310,410,27101,6301,,1000,1,1,CDMA,,,,410,27101,6301
25.997439,-80.246165,310,410,14128,174241281,,1783,1,1,LTE,,,14128,,,
25.997772,-80.247574,310,410,27074,239691459,,1000,1,1,UMTS,,,,,,
25.998164,-80.246905,310,410,27074,239671453,,1701,1,1,UMTS,,,,,,
25.99817,-80.252728,310,260,33131,16135702,,4080,1,1,LTE,,,33131,,,
25.998226,-80.24765,310,260,33274,52795395,,1000,1,1,LTE,,,33274,,,
25.998459,-80.249176,310,120,10548,86593050,,1000,1,1,LTE,,,10548,,,
25.998808,-80.246213,310,260,33113,15643906,,2427,1,1,LTE,,,33113,,,
25.998917,-80.248947,310,120,10510,86593050,,1000,1,1,LTE,,,10510,,,
25.999213,-80.251879,310,410,14128,175275779,,4809,1,1,LTE,,,14128,,,
25.999281,-80.246321,310,260,33113,17615108,,5346,1,1,LTE,,,33113,,,
25.99983215332,-80.25032043457,310,410,14128,174248471,,1000,1,1,UMTS,,,,,,
25.99983215332,-80.248947143555,310,260,29393,46872278,,1000,1,1,UMTS,,,,,,
25.99983215332,-80.247573852539,310,260,29397,20656379,,1000,1,1,UMTS,,,,,,
25.99983215332,-80.247573852539,310,260,29397,37751376,,1000,1,1,UMTS,,,,,,
26.00016,-80.247955,310,260,33274,52795405,,1000,1,1,LTE,,,33274,,,
26.000383,-80.251965,310,410,27189,236985151,,4969,1,1,UMTS,,,,,,
26.000544,-80.247925,310,260,33273,52795405,,1000,1,1,LTE,,,33273,,,
26.00069,-80.248261,310,120,10548,86621467,,1000,1,1,LTE,,,10548,,,
26.001404,-80.251023,310,260,33105,16135694,,3466,1,1,LTE,,,33105,,,
26.002099,-80.246188,310,260,33113,17615138,,3162,1,1,LTE,,,33113,,,
26.002147,-80.249138,310,260,29396,27210331,,43209,1,1,UMTS,,,,,,
26.002304,-80.251694,310,260,29303,13361,,1000,1,1,CDMA,,,,260,29303,13361
26.002382,-80.247955,310,260,29397,20664762,,1000,1,1,UMTS,,,,,,
26.002476,-80.247935,310,260,33115,15983382,,6628,1,1,LTE,,,33115,,,
26.002578735352,-80.251693725586,310,260,2736,13361,,1000,1,1,CDMA,,,,260,2736,13361
26.002578735352,-80.244827270508,311,870,10244,42976257,,1000,1,1,LTE,,,10244,,,
26.002783,-80.247993,310,260,33027,107821324,,1000,1,1,LTE,,,33027,,,
26.002925,-80.249736,310,260,33105,16135714,,1686,1,1,LTE,,,33105,,,
26.003952026367,-80.254440307617,310,410,27189,237024889,,1000,1,1,UMTS,,,,,,
26.003952026367,-80.247573852539,310,260,29397,20664774,,1000,1,1,UMTS,,,,,,
26.003952026367,-80.246200561523,310,410,27074,239691870,,1000,1,1,UMTS,,,,,,
26.00425,-80.24807,310,260,33027,107821314,,1000,1,1,LTE,,,33027,,,
26.004524,-80.248947,310,120,10498,86068227,,1000,1,1,LTE,,,10498,,,
26.004876,-80.251971,310,260,33131,15643905,,1410,1,1,LTE,,,33131,,,
26.005325317383,-80.248947143555,310,260,29397,20656374,,1000,1,1,UMTS,,,,,,
26.005325317383,-80.247573852539,310,410,27124,239671864,,1000,1,1,UMTS,,,,,,
26.005325317383,-80.244827270508,310,410,27124,26715,,1000,1,1,CDMA,,,,410,27124,26715
26.0054,-80.251042,310,260,33131,20397835,,3292,1,1,LTE,,,33131,,,
26.00545,-80.249447,310,120,10498,85998082,,1000,1,1,LTE,,,10498,,,
26.005617,-80.248154,310,260,33105,44519693,,1000,1,1,LTE,,,33105,,,
26.005631,-80.247421,310,410,14128,174251792,,1000,1,1,UMTS,,,,,,
