lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.955899,-86.446577,310,410,15904,208045196,,1000,1,1,UMTS,,,,,,
36.955947875977,-86.44660949707,310,410,8195,208054777,,1000,1,1,LTE,,,8195,,,
36.956079,-86.443022,310,410,8195,40548617,,4651,1,1,LTE,,,8195,,,
36.956291,-86.447639,311,480,59774,238939906,,1000,1,1,LTE,,,59774,,,
36.956602,-86.448104,310,410,8195,40548631,,2344,1,1,LTE,,,8195,,,
36.956772,-86.447159,311,480,59774,238939926,,1000,1,1,LTE,,,59774,,,
36.957779,-86.446152,310,410,15904,208055195,,1000,1,1,UMTS,,,,,,
36.958158,-86.449148,310,410,15904,208055196,,1000,1,1,UMTS,,,,,,
36.958439,-86.449249,312,250,43003,27728773,,1000,1,1,LTE,,,43003,,,
36.959024,-86.451956,310,410,8195,40804625,,1039,1,1,LTE,,,8195,,,
36.960033,-86.446404,310,260,304,55346,,1000,1,1,LTE,,,304,,,
36.960316,-86.446033,310,410,15904,208045195,,1000,1,1,LTE,,,15904,,,
36.961024,-86.445671,310,410,8195,39268630,,1000,1,1,LTE,,,8195,,,
36.961105,-86.444168,311,870,304,39379,,3398,1,1,LTE,,,304,,,
36.961388,-86.448469,310,410,8195,40804618,,4799,1,1,LTE,,,8195,,,
