lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.366958618164,-81.829605102539,310,410,21259,81513742,,1000,1,1,LTE,,,21259,,,
41.369081,-81.827483,310,120,16643,137755144,,1000,1,1,LTE,,,16643,,,
41.369191,-81.832547,310,120,214,42227,,3600,1,1,LTE,,,214,,,
41.370352,-81.828878,310,120,16643,137755141,,1003,1,1,LTE,,,16643,,,
41.370529,-81.834824,311,490,29568,18377728,,1000,1,1,LTE,,,29568,,,
41.370735,-81.837845,311,490,16768,18377728,,1000,1,1,LTE,,,16768,,,
41.370991,-81.832069,311,480,62468,62467867,,1000,1,1,LTE,,,62468,,,
41.371078,-81.834412,310,120,16643,136972089,,1000,1,1,LTE,,,16643,,,
41.371078491211,-81.830978393555,311,480,62468,139267862,,1000,1,1,LTE,,,62468,,,
41.371078491211,-81.830978393555,311,490,4480,18448130,,1000,1,1,LTE,,,4480,,,
41.371079,-81.834755,310,120,16643,136972081,,1000,1,1,LTE,,,16643,,,
41.371079,-81.827316,310,4396,29,2755,,1000,1,1,CDMA,,,,4396,29,2755
41.371379,-81.82792,310,410,21259,43566601,,2224,1,1,LTE,,,21259,,,
41.371523,-81.833702,310,410,17535,81463073,,1000,1,1,UMTS,,,,,,
41.372074,-81.830749,311,480,62468,62467862,,500,1,1,LTE,,,62468,,,
41.372311,-81.831551,310,260,41211,6020109,,1000,1,1,LTE,,,41211,,,
41.372444,-81.831474,310,260,41211,6015765,,1000,1,1,LTE,,,41211,,,
41.372451782227,-81.837844848633,311,480,62468,139351072,,1000,1,1,LTE,,,62468,,,
41.372451782227,-81.835098266602,310,260,8402,21761,,1000,1,1,CDMA,,,,260,8402,21761
41.372452,-81.832123,310,410,21259,43566608,,1000,1,1,UMTS,,,,,,
41.372452,-81.832008,311,480,62468,62467842,,1000,1,1,LTE,,,62468,,,
41.373825,-81.829147,310,260,40962,6015765,,1000,1,1,LTE,,,40962,,,
41.374052,-81.831496,310,410,17535,81463070,,1277,1,1,UMTS,,,,,,
