lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
44.284512,-121.168438,310,410,36891,86081296,,5496,1,1,LTE,,,36891,,,
44.284537,-121.173741,310,260,35894,87187047,,2385,1,1,UMTS,,,,,,
44.285088,-121.174515,310,410,36891,86081295,,5417,1,1,LTE,,,36891,,,
44.285104,-121.171548,310,120,20482,167815951,,1000,1,1,LTE,,,20482,,,
44.285181,-121.172027,310,120,20482,167815936,,1786,1,1,LTE,,,20482,,,
44.286118,-121.172562,310,260,35896,21906946,,1000,1,1,UMTS,,,,,,
44.290005,-121.170247,310,410,36891,86081302,,5640,1,1,LTE,,,36891,,,
44.291104,-121.174842,311,480,1572,1731598,,2511,1,1,LTE,,,1572,,,
44.291308,-121.171347,310,410,33988,13759581,,9072,1,1,UMTS,,,,,,
44.291872,-121.172431,310,410,33988,13759539,,1110,1,1,UMTS,,,,,,
44.292095,-121.170532,311,580,1,24003,,1000,1,1,LTE,,,1,,,
44.293095,-121.172826,310,260,13666,24732163,,23119,1,1,LTE,,,13666,,,
