lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
35.151116,-90.048453,311,480,46344,46403602,,1065,1,1,LTE,,,46344,,,
35.151131,-90.043388,310,260,32823,16794143,,1000,1,1,LTE,,,32823,,,
35.151131,-90.043388,310,260,32823,16807968,,1000,1,1,LTE,,,32823,,,
35.151131,-90.043388,310,260,32823,19277343,,1000,1,1,LTE,,,32823,,,
35.15123,-90.044647,310,410,8706,42811861,,1000,1,1,LTE,,,8706,,,
35.151306,-90.050125,310,120,10241,83887361,,1000,1,1,LTE,,,10241,,,
35.151443,-90.045319,310,410,16000,12332,,1000,1,1,CDMA,,,,410,16000,12332
35.151443481445,-90.05012512207,310,410,16000,12333,,1000,1,1,CDMA,,,,410,16000,12333
35.151443481445,-90.048751831055,310,143,2,4360,,1000,1,1,CDMA,,,,143,2,4360
35.151443481445,-90.048751831055,310,260,29098,14962243,,1000,1,1,UMTS,,,,,,
35.151443481445,-90.047378540039,311,480,46344,123203596,,1000,1,1,LTE,,,46344,,,
35.151443481445,-90.044631958008,311,870,10241,83915521,,1000,1,1,LTE,,,10241,,,
35.151443481445,-90.041885375977,310,120,10292,84526106,,1000,1,1,LTE,,,10292,,,
35.151475,-90.050251,311,480,46344,46441240,,1000,1,1,LTE,,,46344,,,
35.151482,-90.04129,310,260,29071,22,,1000,1,1,GSM,,,,,,
35.15164,-90.04424,310,260,29098,58411,,1000,1,1,CDMA,,,,260,29098,58411
35.151672,-90.040588,310,260,32823,42151811,,1000,1,1,LTE,,,32823,,,
35.151787,-90.050209,311,480,46344,46441238,,1000,1,1,LTE,,,46344,,,
35.151806,-90.050184,311,480,46344,46441244,,1000,1,1,LTE,,,46344,,,
35.151818,-90.041379,310,410,8706,41275829,,2906,1,1,LTE,,,8706,,,
35.151832,-90.041507,310,410,8706,41275663,,19191,1,1,LTE,,,8706,,,
35.151882,-90.041137,310,410,8712,43273941,,1000,1,1,LTE,,,8712,,,
35.15189,-90.041851,310,410,8706,41275797,,2253,1,1,LTE,,,8706,,,
35.151978,-90.042796,310,260,32823,16807948,,1000,1,1,LTE,,,32823,,,
