lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.646927,-90.497818,310,410,24508,27824,,1000,1,1,CDMA,,,,410,24508,27824
38.647062,-90.503413,310,120,309,27401,,1052,1,1,LTE,,,309,,,
38.647125,-90.508598,310,410,26383,62218464,,1000,1,1,LTE,,,26383,,,
38.647156,-90.503311,310,120,11013,90309641,,1000,1,1,LTE,,,11013,,,
38.647241,-90.507683,310,410,26383,62218248,,5746,1,1,LTE,,,26383,,,
38.647385,-90.498733,310,410,24508,122252464,,1000,1,1,UMTS,,,,,,
38.647438,-90.508461,310,410,26383,62361493,,1000,1,1,LTE,,,26383,,,
38.647842,-90.506401,310,120,11009,90215433,,1000,1,1,LTE,,,11009,,,
38.647842407227,-90.503311157227,310,260,39499,7832465,,1000,1,1,UMTS,,,,,,
38.647842407227,-90.49919128418,310,410,24508,27821,,1000,1,1,GSM,,,,,,
38.647842407227,-90.497817993164,310,4190,41,7377,,1000,1,1,CDMA,,,,4190,41,7377
38.648576,-90.499311,310,410,26383,62152200,,1000,1,1,LTE,,,26383,,,
38.649215698242,-90.508804321289,310,410,24508,60401,,1000,1,1,CDMA,,,,410,24508,60401
38.649215698242,-90.508804321289,310,120,11063,90606875,,1000,1,1,LTE,,,11063,,,
38.649216,-90.508077,310,120,11009,91546673,,1000,1,1,LTE,,,11009,,,
38.649319,-90.499883,310,410,26383,62218262,,1814,1,1,LTE,,,26383,,,
38.649712,-90.507614,310,410,26383,63143787,,1000,1,1,LTE,,,26383,,,
38.649716,-90.501639,310,260,44804,29582091,,1000,1,1,LTE,,,44804,,,
38.649718,-90.506783,310,260,44804,29503233,,1000,1,1,LTE,,,44804,,,
38.64991,-90.508453,311,870,309,27035,,1000,1,1,LTE,,,309,,,
38.649958,-90.501588,310,260,44804,29582081,,1000,1,1,LTE,,,44804,,,
38.649965,-90.501938,310,260,39471,30562,,1000,1,1,GSM,,,,,,
38.650077,-90.501533,310,410,26383,62152207,,1000,1,1,LTE,,,26383,,,
38.650318,-90.501251,310,260,44804,8345734,,1000,1,1,LTE,,,44804,,,
38.650588989258,-90.501937866211,310,410,24002,27821,,1000,1,1,GSM,,,,,,
38.650589,-90.502625,310,410,26391,62345482,,1000,1,1,UMTS,,,,,,
38.650654,-90.50737,310,410,26383,63143880,,1000,1,1,LTE,,,26383,,,
38.650672,-90.508055,310,120,11013,90388739,,1000,1,1,LTE,,,11013,,,
38.650864,-90.501388,310,410,24508,122252467,,1000,1,1,UMTS,,,,,,
38.651161,-90.502739,310,120,11013,90681625,,1000,1,1,LTE,,,11013,,,
38.651276,-90.501938,310,260,39499,7849467,,1000,1,1,UMTS,,,,,,
38.651562,-90.502776,310,260,39471,30582,,1583,1,1,GSM,,,,,,
38.651673,-90.502704,310,410,26383,62152214,,1000,1,1,LTE,,,26383,,,
38.651962280273,-90.507431030273,311,870,18569,76042242,,1000,1,1,LTE,,,18569,,,
38.651962280273,-90.503311157227,310,410,64971,122252464,,1000,1,1,UMTS,,,,,,
38.651962280273,-90.503311157227,310,410,24508,122282461,,1000,1,1,UMTS,,,,,,
38.651962280273,-90.503311157227,310,260,39499,7829366,,1000,1,1,UMTS,,,,,,
38.651962280273,-90.503311157227,310,120,11013,90215425,,1000,1,1,LTE,,,11013,,,
38.651962280273,-90.501937866211,310,410,64971,128649561,,1000,1,1,UMTS,,,,,,
38.651962280273,-90.501937866211,310,410,64971,122252461,,1000,1,1,UMTS,,,,,,
38.651962280273,-90.501937866211,310,260,39471,30683,,1000,1,1,GSM,,,,,,
38.651962280273,-90.501937866211,310,260,39499,7829467,,1000,1,1,UMTS,,,,,,
38.651962280273,-90.501937866211,310,260,39499,122252464,,1000,1,1,UMTS,,,,,,
38.651962280273,-90.501937866211,310,260,39471,33501,,1000,1,1,GSM,,,,,,
38.651962280273,-90.501937866211,310,260,39499,122282461,,1000,1,1,UMTS,,,,,,
38.652008,-90.501838,310,410,24508,122252461,,5471,1,1,UMTS,,,,,,
38.652311,-90.506949,311,480,54786,54852865,,3127,1,1,LTE,,,54786,,,
38.652512,-90.50383,310,120,11013,90388738,,1000,1,1,LTE,,,11013,,,
38.653061,-90.507431,310,120,11013,91720003,,1000,1,1,LTE,,,11013,,,
38.653335571289,-90.506057739258,311,490,11013,90309643,,1000,1,1,LTE,,,11013,,,
38.654334,-90.506183,311,11,1,4365,,1000,1,1,LTE,,,1,,,
38.654342,-90.497632,310,260,44803,6553613,,2091,1,1,LTE,,,44803,,,
38.654708862305,-90.507431030273,310,410,24508,122259865,,1000,1,1,UMTS,,,,,,
38.655453,-90.507088,310,120,11013,91719987,,1000,1,1,LTE,,,11013,,,
