lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.174505,-96.842209,310,260,31958,17413133,,6049,1,1,LTE,,,31958,,,
33.174576,-96.843307,310,410,27200,133505795,,1000,1,1,LTE,,,27200,,,
33.174921,-96.841181,310,410,52660,111378020,,1986,1,1,UMTS,,,,,,
33.175111,-96.838808,310,410,27199,133233815,,1000,1,1,LTE,,,27199,,,
33.175123,-96.838872,311,480,33543,33645838,,1000,1,1,LTE,,,33543,,,
33.175277709961,-96.843795776367,310,410,52660,111370178,,1000,1,1,UMTS,,,,,,
33.175277709961,-96.841049194336,310,260,47397,20133518,,1000,1,1,UMTS,,,,,,
33.175277709961,-96.841049194336,310,410,52660,111378017,,1000,1,1,UMTS,,,,,,
33.175277709961,-96.841049194336,310,410,27199,111378023,,1000,1,1,LTE,,,27199,,,
33.175277709961,-96.836929321289,311,940,30859,23666690,,1000,1,1,LTE,,,30859,,,
33.175739,-96.843124,310,260,31999,17413133,,1000,1,1,LTE,,,31999,,,
33.175758,-96.842056,310,410,27200,133948311,,1000,1,1,LTE,,,27200,,,
33.175827,-96.839622,310,410,27199,133163530,,1000,1,1,LTE,,,27199,,,
33.175827,-96.839622,310,410,27199,133809431,,1000,1,1,LTE,,,27199,,,
33.1759,-96.8395,310,410,27199,133233695,,5631,1,1,LTE,,,27199,,,
33.176651000977,-96.834182739258,311,480,33543,110339340,,1000,1,1,LTE,,,33543,,,
33.177338,-96.838303,310,410,52909,105455757,,1000,1,1,UMTS,,,,,,
33.177526,-96.841232,311,480,33543,33645836,,604,1,1,LTE,,,33543,,,
33.178635,-96.839653,310,410,27199,133233667,,1000,1,1,LTE,,,27199,,,
33.179098,-96.835248,310,260,31999,19869451,,11330,1,1,LTE,,,31999,,,
33.179397583008,-96.835556030273,310,410,52660,111378015,,1000,1,1,UMTS,,,,,,
33.179428,-96.834562,310,410,27199,134544136,,10495,1,1,LTE,,,27199,,,
33.179794,-96.839615,310,410,27199,133233665,,1000,1,1,LTE,,,27199,,,
33.180222,-96.839401,310,260,10173,12910,,1000,1,1,GSM,,,,,,
33.182144,-96.838989,310,120,33543,33645836,,1000,1,1,LTE,,,33543,,,
33.182762,-96.841839,310,120,7939,65518107,,1000,1,1,LTE,,,7939,,,
