lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
33.706741333008,-96.589736938477,310,410,52901,8413,,1000,1,1,CDMA,,,,410,52901,8413
33.707428,-96.588135,310,4120,87,20411,,1463,1,1,CDMA,,,,4120,87,20411
33.707569,-96.585602,310,260,31871,19115111,,9501,1,1,LTE,,,31871,,,
33.707886,-96.589737,310,410,52909,105455843,,1000,1,1,UMTS,,,,,,
33.708114624023,-96.582870483398,310,410,52910,8507,,1000,1,1,CDMA,,,,410,52910,8507
33.708362,-96.589838,310,410,27142,133335376,,1255,1,1,LTE,,,27142,,,
33.709221,-96.585747,310,410,27142,133700367,,1000,1,1,LTE,,,27142,,,
33.709301,-96.585197,310,410,27143,134544535,,1000,1,1,LTE,,,27143,,,
33.709301,-96.585197,310,410,27143,133637781,,1000,1,1,LTE,,,27143,,,
33.70933,-96.58117,310,410,52910,105533181,,2549,1,1,UMTS,,,,,,
33.709438,-96.585114,310,410,27142,133685506,,1000,1,1,LTE,,,27142,,,
33.709487915039,-96.589736938477,310,410,52910,105455843,,1000,1,1,UMTS,,,,,,
33.709487915039,-96.589736938477,310,410,52910,105535634,,1000,1,1,UMTS,,,,,,
33.709487915039,-96.588363647461,310,410,27142,133685520,,1000,1,1,LTE,,,27142,,,
33.709495,-96.588691,310,410,27142,133335513,,1000,1,1,LTE,,,27142,,,
33.7097,-96.584333,310,260,31747,44235009,,5986,1,1,LTE,,,31747,,,
33.709937,-96.588432,310,410,27142,134544394,,6162,1,1,LTE,,,27142,,,
33.710288,-96.588055,310,410,27143,133700567,,1000,1,1,LTE,,,27143,,,
33.710861,-96.586075,310,410,27142,2980753,,1000,1,1,UMTS,,,,,,
33.710861206055,-96.588363647461,310,410,52909,106965485,,1000,1,1,UMTS,,,,,,
33.710861206055,-96.588363647461,310,120,7955,96486403,,1000,1,1,LTE,,,7955,,,
33.710861206055,-96.582870483398,310,410,52901,22098,,1000,1,1,CDMA,,,,410,52901,22098
33.711041,-96.587588,310,410,28163,133637640,,1000,1,1,LTE,,,28163,,,
33.712402,-96.586533,310,260,7,4814,,1000,1,1,LTE,,,7,,,
33.7128,-96.5869,310,410,28162,133551120,,1000,1,1,LTE,,,28162,,,
