lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
28.242763,-81.294365,310,120,12043,100008251,,4151,1,1,LTE,,,12043,,,
28.245162963867,-81.289901733398,310,410,27271,22653,,1000,1,1,CDMA,,,,410,27271,22653
28.245162963867,-81.285781860352,310,5116,27,2083,,1000,1,1,CDMA,,,,5116,27,2083
28.245928,-81.289474,310,260,33857,43647765,,1000,1,1,UMTS,,,,,,
28.245937,-81.293793,310,260,33841,41147917,,1000,1,1,LTE,,,33841,,,
28.245951,-81.292847,310,260,33857,43647767,,1000,1,1,UMTS,,,,,,
28.246199,-81.286514,310,260,33841,15893003,,1000,1,1,LTE,,,33841,,,
28.246239,-81.294544,310,410,13067,181571991,,1586,1,1,LTE,,,13067,,,
28.247395,-81.294983,311,480,37122,37131298,,2100,1,1,LTE,,,37122,,,
28.248125,-81.294002,311,480,37122,37131296,,2013,1,1,LTE,,,37122,,,
