lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.655398,-74.211469,310,260,52160,170498687,,1234,1,1,UMTS,,,,,,
40.655479,-74.218941,310,260,22791,11765506,,1000,1,1,LTE,,,22791,,,
40.655522,-74.210803,310,120,3076,25200899,,1000,1,1,LTE,,,3076,,,
40.65559387207,-74.214706420898,310,260,52160,170517744,,1000,1,1,UMTS,,,,,,
40.655599,-74.21048,310,260,22803,13760010,,1000,1,1,LTE,,,22803,,,
40.655694,-74.208742,310,260,22803,12556547,,1000,1,1,LTE,,,22803,,,
40.65597,-74.215166,310,260,22803,14249224,,5817,1,1,LTE,,,22803,,,
40.656076,-74.210646,311,480,22274,22282498,,1000,1,1,LTE,,,22274,,,
40.656101,-74.209351,310,260,22803,13760012,,1000,1,1,LTE,,,22803,,,
40.656233,-74.212812,310,120,3076,25205506,,1000,1,1,LTE,,,3076,,,
40.656382,-74.210845,311,480,22274,22282518,,1000,1,1,LTE,,,22274,,,
40.656504,-74.210394,310,260,23012,15097869,,1000,1,1,LTE,,,23012,,,
40.656669,-74.212258,310,260,22791,14249218,,2360,1,1,LTE,,,22791,,,
40.656802,-74.208365,310,260,22803,13278981,,1454,1,1,LTE,,,22803,,,
40.656967,-74.218924,310,260,22791,10479877,,1000,1,1,LTE,,,22791,,,
40.656967,-74.214626,311,480,22274,99286540,,1000,1,1,LTE,,,22274,,,
40.656967163086,-74.218826293945,311,870,3076,25191681,,1000,1,1,LTE,,,3076,,,
40.656967163086,-74.210586547852,310,410,3919,164562339,,1000,1,1,UMTS,,,,,,
40.656967163086,-74.210586547852,310,260,22791,11590659,,1000,1,1,LTE,,,22791,,,
40.657021,-74.215885,311,480,22274,22343182,,1000,1,1,LTE,,,22274,,,
40.657147,-74.21013,310,260,22803,10462721,,7976,1,1,LTE,,,22803,,,
40.657378,-74.210691,310,260,23012,13349383,,1000,1,1,LTE,,,23012,,,
40.657425,-74.214554,310,260,22791,10386949,,1000,1,1,LTE,,,22791,,,
40.657594,-74.208396,310,260,22803,13349381,,4738,1,1,LTE,,,22803,,,
40.657967,-74.209753,310,410,2398,207397037,,1925,1,1,LTE,,,2398,,,
