lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
46.195449829102,-119.12406921387,310,410,42974,107629328,,1000,1,1,UMTS,,,,,,
46.195449829102,-119.12132263184,310,410,42991,4396,,1000,1,1,CDMA,,,,410,42991,4396
46.195801,-119.124504,312,530,15702,155220243,,1000,1,1,LTE,,,15702,,,
46.196823120117,-119.11994934082,310,120,18947,156551425,,1000,1,1,LTE,,,18947,,,
46.196971,-119.121642,310,410,37147,107629584,,8086,1,1,LTE,,,37147,,,
46.19751,-119.116516,310,120,18947,156551431,,1000,1,1,LTE,,,18947,,,
46.197659,-119.112893,310,260,15701,44816143,,1000,1,1,LTE,,,15701,,,
46.197895,-119.121605,311,580,10,5490,,1000,1,1,LTE,,,10,,,
46.197922,-119.122513,310,120,18947,155220225,,1037,1,1,LTE,,,18947,,,
46.197945,-119.116158,310,260,62488,212499384,,1000,1,1,UMTS,,,,,,
46.197956,-119.115585,312,530,15702,155220228,,1000,1,1,LTE,,,15702,,,
46.198174,-119.113858,310,260,15702,25226047,,5605,1,1,LTE,,,15702,,,
46.198399,-119.121909,310,410,37147,107629740,,6275,1,1,LTE,,,37147,,,
46.198417,-119.125072,311,580,5122,135697450,,1524,1,1,LTE,,,5122,,,
46.198501,-119.125224,310,410,42974,8458540,,1000,1,1,UMTS,,,,,,
46.199017,-119.125184,310,410,37147,107632408,,3892,1,1,LTE,,,37147,,,
46.199112,-119.124298,310,120,18947,156551428,,1000,1,1,LTE,,,18947,,,
46.199667,-119.123588,310,260,15702,21933631,,1080,1,1,LTE,,,15702,,,
46.199798,-119.119332,310,410,37147,107629484,,2266,1,1,LTE,,,37147,,,
46.199827,-119.115731,310,410,37147,109933314,,2994,1,1,LTE,,,37147,,,
46.199901,-119.114423,310,260,15702,46021182,,5935,1,1,LTE,,,15702,,,
46.199971,-119.113834,310,410,37147,107629320,,5482,1,1,LTE,,,37147,,,
46.200061,-119.123908,310,410,37147,107632401,,7895,1,1,LTE,,,37147,,,
46.200385,-119.120416,310,410,37147,107629483,,2868,1,1,LTE,,,37147,,,
46.200942993164,-119.11720275879,310,410,42974,107627791,,1000,1,1,UMTS,,,,,,
46.201044,-119.124652,310,410,37147,107629335,,6625,1,1,LTE,,,37147,,,
46.201248,-119.114372,311,870,15702,155211543,,4561,1,1,LTE,,,15702,,,
46.202072,-119.117791,312,530,15702,155211525,,1585,1,1,LTE,,,15702,,,
46.202155,-119.118593,310,260,15702,45253438,,4476,1,1,LTE,,,15702,,,
46.202316,-119.125443,310,410,52830,24522,,1000,1,1,GSM,,,,,,
46.20231628418,-119.12132263184,310,260,42593,8458537,,1000,1,1,UMTS,,,,,,
46.202505,-119.125275,310,260,46071,20632,,5221,1,1,GSM,,,,,,
46.202733,-119.122981,310,260,42593,22433964,,6270,1,1,UMTS,,,,,,
46.203003,-119.115143,310,120,18947,155220239,,1000,1,1,LTE,,,18947,,,
46.203228,-119.116684,310,260,65534,21933571,,1000,1,1,UMTS,,,,,,
46.203348,-119.121396,310,260,15701,22307340,,4863,1,1,LTE,,,15701,,,
46.203531,-119.119958,312,530,15702,155220230,,1501,1,1,LTE,,,15702,,,
