lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.127449,-76.305504,311,490,1,9152,,1000,1,1,CDMA,,,,490,1,9152
40.127733,-76.306393,310,120,6662,266853913,,4924,1,1,LTE,,,6662,,,
40.127907,-76.305032,311,480,24834,24930817,,4271,1,1,LTE,,,24834,,,
40.128124,-76.307915,310,120,6662,267497539,,1000,1,1,LTE,,,6662,,,
40.12825012207,-76.313095092773,310,260,34692,53029663,,1000,1,1,UMTS,,,,,,
40.129156,-76.306036,310,120,6662,266853891,,4549,1,1,LTE,,,6662,,,
40.130996704102,-76.306228637695,310,260,34697,20285096,,1000,1,1,UMTS,,,,,,
40.130997,-76.305199,310,260,34692,53078858,,1000,1,1,UMTS,,,,,,
40.13205,-76.311447,310,260,22041,36689470,,1000,1,1,LTE,,,22041,,,
40.133477,-76.305653,310,260,22023,14255877,,1000,1,1,LTE,,,22023,,,
40.133743286133,-76.313095092773,310,260,22023,13501444,,1000,1,1,LTE,,,22023,,,
40.1346,-76.305371,311,480,25,3098,,2077,1,1,CDMA,,,,480,25,3098
40.135211,-76.305073,310,260,22023,14255874,,7208,1,1,LTE,,,22023,,,
40.135803,-76.312408,310,260,34692,53029681,,1000,1,1,UMTS,,,,,,
