lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
34.057163,-118.209208,310,260,84,30592,,1000,1,1,GSM,,,,,,
34.057201,-118.201019,310,260,15482,22761072,,1000,1,1,LTE,,,15482,,,
34.057617,-118.206711,310,260,26284,32938351,,1000,1,1,UMTS,,,,,,
34.057686,-118.199816,310,260,26266,94543551,,6222,1,1,UMTS,,,,,,
34.057892,-118.209026,310,260,15470,45220366,,1000,1,1,LTE,,,15470,,,
34.057994,-118.206944,310,410,34642,142978966,,3282,1,1,LTE,,,34642,,,
34.058007,-118.208517,310,260,84,21131,,1000,1,1,GSM,,,,,,
34.058022,-118.208992,310,260,15366,45220366,,1000,1,1,LTE,,,15366,,,
34.058061,-118.208084,310,120,24087,197288457,,1000,1,1,LTE,,,24087,,,
34.058303833008,-118.20945739746,310,410,55578,54940788,,1000,1,1,UMTS,,,,,,
34.058303833008,-118.20808410645,310,410,55560,58592,,1000,1,1,CDMA,,,,410,55560,58592
34.058303833008,-118.20808410645,310,410,55593,56741,,1000,1,1,CDMA,,,,410,55593,56741
34.058303833008,-118.20671081543,311,480,13568,12587011,,1000,1,1,LTE,,,13568,,,
34.058303833008,-118.20533752441,310,4145,15,313,,1000,1,1,CDMA,,,,4145,15,313
34.058303833008,-118.20259094238,310,260,84,17141,,1000,1,1,UMTS,,,,,,
34.058455,-118.203917,310,410,34594,143227920,,4841,1,1,LTE,,,34594,,,
34.058574,-118.209665,310,260,15470,25256452,,6105,1,1,LTE,,,15470,,,
34.058703,-118.209723,310,120,24087,197288449,,1000,1,1,LTE,,,24087,,,
34.058762,-118.207626,310,2,48,2561,,1179,1,1,CDMA,,,,2,48,2561
34.059151,-118.199875,310,,15,863,,1000,1,1,LTE,,,15,,,
34.059181,-118.208724,310,410,55578,58451168,,1931,1,1,UMTS,,,,,,
34.059509,-118.199837,312,250,15470,22745604,,1000,1,1,LTE,,,15470,,,
34.059677124023,-118.20671081543,310,410,55560,55043296,,1000,1,1,UMTS,,,,,,
34.059677124023,-118.20671081543,310,410,55578,3651471,,1000,1,1,UMTS,,,,,,
34.059677124023,-118.2039642334,310,410,34642,142300055,,1000,1,1,LTE,,,34642,,,
34.059677124023,-118.19984436035,310,260,26277,32905096,,1000,1,1,UMTS,,,,,,
34.06002,-118.206009,312,250,15470,197288466,,1000,1,1,LTE,,,15470,,,
34.06019,-118.200366,310,260,15470,22745610,,3439,1,1,LTE,,,15470,,,
34.060229,-118.200812,310,260,15470,22759943,,2247,1,1,LTE,,,15470,,,
34.060287,-118.206711,310,410,34642,142300054,,1000,1,1,LTE,,,34642,,,
34.060441,-118.201694,311,480,13568,13587736,,1000,1,1,LTE,,,13568,,,
34.060451,-118.209596,311,870,15,333,,1711,1,1,LTE,,,15,,,
34.060593,-118.208084,310,120,24106,197288465,,1000,1,1,LTE,,,24106,,,
34.061050415039,-118.20945739746,310,120,24106,197282579,,1000,1,1,LTE,,,24106,,,
34.061050415039,-118.20808410645,311,870,24080,197351681,,1000,1,1,LTE,,,24080,,,
34.061050415039,-118.20808410645,310,410,34642,142299927,,1000,1,1,LTE,,,34642,,,
34.061050415039,-118.20671081543,310,410,55578,58451174,,1000,1,1,UMTS,,,,,,
34.061050415039,-118.20533752441,310,410,55560,55043303,,1000,1,1,UMTS,,,,,,
34.061050415039,-118.20259094238,310,260,26273,229546347,,1000,1,1,UMTS,,,,,,
34.061050415039,-118.20121765137,310,410,55578,58451664,,1000,1,1,UMTS,,,,,,
34.061226,-118.205806,310,410,55546,55052,,25600,1,1,CDMA,,,,410,55546,55052
34.061462,-118.203003,310,120,24080,197408522,,1000,1,1,LTE,,,24080,,,
34.061836,-118.202309,310,260,13568,13587736,,1000,1,1,LTE,,,13568,,,
34.062047,-118.208948,310,120,24080,198613811,,1000,1,1,LTE,,,24080,,,
34.062153,-118.202615,311,480,13568,90387734,,1000,1,1,LTE,,,13568,,,
34.062423706055,-118.20808410645,310,410,55578,58394511,,1000,1,1,UMTS,,,,,,
34.062423706055,-118.20533752441,310,2,53,1234,,1000,1,1,CDMA,,,,2,53,1234
34.062423706055,-118.20121765137,310,260,26273,229546344,,1000,1,1,UMTS,,,,,,
34.062437,-118.208784,310,410,55593,4212,,5669,1,1,CDMA,,,,410,55593,4212
34.062496,-118.208373,310,120,24106,198613811,,1000,1,1,LTE,,,24106,,,
34.062501,-118.20671,310,410,34642,142299586,,2457,1,1,LTE,,,34642,,,
34.062649,-118.201912,310,260,15401,227183728,,1000,1,1,LTE,,,15401,,,
34.062653,-118.20694,310,120,24080,197282563,,1000,1,1,LTE,,,24080,,,
34.062786,-118.201721,310,260,15401,227183638,,1000,1,1,LTE,,,15401,,,
34.062836,-118.206711,310,120,24080,197282571,,1000,1,1,LTE,,,24080,,,
34.062855,-118.201395,310,260,15401,227183618,,1000,1,1,LTE,,,15401,,,
34.062856,-118.20235,310,260,15470,21944325,,2336,1,1,LTE,,,15470,,,
34.062882,-118.201608,310,260,15401,227183628,,1000,1,1,LTE,,,15401,,,
34.062966,-118.199729,310,260,15470,21944322,,5293,1,1,LTE,,,15470,,,
34.063295,-118.202403,311,480,13568,13587734,,1000,1,1,LTE,,,13568,,,
34.063423,-118.20204,310,260,15482,24861297,,1225,1,1,LTE,,,15482,,,
34.063475,-118.2071,311,870,15,4918,,1000,1,1,LTE,,,15,,,
34.06379699707,-118.20945739746,310,260,26273,229546346,,1000,1,1,UMTS,,,,,,
34.06379699707,-118.20671081543,310,260,26268,32904300,,1000,1,1,UMTS,,,,,,
34.063869,-118.204398,310,120,24080,198613819,,1000,1,1,LTE,,,24080,,,
34.063961,-118.204323,310,260,84,17072,,1000,1,1,GSM,,,,,,
34.063984,-118.204588,311,480,13568,13587715,,1000,1,1,LTE,,,13568,,,
34.063993,-118.201806,311,480,13568,13587726,,1000,1,1,LTE,,,13568,,,
34.064252,-118.205102,310,260,15482,24861193,,1688,1,1,LTE,,,15482,,,
34.064396,-118.202759,310,260,15470,23629576,,2893,1,1,LTE,,,15470,,,
34.064484,-118.209359,310,260,26277,190226111,,1000,1,1,UMTS,,,,,,
34.064532,-118.208677,310,410,34642,142299579,,1000,1,1,LTE,,,34642,,,
34.064597,-118.209529,310,260,15370,21944327,,1000,1,1,LTE,,,15370,,,
34.064645,-118.204036,310,260,15470,23629570,,5648,1,1,LTE,,,15470,,,
34.064757,-118.202339,310,410,34642,142978840,,1339,1,1,LTE,,,34642,,,
34.064809,-118.205338,310,120,24106,198613819,,1143,1,1,LTE,,,24106,,,
34.064881,-118.201265,310,120,15,465,,4875,1,1,CDMA,,,,120,15,465
34.065018,-118.199844,310,120,24080,198613810,,1000,1,1,LTE,,,24080,,,
34.065065,-118.199827,311,480,13568,90387744,,1000,1,1,LTE,,,13568,,,
34.06517,-118.208084,310,260,26273,229546343,,1000,1,1,UMTS,,,,,,
34.06517,-118.204308,310,260,84,51113,,1000,1,1,CDMA,,,,260,84,51113
34.06517,-118.200531,310,260,15450,22760969,,1000,1,1,LTE,,,15450,,,
34.065170288086,-118.20671081543,311,480,13568,13818883,,1000,1,1,LTE,,,13568,,,
34.065170288086,-118.2039642334,310,410,55560,58593,,1000,1,1,CDMA,,,,410,55560,58593
34.065170288086,-118.2039642334,310,120,24106,197282563,,1000,1,1,LTE,,,24106,,,
34.065170288086,-118.20259094238,310,410,55578,58451184,,1000,1,1,UMTS,,,,,,
34.065170288086,-118.20259094238,310,260,15450,23844102,,1000,1,1,LTE,,,15450,,,
34.065170288086,-118.20121765137,310,410,34642,143156247,,1000,1,1,LTE,,,34642,,,
34.065170288086,-118.20121765137,310,260,26268,190210977,,1000,1,1,UMTS,,,,,,
34.065170288086,-118.19984436035,310,120,24106,198613818,,1000,1,1,LTE,,,24106,,,
34.065170288086,-118.19984436035,310,120,24106,197282562,,1000,1,1,LTE,,,24106,,,
34.065170288086,-118.19984436035,310,120,24106,198613810,,1000,1,1,LTE,,,24106,,,
34.065198,-118.205055,310,260,15370,227183629,,1000,1,1,LTE,,,15370,,,
34.065207,-118.201512,310,260,15370,227184005,,1000,1,1,LTE,,,15370,,,
34.065265,-118.205126,310,260,15366,23629576,,1000,1,1,LTE,,,15366,,,
34.065322,-118.202721,310,260,15370,227183619,,1000,1,1,LTE,,,15370,,,
34.065357,-118.203722,310,260,15482,21995014,,2168,1,1,LTE,,,15482,,,
34.065381,-118.207352,310,410,34642,142979005,,1000,1,1,LTE,,,34642,,,
34.065525,-118.202751,310,260,15470,21995011,,1000,1,1,LTE,,,15470,,,
34.065552,-118.202667,310,260,15470,21995017,,1000,1,1,LTE,,,15470,,,
34.065619,-118.209742,310,260,15470,21944321,,3746,1,1,LTE,,,15470,,,
34.06562,-118.209926,310,260,15470,21944327,,6708,1,1,LTE,,,15470,,,
34.065704,-118.201174,310,260,15482,21995017,,3940,1,1,LTE,,,15482,,,
34.065866,-118.20385,310,410,34642,141091860,,1000,1,1,LTE,,,34642,,,
34.065934,-118.210273,310,260,15470,45219843,,2175,1,1,LTE,,,15470,,,
34.065951,-118.207645,310,260,15470,20640517,,2921,1,1,LTE,,,15470,,,
34.065956,-118.205795,310,260,15370,21944325,,1000,1,1,LTE,,,15370,,,
34.065979,-118.205872,310,260,15370,227184015,,1000,1,1,LTE,,,15370,,,
