lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.451291,-78.013224,311,480,29440,29548300,,1837,1,1,LTE,,,29440,,,
38.4514,-78.0134,311,480,29440,29548289,,7279,1,1,LTE,,,29440,,,
38.451461791992,-78.013229370117,310,410,4668,194714378,,1000,1,1,LTE,,,4668,,,
38.452435,-78.012977,310,410,4619,167988490,,2477,1,1,LTE,,,4619,,,
38.452835,-78.012052,311,170,51,3387,,1000,1,1,LTE,,,51,,,
38.454037,-78.013401,311,170,51,3385,,1000,1,1,LTE,,,51,,,
38.454208,-78.019016,310,410,4668,166860304,,1000,1,1,LTE,,,4668,,,
38.454208374023,-78.017349243164,310,410,7974,166438415,,1000,1,1,UMTS,,,,,,
38.454245,-78.009832,310,410,10978,194720537,,2096,1,1,UMTS,,,,,,
38.454859,-78.015444,310,410,5126,167988490,,2405,1,1,LTE,,,5126,,,
38.455581665039,-78.017349243164,310,410,10978,166436881,,1000,1,1,UMTS,,,,,,
38.456223,-78.013921,310,410,4619,166851990,,3806,1,1,LTE,,,4619,,,
38.45668,-78.012607,311,480,29451,29548289,,1000,1,1,LTE,,,29451,,,
38.456956,-78.012543,310,410,10998,193409817,,1136,1,1,UMTS,,,,,,
38.458101,-78.008882,310,410,10998,193414718,,3872,1,1,UMTS,,,,,,
38.45832824707,-78.010482788086,310,260,46158,57082,,1000,1,1,GSM,,,,,,
38.459404,-78.008882,310,120,20437,266841114,,11903,1,1,LTE,,,20437,,,
