lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
38.97459,-94.393372,310,260,22694,28476667,,1000,1,1,UMTS,,,,,,
38.974789,-94.394455,311,490,42244,79764227,,1000,1,1,LTE,,,42244,,,
38.974789,-94.394455,311,490,42244,79764235,,1000,1,1,LTE,,,42244,,,
38.974792,-94.39447,310,260,22616,21043,,1000,1,1,GSM,,,,,,
38.974792,-94.39447,311,490,42244,5269005,,1000,1,1,LTE,,,42244,,,
38.974792,-94.39447,311,490,42244,79799307,,1000,1,1,LTE,,,42244,,,
38.975342,-94.395264,310,260,42244,9084036,,1000,1,1,LTE,,,42244,,,
38.975372,-94.39505,312,250,42244,5269005,,1000,1,1,LTE,,,42244,,,
38.97543,-94.394806,313,100,22616,21063,,1000,1,1,GSM,,,,,,
38.975437,-94.394836,310,260,42244,79764235,,1000,1,1,LTE,,,42244,,,
38.975437,-94.394821,311,490,42244,79897611,,1000,1,1,LTE,,,42244,,,
38.97551,-94.395554,312,250,42244,9084046,,1000,1,1,LTE,,,42244,,,
38.975716,-94.392792,310,260,42244,8981390,,1000,1,1,LTE,,,42244,,,
38.975716,-94.392792,312,250,42244,5149964,,1000,1,1,LTE,,,42244,,,
38.976058959961,-94.396591186523,310,120,9786,80217881,,1000,1,1,LTE,,,9786,,,
38.976079,-94.394882,312,530,42244,79734531,,3211,1,1,LTE,,,42244,,,
38.976974,-94.396591,310,120,9736,80288283,,1000,1,1,LTE,,,9736,,,
38.977879,-94.39456,310,260,42244,5178943,,3556,1,1,LTE,,,42244,,,
38.978806,-94.399926,310,410,25872,88452879,,1000,1,1,LTE,,,25872,,,
38.979534,-94.391525,312,530,42244,81065795,,1000,1,1,LTE,,,42244,,,
38.979857,-94.392616,312,530,42244,81065779,,1000,1,1,LTE,,,42244,,,
