lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.659657,-91.527724,311,580,3,48692488,,1000,1,1,LTE,,,3,,,
41.659672,-91.530167,310,410,18434,75148182,,1000,1,1,LTE,,,18434,,,
41.659927,-91.530075,310,410,29903,89433435,,1000,1,1,UMTS,,,,,,
41.660039,-91.527042,311,220,30,21794,,1167,1,1,LTE,,,30,,,
41.660149,-91.533241,311,480,48131,48356128,,1000,1,1,LTE,,,48131,,,
41.660156,-91.531143,311,480,48131,48356119,,1000,1,1,LTE,,,48131,,,
41.66028,-91.527233,311,480,48131,48362276,,1000,1,1,LTE,,,48131,,,
41.660328,-91.530304,311,480,1,4907,,1000,1,1,CDMA,,,,480,1,4907
41.660344,-91.527537,310,120,17667,144729345,,1000,1,1,LTE,,,17667,,,
41.660374,-91.52842,310,770,580,1159,,1000,1,1,UMTS,,,,,,
41.660598,-91.528644,310,120,17667,144709123,,1340,1,1,LTE,,,17667,,,
41.660621,-91.529238,310,120,124,144709135,,1000,1,1,LTE,,,124,,,
41.660632,-91.530744,310,770,580,1879,,1000,1,1,GSM,,,,,,
41.660637,-91.526207,310,120,17667,144729348,,1000,1,1,LTE,,,17667,,,
41.660667,-91.532028,311,480,30,22049,,1000,1,1,CDMA,,,,480,30,22049
41.660667,-91.522842,311,480,48131,48362272,,1000,1,1,LTE,,,48131,,,
41.660842895508,-91.533279418945,310,770,2580,20873,,1000,1,1,CDMA,,,,770,2580,20873
41.660842895508,-91.533279418945,311,220,3,48680967,,1000,1,1,LTE,,,3,,,
41.660842895508,-91.533279418945,311,220,3,48680961,,1000,1,1,LTE,,,3,,,
41.660843,-91.53122,310,410,29028,62331,,1000,1,1,CDMA,,,,410,29028,62331
41.660843,-91.529159,310,120,17666,144709135,,1000,1,1,LTE,,,17666,,,
41.660843,-91.52504,310,120,17666,144709120,,1000,1,1,LTE,,,17666,,,
41.661301,-91.527786,311,580,3,48680964,,1000,1,1,LTE,,,3,,,
41.661301,-91.524124,311,490,17667,144729348,,1000,1,1,LTE,,,17667,,,
41.661443,-91.533014,311,220,30,22049,,1000,1,1,LTE,,,30,,,
41.661491,-91.530805,311,580,3,48680967,,1000,1,1,LTE,,,3,,,
41.661786,-91.531438,310,410,18434,75148042,,1158,1,1,LTE,,,18434,,,
41.661925,-91.524249,310,120,17667,144709120,,1212,1,1,LTE,,,17667,,,
41.66209,-91.530228,310,410,18434,76684042,,1000,1,1,LTE,,,18434,,,
41.662171,-91.530933,310,410,18434,75148183,,1000,1,1,LTE,,,18434,,,
41.662216,-91.531906,310,770,2580,151945,,1000,1,1,UMTS,,,,,,
41.662216,-91.531219,310,410,29903,32338,,1000,1,1,CDMA,,,,410,29903,32338
41.662216186523,-91.533279418945,310,410,29903,89423442,,1000,1,1,UMTS,,,,,,
41.662216186523,-91.53190612793,311,480,48128,125004054,,1000,1,1,LTE,,,48128,,,
41.662216186523,-91.530532836914,310,410,29903,42331,,1000,1,1,CDMA,,,,410,29903,42331
41.662216186523,-91.529159545898,310,410,29903,32331,,1000,1,1,CDMA,,,,410,29903,32331
41.662216186523,-91.527786254883,311,490,17666,144729360,,1000,1,1,LTE,,,17666,,,
41.662216186523,-91.523666381836,311,150,1,4649,,1000,1,1,LTE,,,1,,,
41.662243,-91.526806,310,410,18434,75147798,,1000,1,1,LTE,,,18434,,,
41.662243,-91.525749,311,480,48131,48362286,,1000,1,1,LTE,,,48131,,,
41.662273,-91.525757,310,410,18434,75148203,,1000,1,1,LTE,,,18434,,,
41.662823,-91.524887,310,410,18434,75148054,,1000,1,1,LTE,,,18434,,,
41.662941,-91.527733,311,480,48131,48358176,,1000,1,1,LTE,,,48131,,,
41.663151,-91.52285,311,480,48131,48362283,,1000,1,1,LTE,,,48131,,,
41.663332,-91.52813,311,480,48131,48204055,,1000,1,1,LTE,,,48131,,,
41.663338,-91.532314,311,480,48131,125004045,,1000,1,1,LTE,,,48131,,,
41.663353,-91.529583,310,260,11106,3879,,1000,1,1,GSM,,,,,,
41.663357,-91.529576,310,260,11106,1879,,1000,1,1,GSM,,,,,,
41.663364,-91.529541,311,580,18434,75148205,,1000,1,1,LTE,,,18434,,,
41.66356,-91.530622,311,480,48131,48204054,,1000,1,1,LTE,,,48131,,,
41.663571,-91.530414,310,410,29903,89426577,,1000,1,1,UMTS,,,,,,
41.663589,-91.532593,310,410,29903,89426574,,1000,1,1,UMTS,,,,,,
41.663689,-91.53202,311,480,48131,125004056,,1000,1,1,LTE,,,48131,,,
41.663792,-91.528992,310,120,30,21795,,1000,1,1,CDMA,,,,120,30,21795
41.663792,-91.528992,310,120,30,21794,,1000,1,1,CDMA,,,,120,30,21794
41.663807,-91.528356,311,480,48131,125004055,,1000,1,1,LTE,,,48131,,,
41.66389,-91.525406,310,260,48126,26535181,,1000,1,1,LTE,,,48126,,,
41.663891,-91.532407,310,410,18434,75067670,,1457,1,1,LTE,,,18434,,,
41.663957,-91.522958,310,770,580,32329,,1976,1,1,GSM,,,,,,
41.663978,-91.530214,311,480,48131,125004054,,1015,1,1,LTE,,,48131,,,
41.664017,-91.531322,310,410,18434,75148205,,1000,1,1,LTE,,,18434,,,
41.664339,-91.532156,311,580,3,48692489,,1000,1,1,LTE,,,3,,,
41.664594,-91.524229,310,770,580,3879,,1237,1,1,GSM,,,,,,
41.66462,-91.527445,310,120,17667,144722960,,3452,1,1,LTE,,,17667,,,
41.664646,-91.5243,311,220,3,48692484,,1000,1,1,LTE,,,3,,,
41.664742,-91.530701,310,120,124,144729359,,1000,1,1,LTE,,,124,,,
41.664824,-91.530987,311,480,48131,125004065,,1000,1,1,LTE,,,48131,,,
41.664902,-91.531044,310,410,18434,75148049,,1000,1,1,LTE,,,18434,,,
41.664909,-91.526236,311,480,48131,125004302,,1553,1,1,LTE,,,48131,,,
41.664917,-91.529537,311,480,48131,125000215,,1000,1,1,LTE,,,48131,,,
41.664962768555,-91.525039672852,310,410,29903,89426579,,1000,1,1,UMTS,,,,,,
41.664962768555,-91.523666381836,311,220,3,48701448,,1000,1,1,LTE,,,3,,,
41.664962768555,-91.523666381836,311,220,3,74655255,,1000,1,1,LTE,,,3,,,
41.664963,-91.530533,311,220,3,48692489,,1000,1,1,LTE,,,3,,,
41.665057,-91.524086,310,260,48126,26533694,,1000,1,1,LTE,,,48126,,,
41.665182,-91.532523,311,480,48131,48204035,,1560,1,1,LTE,,,48131,,,
41.665207,-91.52282,311,480,48131,48358167,,1000,1,1,LTE,,,48131,,,
41.665457,-91.525776,311,220,30,21793,,1000,1,1,LTE,,,30,,,
41.665588,-91.522827,311,480,48131,48358166,,1000,1,1,LTE,,,48131,,,
41.665649,-91.534095,311,480,48128,48200204,,1000,1,1,LTE,,,48128,,,
41.66565,-91.527786,311,490,17667,144729345,,1000,1,1,LTE,,,17667,,,
41.665726,-91.527557,311,480,48131,201800206,,1000,1,1,LTE,,,48131,,,
41.665741,-91.533087,310,770,2580,151223,,1235,1,1,UMTS,,,,,,
41.665746,-91.533964,310,410,18434,75148056,,1258,1,1,LTE,,,18434,,,
41.665748,-91.532494,311,490,17667,144709135,,1000,1,1,LTE,,,17667,,,
41.665787,-91.533554,311,490,17667,144709123,,1000,1,1,LTE,,,17667,,,
41.665787,-91.52504,311,220,3,48692487,,1000,1,1,LTE,,,3,,,
41.666054,-91.525734,311,480,48131,48358160,,1000,1,1,LTE,,,48131,,,
41.666061,-91.525703,311,480,48131,48358156,,1000,1,1,LTE,,,48131,,,
41.666331,-91.525157,310,410,29903,89426575,,1000,1,1,UMTS,,,,,,
41.666336,-91.533005,311,580,3,48692483,,1000,1,1,LTE,,,3,,,
41.667005,-91.52939,311,480,48131,125004064,,1898,1,1,LTE,,,48131,,,
41.667023,-91.533279,311,580,3,48692486,,1000,1,1,LTE,,,3,,,
41.667085,-91.527287,311,480,48131,48204065,,1000,1,1,LTE,,,48131,,,
41.667099,-91.527603,311,480,48128,48200206,,1594,1,1,LTE,,,48128,,,
41.667326,-91.531994,311,480,48131,125004044,,1000,1,1,LTE,,,48131,,,
41.667435,-91.525864,311,580,3,48692487,,1000,1,1,LTE,,,3,,,
41.667542,-91.525688,311,480,48131,48358200,,1000,1,1,LTE,,,48131,,,
41.667657,-91.524775,311,480,48131,48204034,,500,1,1,LTE,,,48131,,,
41.667709350586,-91.533279418945,311,220,3,48692486,,1000,1,1,LTE,,,3,,,
41.667885,-91.522942,311,480,48131,125004304,,1000,1,1,LTE,,,48131,,,
41.668182,-91.533051,310,410,18434,75067819,,1000,1,1,LTE,,,18434,,,
