lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
36.158855,-115.165367,310,260,13128,22786417,,1000,1,1,LTE,,,13128,,,
36.158936,-115.171272,310,260,13115,47588869,,1000,1,1,LTE,,,13115,,,
36.158962,-115.164459,310,410,33806,92169879,,1000,1,1,LTE,,,33806,,,
36.158974,-115.171585,311,480,5120,82002466,,1000,1,1,LTE,,,5120,,,
36.158974,-115.167529,311,480,5120,5202456,,1000,1,1,LTE,,,5120,,,
36.158981,-115.168533,310,260,24596,203345189,,1000,1,1,UMTS,,,,,,
36.159126,-115.162392,310,410,33806,94235326,,1000,1,1,LTE,,,33806,,,
36.159153,-115.170723,310,260,13128,22786306,,1000,1,1,LTE,,,13128,,,
36.1592,-115.166399,310,260,13115,47703870,,3216,1,1,LTE,,,13115,,,
36.159225,-115.170593,310,260,13128,20544624,,1000,1,1,LTE,,,13128,,,
36.159225,-115.170593,310,260,13128,20544514,,1000,1,1,LTE,,,13128,,,
36.159251,-115.162935,311,480,5223,5214467,,977,1,1,LTE,,,5223,,,
36.159279,-115.169792,310,260,13115,22786417,,1000,1,1,LTE,,,13115,,,
36.159439,-115.168228,311,480,5120,5202434,,1000,1,1,LTE,,,5120,,,
36.159439,-115.167618,310,40,49,3634,,1000,1,1,CDMA,,,,40,49,3634
36.159439086914,-115.16761779785,310,410,36984,2138498,,1000,1,1,UMTS,,,,,,
36.159439086914,-115.16761779785,310,260,13103,25153793,,1000,1,1,LTE,,,13103,,,
36.159439086914,-115.16761779785,311,480,5121,5205006,,1000,1,1,LTE,,,5121,,,
36.159439086914,-115.16761779785,311,480,5121,5202434,,1000,1,1,LTE,,,5121,,,
36.159447,-115.163376,310,260,13128,20503560,,1000,1,1,LTE,,,13128,,,
36.159455,-115.171806,310,260,13128,20544520,,1000,1,1,LTE,,,13128,,,
36.159473,-115.169579,310,260,13128,20544515,,1000,1,1,LTE,,,13128,,,
36.159546,-115.168518,310,260,13145,23136003,,1000,1,1,LTE,,,13145,,,
36.159605,-115.171718,310,410,33806,94235697,,1297,1,1,LTE,,,33806,,,
36.159625,-115.166682,310,260,13115,25153793,,1000,1,1,LTE,,,13115,,,
36.159629,-115.170332,310,260,13115,23136005,,5394,1,1,LTE,,,13115,,,
36.159634,-115.161449,310,260,13115,47350845,,3468,1,1,LTE,,,13115,,,
36.15973,-115.167992,310,260,13115,25153799,,1000,1,1,LTE,,,13115,,,
36.159806,-115.170969,310,260,13103,22786306,,5695,1,1,LTE,,,13103,,,
36.159879,-115.167951,310,260,13115,25153800,,1000,1,1,LTE,,,13115,,,
36.159892,-115.167208,310,260,13115,25153794,,1000,1,1,LTE,,,13115,,,
36.159975,-115.166779,310,260,24594,81458224,,2479,1,1,UMTS,,,,,,
36.159988,-115.168327,310,120,6,199245081,,1000,1,1,LTE,,,6,,,
36.159988,-115.167618,311,480,5120,5202433,,1000,1,1,LTE,,,5120,,,
36.160076,-115.171028,311,480,5120,5178114,,870,1,1,LTE,,,5120,,,
36.160189,-115.167152,310,410,33806,94235185,,1000,1,1,LTE,,,33806,,,
36.160248,-115.162348,312,530,6,951,,6296,1,1,LTE,,,6,,,
36.160311,-115.166293,310,410,33806,94235213,,1000,1,1,LTE,,,33806,,,
36.160337,-115.167879,310,260,13115,23136003,,7020,1,1,LTE,,,13115,,,
36.160364,-115.172063,310,260,13115,20544514,,7558,1,1,LTE,,,13115,,,
36.1604,-115.16848,310,120,6,199245075,,1000,1,1,LTE,,,6,,,
36.1604,-115.16848,310,120,6,199245073,,1000,1,1,LTE,,,6,,,
36.160488,-115.161491,310,260,13115,227004557,,1000,1,1,LTE,,,13115,,,
36.160537,-115.162762,310,260,13128,23136007,,3616,1,1,LTE,,,13128,,,
36.160594,-115.170428,310,120,6,200576315,,1000,1,1,LTE,,,6,,,
36.160662,-115.167938,311,480,5121,5202446,,1000,1,1,LTE,,,5121,,,
36.160685,-115.166358,310,260,13115,22786312,,4736,1,1,LTE,,,13115,,,
36.160737,-115.168141,310,120,6,200576313,,1000,1,1,LTE,,,6,,,
36.160768,-115.169257,311,480,5120,5178136,,1000,1,1,LTE,,,5120,,,
36.160812,-115.168991,311,480,5121,5202433,,1000,1,1,LTE,,,5121,,,
36.16081237793,-115.1634979248,310,410,36984,34306791,,1000,1,1,UMTS,,,,,,
36.16081237793,-115.16212463379,310,260,24596,203300716,,1000,1,1,UMTS,,,,,,
36.160885,-115.165405,310,410,33806,92169910,,1000,1,1,LTE,,,33806,,,
36.160976,-115.162589,310,260,13115,20544517,,4040,1,1,LTE,,,13115,,,
36.161266,-115.163413,310,260,146,63282,,5308,1,1,GSM,,,,,,
36.161293,-115.162048,310,260,13115,47704894,,1000,1,1,LTE,,,13115,,,
36.161299,-115.169142,311,480,5120,5178134,,1000,1,1,LTE,,,5120,,,
36.161375,-115.162016,310,260,24596,203300713,,4363,1,1,UMTS,,,,,,
36.161377,-115.168034,310,260,13115,25153795,,1000,1,1,LTE,,,13115,,,
36.161437,-115.170364,311,480,5121,5202444,,1000,1,1,LTE,,,5121,,,
