lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
47.60504,-122.332859,310,260,11316,21508669,,1000,1,1,LTE,,,11316,,,
47.605106,-122.325844,312,530,11316,190903566,,1000,1,1,LTE,,,11316,,,
47.605128,-122.322067,311,480,8,649,,1000,1,1,LTE,,,8,,,
47.605129,-122.334382,311,480,2,121642,,1000,1,1,LTE,,,2,,,
47.605133,-122.332764,310,260,41395,40933110,,1000,1,1,UMTS,,,,,,
47.605186,-122.32801,310,410,42986,7808960,,1000,1,1,UMTS,,,,,,
47.605215,-122.331568,310,410,42986,7808937,,1000,1,1,UMTS,,,,,,
47.605219,-122.327629,311,480,2,1538,,1734,1,1,LTE,,,2,,,
47.605231,-122.328546,310,26,41326,2671,,1000,1,1,CDMA,,,,26,41326,2671
47.605237,-122.32933,310,120,23312,190896898,,1000,1,1,LTE,,,23312,,,
47.605241,-122.332563,310,410,37145,107779991,,1041,1,1,LTE,,,37145,,,
47.605244,-122.328659,310,260,11316,21751613,,1000,1,1,LTE,,,11316,,,
47.605249,-122.32261,311,870,240,53074,,1000,1,1,LTE,,,240,,,
47.605263,-122.333763,310,260,11316,25271104,,1000,1,1,LTE,,,11316,,,
47.60527,-122.322695,310,120,23318,192234754,,1000,1,1,LTE,,,23318,,,
47.605273,-122.328273,310,120,23318,190896896,,1000,1,1,LTE,,,23318,,,
47.605285,-122.327591,310,410,37145,109571587,,1000,1,1,LTE,,,37145,,,
47.605289,-122.333977,311,480,2,2855,,1000,1,1,LTE,,,2,,,
47.605297,-122.324425,311,870,240,52690,,1000,1,1,LTE,,,240,,,
47.605309,-122.325249,310,410,37145,107780106,,1000,1,1,LTE,,,37145,,,
47.605318,-122.323101,311,480,8,393,,1000,1,1,CDMA,,,,480,8,393
47.605331,-122.333748,310,410,37145,107779856,,1000,1,1,UMTS,,,,,,
47.605336,-122.327787,310,120,240,53074,,1000,1,1,LTE,,,240,,,
47.605343,-122.33272,310,410,37145,107780368,,1025,1,1,LTE,,,37145,,,
47.605364,-122.333693,310,260,11316,45187083,,1000,1,1,LTE,,,11316,,,
47.605366,-122.333626,310,410,42971,9906088,,1000,1,1,LTE,,,42971,,,
47.605401,-122.332447,310,260,11316,25271051,,1000,1,1,LTE,,,11316,,,
47.605464,-122.331408,310,260,41395,40933096,,1000,1,1,UMTS,,,,,,
47.605506,-122.332014,311,480,2,121622,,1528,1,1,LTE,,,2,,,
47.605508,-122.329345,310,260,11316,24574222,,6662,1,1,LTE,,,11316,,,
47.605527,-122.330748,310,410,37145,107779848,,6504,1,1,LTE,,,37145,,,
47.60557,-122.33345,311,490,23318,68330242,,1000,1,1,LTE,,,23318,,,
47.605582,-122.328252,311,480,2,76801558,,5775,1,1,LTE,,,2,,,
47.605587,-122.324593,312,530,11316,190903565,,1000,1,1,LTE,,,11316,,,
47.605591,-122.323608,310,120,23312,192234760,,1000,1,1,LTE,,,23312,,,
47.605596,-122.324437,311,870,240,53137,,1000,1,1,LTE,,,240,,,
47.605614,-122.326523,310,410,37144,107780120,,1000,1,1,LTE,,,37144,,,
47.605617,-122.323914,310,410,37145,107778198,,6438,1,1,LTE,,,37145,,,
47.605624,-122.328153,310,410,42986,7818955,,1000,1,1,UMTS,,,,,,
47.605648,-122.333622,311,480,2,121644,,1000,1,1,LTE,,,2,,,
47.605657,-122.332373,311,480,2,27160,,1000,1,1,LTE,,,2,,,
47.605665,-122.328287,311,480,2,1558,,1127,1,1,LTE,,,2,,,
47.605667,-122.332077,311,480,2,121614,,1000,1,1,LTE,,,2,,,
47.605672,-122.333415,310,260,11316,45187085,,2439,1,1,LTE,,,11316,,,
47.605683,-122.33428,310,260,11316,45174550,,1000,1,1,LTE,,,11316,,,
47.605717,-122.324455,311,490,11316,21757443,,1000,1,1,LTE,,,11316,,,
47.605725,-122.33165,310,260,41395,40927836,,1000,1,1,UMTS,,,,,,
47.605727,-122.323054,310,120,23318,192234760,,1000,1,1,LTE,,,23318,,,
47.605747,-122.328772,310,410,42986,7808957,,1239,1,1,UMTS,,,,,,
47.605819702148,-122.33345031738,310,260,41395,38643,,1000,1,1,CDMA,,,,260,41395,38643
47.605819702148,-122.33345031738,310,260,41381,40932886,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.33345031738,311,940,16678,68329218,,1000,1,1,LTE,,,16678,,,
47.605819702148,-122.33345031738,311,870,16678,68329218,,1000,1,1,LTE,,,16678,,,
47.605819702148,-122.33345031738,310,410,37129,109827843,,1000,1,1,LTE,,,37129,,,
47.605819702148,-122.33345031738,311,480,2,121645,,1000,1,1,LTE,,,2,,,
47.605819702148,-122.33207702637,310,260,41395,40933099,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.33207702637,310,260,41395,40927839,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.33207702637,310,410,42972,7808926,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.33070373535,310,410,42972,9840634,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.33070373535,310,410,37144,107780361,,1000,1,1,LTE,,,37144,,,
47.605819702148,-122.33070373535,311,490,16678,68330240,,1000,1,1,LTE,,,16678,,,
47.605819702148,-122.33070373535,311,6,8,836,,1000,1,1,LTE,,,8,,,
47.605819702148,-122.33070373535,310,120,16654,68330240,,1000,1,1,LTE,,,16654,,,
47.605819702148,-122.33070373535,310,410,42986,9840634,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.33070373535,311,490,23318,68330240,,1000,1,1,LTE,,,23318,,,
47.605819702148,-122.33070373535,310,120,23318,191488825,,1000,1,1,LTE,,,23318,,,
47.605819702148,-122.32933044434,310,410,42986,7557201,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.32933044434,310,410,42986,9521267,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.32933044434,310,410,42986,9521261,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.32795715332,310,260,41395,38876,,1000,1,1,CDMA,,,,260,41395,38876
47.605819702148,-122.32795715332,310,120,23312,190896896,,1000,1,1,LTE,,,23312,,,
47.605819702148,-122.32795715332,310,410,42972,7808956,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.32795715332,311,480,2,1561,,1000,1,1,LTE,,,2,,,
47.605819702148,-122.32795715332,310,410,42980,7808961,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.32521057129,310,260,41396,40928017,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.32521057129,311,490,23312,190903554,,1000,1,1,LTE,,,23312,,,
47.605819702148,-122.32521057129,310,410,42986,9840569,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.32383728027,310,260,41395,40933339,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.32383728027,310,410,42972,10166,,1000,1,1,CDMA,,,,410,42972,10166
47.605819702148,-122.32246398926,310,120,23312,192234754,,1000,1,1,LTE,,,23312,,,
47.605819702148,-122.32246398926,310,410,42981,10365590,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.32246398926,310,260,41396,40928016,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.32246398926,310,410,42964,9840564,,1000,1,1,UMTS,,,,,,
47.605819702148,-122.32246398926,311,480,2,35107,,1000,1,1,LTE,,,2,,,
47.60582,-122.332764,310,410,42986,9840631,,1000,1,1,UMTS,,,,,,
47.60582,-122.332113,311,480,2,76827158,,1000,1,1,LTE,,,2,,,
47.60582,-122.328153,310,120,23312,192228096,,1000,1,1,LTE,,,23312,,,
47.60582,-122.328133,310,120,23318,192228096,,1000,1,1,LTE,,,23318,,,
47.605856,-122.33197,311,480,2,76817424,,1000,1,1,LTE,,,2,,,
47.605869,-122.331226,310,410,37144,107781905,,1124,1,1,LTE,,,37144,,,
47.605869,-122.324013,311,480,2,1565,,1000,1,1,LTE,,,2,,,
47.60588,-122.3257,310,260,11316,24898829,,1607,1,1,LTE,,,11316,,,
47.605882,-122.328734,310,260,2896896,7558533122,,1000,1,1,NR,,,2896896,,,
47.605897,-122.324422,310,260,41395,40928026,,7167,1,1,UMTS,,,,,,
47.605898,-122.32933,310,260,41395,40927208,,1000,1,1,UMTS,,,,,,
47.605945,-122.33345,311,6,8,618,,1000,1,1,LTE,,,8,,,
47.605945,-122.328776,310,260,11316,21751563,,8089,1,1,LTE,,,11316,,,
47.605957,-122.323975,310,120,23312,190903553,,1000,1,1,LTE,,,23312,,,
47.605965,-122.328733,310,410,37145,107780376,,1000,1,1,LTE,,,37145,,,
47.605976,-122.329575,311,480,8,1537,,1000,1,1,LTE,,,8,,,
47.605988,-122.334445,310,260,41395,40942477,,1000,1,1,UMTS,,,,,,
47.606046,-122.33366,311,480,8,618,,1000,1,1,LTE,,,8,,,
47.606046,-122.332764,310,260,11316,20988428,,2461,1,1,LTE,,,11316,,,
47.606075,-122.332001,311,480,2,76817440,,500,1,1,LTE,,,2,,,
47.606093,-122.329071,311,870,11316,190896902,,1000,1,1,LTE,,,11316,,,
47.606098,-122.333473,311,480,2,76970272,,1000,1,1,LTE,,,2,,,
47.606102,-122.333084,311,480,2,76970264,,1000,1,1,LTE,,,2,,,
47.606125,-122.332834,311,480,2,27158,,1000,1,1,LTE,,,2,,,
47.606134,-122.322464,311,480,2,35073,,1000,1,1,LTE,,,2,,,
47.606144,-122.325287,310,260,11316,25490564,,1000,1,1,LTE,,,11316,,,
47.606167,-122.328456,310,260,41381,3843,,1000,1,1,GSM,,,,,,
47.606169,-122.333774,311,480,2,76802842,,1000,1,1,LTE,,,2,,,
47.60619,-122.323596,311,870,240,52978,,1632,1,1,LTE,,,240,,,
47.606204,-122.327957,311,6,8,518,,1000,1,1,LTE,,,8,,,
47.606209,-122.332069,310,260,32623,17345045,,1000,1,1,LTE,,,32623,,,
47.606209,-122.332069,310,260,31346,16747031,,1000,1,1,LTE,,,31346,,,
47.606209,-122.332069,310,260,31346,16763926,,1000,1,1,LTE,,,31346,,,
47.606209,-122.332069,310,260,65534,45148181,,1000,1,1,UMTS,,,,,,
47.606209,-122.332069,310,260,17400,45556760,,1000,1,1,LTE,,,17400,,,
47.606209,-122.332069,310,260,17400,45555969,,1000,1,1,LTE,,,17400,,,
47.606209,-122.332069,310,260,17400,44824085,,1000,1,1,LTE,,,17400,,,
47.606209,-122.332069,310,260,15701,22327830,,1000,1,1,LTE,,,15701,,,
47.606209,-122.332069,310,260,15701,23739670,,1000,1,1,LTE,,,15701,,,
47.606209,-122.332069,310,260,,22433555,,1000,1,1,LTE,,,,,,
47.606209,-122.332069,310,260,42593,22433564,,1000,1,1,UMTS,,,,,,
47.606209,-122.332069,310,260,,22433543,,1000,1,1,LTE,,,,,,
