lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.837627,-74.925328,310,410,3043,35282,,1798,1,1,CDMA,,,,410,3043,35282
39.839172,-74.924698,310,410,3043,35624,,1000,1,1,CDMA,,,,410,3043,35624
39.83963,-74.924927,310,120,4872,41246001,,1000,1,1,LTE,,,4872,,,
39.839678,-74.924149,310,410,276,8591880,,6528,1,1,LTE,,,276,,,
39.839761,-74.924457,310,260,22039,11902722,,4226,1,1,LTE,,,22039,,,
39.839993,-74.926191,311,480,25350,25511938,,3166,1,1,LTE,,,25350,,,
39.841027,-74.926205,310,260,34694,39913321,,1000,1,1,UMTS,,,,,,
39.841175,-74.927124,311,870,73,460,,1000,1,1,LTE,,,73,,,
39.841232,-74.924011,310,260,34698,857955,,1000,1,1,UMTS,,,,,,
39.841232299805,-74.926071166992,311,870,4872,186276096,,1000,1,1,LTE,,,4872,,,
39.841232299805,-74.926071166992,310,410,276,138119973,,1000,1,1,LTE,,,276,,,
39.841232299805,-74.926071166992,310,410,276,138121273,,1000,1,1,LTE,,,276,,,
39.841232299805,-74.924697875977,310,260,34694,39913316,,1000,1,1,UMTS,,,,,,
39.841301,-74.927803,310,410,276,8591894,,1000,1,1,LTE,,,276,,,
39.841324,-74.92778,310,410,276,8592065,,1000,1,1,LTE,,,276,,,
39.841338,-74.926916,310,260,34694,39913318,,2168,1,1,UMTS,,,,,,
39.841639,-74.928337,310,260,22021,11902725,,1000,1,1,UMTS,,,,,,
39.841728,-74.925918,310,260,22021,12663809,,1000,1,1,UMTS,,,,,,
39.841874,-74.92336,310,410,276,8591887,,6470,1,1,LTE,,,276,,,
39.84242,-74.924719,310,410,276,8583177,,3813,1,1,LTE,,,276,,,
39.84244,-74.927475,310,260,34672,39111,,1000,1,1,GSM,,,,,,
39.842477,-74.924183,311,480,25350,25365006,,1000,1,1,LTE,,,25350,,,
39.842606,-74.926071,310,120,4872,39914753,,1000,1,1,LTE,,,4872,,,
39.842606,-74.921951,310,120,4872,39914761,,1000,1,1,LTE,,,4872,,,
39.842659,-74.924103,311,480,25350,25540108,,1000,1,1,LTE,,,25350,,,
39.84375,-74.923668,310,120,4872,41246009,,1000,1,1,LTE,,,4872,,,
39.843978881836,-74.923324584961,310,410,2986,36282,,1000,1,1,CDMA,,,,410,2986,36282
39.844575,-74.92373,311,480,25350,25365004,,1000,1,1,LTE,,,25350,,,
39.844749,-74.925717,310,260,22039,12663809,,7439,1,1,LTE,,,22039,,,
39.845352172852,-74.927444458008,311,480,25364,102240790,,1000,1,1,LTE,,,25364,,,
39.845605,-74.923545,310,260,22039,13506050,,4604,1,1,LTE,,,22039,,,
39.846342,-74.923591,310,410,276,8583184,,1000,1,1,LTE,,,276,,,
39.846428,-74.923372,311,480,25344,25470230,,7448,1,1,LTE,,,25344,,,
