lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
39.943623,-75.152875,310,410,290,5262345,,947,1,1,LTE,,,290,,,
39.943627,-75.15358,310,120,3337,28678705,,1000,1,1,LTE,,,3337,,,
39.943669,-75.151944,310,120,3337,28678713,,1000,1,1,LTE,,,3337,,,
39.943692,-75.158993,310,260,34687,85790918,,1000,1,1,UMTS,,,,,,
39.943771,-75.156097,311,8,5,616,,1000,1,1,LTE,,,5,,,
39.943776,-75.159884,310,260,34675,4323,,1000,1,1,GSM,,,,,,
39.943813,-75.158089,311,480,25089,25121793,,1000,1,1,LTE,,,25089,,,
39.943821,-75.159977,310,260,22028,10923787,,1000,1,1,LTE,,,22028,,,
39.943836,-75.155219,310,260,22028,11128943,,3726,1,1,LTE,,,22028,,,
39.943886,-75.151248,310,260,22032,11562501,,1000,1,1,LTE,,,22032,,,
39.943927,-75.157828,311,870,3335,55101697,,1000,1,1,LTE,,,3335,,,
39.943952,-75.158563,310,410,290,5286807,,1000,1,1,LTE,,,290,,,
39.943952,-75.153238,310,260,34687,85850946,,1000,1,1,UMTS,,,,,,
39.943952,-75.152125,310,260,22028,11562498,,1640,1,1,LTE,,,22028,,,
39.944023,-75.153267,311,490,22232,83606539,,1000,1,1,LTE,,,22232,,,
39.944073,-75.154898,310,260,22028,11469167,,3611,1,1,LTE,,,22028,,,
39.944136,-75.158799,310,410,290,5286666,,1153,1,1,LTE,,,290,,,
39.944164,-75.151342,310,260,22232,83606915,,1000,1,1,LTE,,,22232,,,
39.944229,-75.154724,310,260,34687,85790915,,1000,1,1,UMTS,,,,,,
39.944229,-75.151978,310,260,34682,105511746,,1000,1,1,UMTS,,,,,,
39.944229125977,-75.159530639648,311,480,25089,101997068,,1000,1,1,LTE,,,25089,,,
39.944229125977,-75.159530639648,311,480,25104,25197057,,1000,1,1,LTE,,,25104,,,
39.944229125977,-75.159530639648,311,480,25104,101997068,,1000,1,1,LTE,,,25104,,,
39.944229125977,-75.159530639648,310,260,22032,11226373,,1000,1,1,LTE,,,22032,,,
39.944229125977,-75.156784057617,310,410,2966,137700698,,1000,1,1,UMTS,,,,,,
39.944229125977,-75.156784057617,310,260,34687,105451750,,1000,1,1,UMTS,,,,,,
39.944229125977,-75.155410766602,310,410,2987,137697647,,1000,1,1,UMTS,,,,,,
39.944229125977,-75.155410766602,310,410,2932,137697653,,1000,1,1,UMTS,,,,,,
39.944229125977,-75.155410766602,310,120,3337,27347457,,1000,1,1,LTE,,,3337,,,
39.944229125977,-75.154037475586,310,260,34687,85841328,,1000,1,1,UMTS,,,,,,
