lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
41.806331,-71.40928,310,410,13996,133867495,,1000,1,1,UMTS,,,,,,
41.806411743164,-71.41731262207,310,120,3586,29378073,,1000,1,1,LTE,,,3586,,,
41.806411743164,-71.411819458008,310,260,36491,30882,,1000,1,1,CDMA,,,,260,36491,30882
41.806412,-71.415939,310,260,36452,31033,,1000,1,1,GSM,,,,,,
41.806511,-71.406372,310,410,1046,34379535,,1000,1,1,LTE,,,1046,,,
41.806511,-71.406372,310,410,1046,34379528,,1000,1,1,LTE,,,1046,,,
41.806511,-71.406372,310,410,1046,34353672,,1000,1,1,LTE,,,1046,,,
41.80694,-71.414531,310,260,21003,11181571,,1022,1,1,LTE,,,21003,,,
41.807098,-71.416626,310,120,3586,29377026,,1000,1,1,LTE,,,3586,,,
41.807098,-71.407013,310,410,13996,133864527,,1000,1,1,UMTS,,,,,,
41.807251,-71.416035,310,260,21003,32148737,,1000,1,1,LTE,,,21003,,,
41.807785,-71.415024,310,120,3586,30708282,,1000,1,1,LTE,,,3586,,,
41.80778503418,-71.407699584961,310,260,36452,30882,,1000,1,1,GSM,,,,,,
41.80778503418,-71.407699584961,310,260,36452,31032,,1000,1,1,GSM,,,,,,
41.80778503418,-71.406326293945,310,4106,1,4732,,1000,1,1,CDMA,,,,4106,1,4732
41.807798,-71.408227,310,260,21003,10497283,,4815,1,1,LTE,,,21003,,,
41.808056,-71.407272,310,260,21003,228160005,,1000,1,1,LTE,,,21003,,,
41.808319,-71.4073,310,260,22000,129812099,,3829,1,1,LTE,,,22000,,,
41.808384,-71.407082,310,260,21238,11038985,,1000,1,1,LTE,,,21238,,,
41.808384,-71.407082,310,260,21238,10496009,,1000,1,1,LTE,,,21238,,,
41.808384,-71.407082,310,260,21238,55310860,,1000,1,1,LTE,,,21238,,,
41.808384,-71.407082,310,260,21238,12131079,,1000,1,1,LTE,,,21238,,,
41.808384,-71.407082,310,260,21238,12131073,,1000,1,1,LTE,,,21238,,,
41.80909,-71.407853,310,260,21003,10497289,,3762,1,1,LTE,,,21003,,,
41.809158,-71.416626,310,120,3586,29378049,,1000,1,1,LTE,,,3586,,,
41.809158325195,-71.411819458008,310,410,13996,40016,,1000,1,1,CDMA,,,,410,13996,40016
41.809158325195,-71.410446166992,310,120,3591,30705971,,1000,1,1,LTE,,,3591,,,
41.809158325195,-71.407699584961,310,410,1053,133864528,,1000,1,1,LTE,,,1053,,,
41.809158325195,-71.407699584961,310,260,36452,30883,,1000,1,1,GSM,,,,,,
41.809207,-71.416716,310,260,36488,111966371,,1000,1,1,UMTS,,,,,,
41.809341,-71.414046,310,260,21003,10504199,,3768,1,1,LTE,,,21003,,,
41.809466,-71.417893,310,260,20996,10504199,,1000,1,1,LTE,,,20996,,,
41.809666,-71.410263,311,870,1,4988,,1000,1,1,LTE,,,1,,,
41.809727,-71.411842,310,260,21238,227777413,,1000,1,1,LTE,,,21238,,,
